GeoFips,State,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,United States,7196,7615,8125,8715,9360,9954,10742,11577,12442,13489,14602,15692,17091,18001,18932,20194,21143,22092,23141,24425,25487,26625,27561,29415,30143,30956,31658,32868,34281,36079,37823,39978,41557,42438,43710,45528,46717,48505,49321,50626,50184,51873,53275,54948,55486,56965
1000,Alabama,5757,6117,6617,7150,7785,8363,9116,10039,10746,11792,12811,13712,15034,15789,16657,17785,18773,19563,20322,21321,22259,23180,24339,25682,26093,27221,27573,28364,29128,30774,32140,33243,34755,35862,37129,38597,39672,40887,41107,42209,42930,44203,44909,45826,46357,47723
2000,Alaska,9997,10912,11696,12386,12956,15186,19532,22636,21485,20948,21578,24085,26875,28323,29593,30068,30892,31025,29167,29870,31431,32299,33036,34596,35143,35530,35892,36074,37151,37847,38923,40552,42834,44361,46240,47687,49491,51222,52623,54655,56677,58809,61236,63323,63392,64625
4000,Arizona,7015,7463,8089,8649,9224,9925,10377,11179,11843,12804,14098,15295,16606,17179,17922,18803,19442,20384,21280,22245,22661,23443,24809,26355,27233,28070,28981,29989,31191,33148,34684,36702,38020,38931,39567,41183,42699,45132,45770,46534,45876,46664,47943,49265,49376,50661
5000,Arkansas,5163,5528,5927,6479,7431,7889,8564,9189,9896,11162,11961,12270,13698,14144,14666,16044,16669,17426,18071,19042,19762,20625,21453,23129,23432,24513,24853,25788,26591,28033,29307,30309,31622,32291,34432,36184,36607,37596,38673,39318,39233,39969,40880,42928,44297,45275
6000,California,8258,8684,9177,9797,10288,10976,11743,12717,13636,14714,15901,17258,18648,19856,20948,22374,23502,24754,26121,27304,28233,29467,30582,32801,33441,34076,34698,35971,37902,39771,42282,46292,47417,48156,49664,52053,53270,55094,55775,56694,56151,57966,59873,61896,62182,63821
8000,Colorado,6716,7265,7908,8443,8968,9706,10431,11093,11830,12872,14062,15319,16762,17767,18657,19392,20143,20905,21779,22382,23287,24401,25469,27319,28386,28918,30004,31230,32470,35039,37643,40682,42491,42768,43563,44918,46342,48094,48184,49836,49287,50760,51761,53784,54427,56444
9000,Connecticut,7931,8364,8818,9403,9963,10556,11311,12102,13001,14012,15253,16633,17994,19202,20512,22076,23319,24577,26664,28686,30356,31723,33496,35634,36653,38213,39170,40329,43146,45279,47510,50562,53085,53519,54790,57354,58826,60780,62172,62318,62163,64380,65618,66914,67436,69368
10000,Delaware,7596,7905,8574,9117,9880,10668,11689,12624,13488,14583,15590,17133,18377,19630,20608,21709,22617,23185,24289,25610,27233,28354,30013,31497,31801,32995,33271,34668,36063,38065,40252,42138,45576,47397,48455,50135,51729,53643,53373,54174,54824,55919,57386,58957,58985,60811
12000,Florida,6501,6928,7410,7931,8443,9032,9679,10373,11008,11820,12853,14029,15156,15933,17006,17789,18605,19441,21116,22190,22981,23933,25047,26668,27518,28126,28913,29837,30588,32039,33291,34839,36654,37883,38991,40427,42078,43444,43520,43979,43454,44440,44389,45590,46022,47093
