GeoFips,County,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15001,Hawaii,3610,4249,4131,4795,5106,6896,6586,6618,7089,7626,8354,10043,9802,10005,11087,11277,11593,12351,12770,13818,15561,16603,17223,17704,18200,18508,18669,18902,19108,19930,20676,21878,22955,24015,24628,26267,27931,29385,30908,32231,30705,31062,31898,33219,33567,34870
15003,Honolulu,5196,5833,6209,6516,7009,7562,8243,8760,9204,10134,11121,12313,13394,13947,15000,15973,16849,17654,18611,20193,22163,23855,24759,26232,26872,27122,27548,27398,28216,28442,29373,30967,31676,32739,34120,36169,38084,40438,42836,44693,44670,45150,46620,48165,47877,49722
15007,Kauai,3725,4093,4056,4512,4947,6741,6356,6549,7056,7504,8263,9930,9915,10362,11411,11592,12308,13000,13411,15518,17613,18536,19525,20744,21319,21380,22082,21767,22146,22453,23122,24611,25115,26085,26948,28975,30744,32860,34964,36112,34788,35244,36506,37936,38323,40163
15901,Maui,3693,4341,4255,4709,5098,6667,6720,7031,7566,8048,8821,10222,10354,10781,12218,12506,13246,14076,14706,15999,18060,19190,19648,21200,21827,22099,22159,21898,22270,22828,24183,25217,25819,26876,27576,29630,31446,33941,35600,36517,34269,35006,36194,38240,37831,39439
