GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
13000,Georgia,1091,1245,1326,1374,1356,1481,1558,1587,1639,1718,1756,1806,1907,2031,2156,2339,2552,2754,2990,3284,3533,3815,4194,4641,5002,5338,5852,6362,7118,7812,8554,9534,10177,11016,12251,13147,14058,14827,15886,16872,17741,18205,19262,19986,21001,22136,23368,24289,26033,27119,28693,29594,29868,30473,31527,32997,34420,35606,35895,34396,34487,36588,37254,37596,38980
15000,Hawaii,1585,1846,2066,2127,2126,2122,2149,2180,2143,2310,2531,2673,2756,2953,3130,3418,3678,3916,4335,4908,5544,5798,6177,6645,7418,7926,8364,8818,9650,10579,11843,12667,13159,14239,15034,15825,16608,17439,18949,20890,22390,23194,24533,25129,25365,25715,25575,26239,26560,27475,28931,29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034
16000,Idaho,1340,1518,1676,1576,1593,1629,1768,1832,1857,1933,1939,2015,2131,2208,2292,2593,2617,2786,2945,3352,3649,3872,4280,4832,5499,5743,6248,6623,7396,7924,8773,9532,9822,10554,11186,11704,12020,12681,13722,15008,15962,16311,17429,18477,19141,20008,20827,21300,22684,23726,25258,26075,26425,27031,28813,29815,31945,32952,32854,31392,32050,33544,34846,35641,36734
17000,Illinois,1850,2050,2115,2235,2205,2301,2487,2557,2525,2652,2711,2805,2916,2996,3148,3378,3614,3804,4058,4400,4642,4948,5343,5953,6503,7082,7650,8376,9222,10126,10955,12129,12858,13435,14790,15578,16408,17353,18699,19876,21020,21262,22792,23351,24385,25684,27109,28423,29880,30860,32946,33755,34071,34627,36126,37692,40219,42360,43620,41529,42154,44303,46067,46477,47643
18000,Indiana,1529,1724,1791,1959,1816,1916,2019,2054,2030,2146,2227,2268,2424,2513,2644,2883,3064,3175,3419,3733,3835,4134,4484,5112,5447,5878,6507,7159,7928,8692,9321,10242,10618,11166,12380,13065,13792,14591,15558,16859,17685,18005,19311,20137,21201,21940,22972,23968,25688,26555,28122,28652,28850,29433,30693,31272,32884,33868,35047,33588,34390,36357,37987,38291,39578
19000,Iowa,1538,1647,1742,1676,1813,1693,1781,1967,2016,2050,2082,2205,2304,2453,2571,2855,3088,3112,3340,3712,3933,4091,4568,5472,5668,6323,6658,7317,8425,9030,9606,10890,11287,11608,12944,13541,14189,14986,15443,16795,17644,17945,19130,19083,20698,21440,23266,24253,25324,25868,27561,28367,29099,29698,32148,32869,34575,36815,39339,38123,38687,42058,43458,43735,44937
20000,Kansas,1483,1624,1866,1781,1841,1802,1872,1968,2145,2149,2210,2275,2350,2420,2558,2731,2935,3077,3323,3669,3958,4299,4773,5415,5848,6370,6850,7409,8149,9244,10068,11332,12204,12655,13811,14538,15205,15813,16524,17385,18406,18934,20147,20881,21632,22358,23703,24986,26413,27244,28744,29789,29861,30772,31999,33483,35987,38122,40936,38889,39235,42403,43725,44311,44891
21000,Kentucky,1003,1177,1261,1332,1316,1374,1458,1515,1568,1627,1655,1755,1847,1931,1994,2155,2350,2523,2735,3034,3256,3470,3793,4215,4685,5030,5520,6117,6745,7507,8125,9022,9580,9915,11063,11553,11905,12579,13693,14726,15561,16292,17361,17813,18544,19241,20254,21325,22443,23253,24954,25733,26180,26697,28046,29171,30596,31682,32953,32251,32977,34578,35814,35967,37396
22000,Louisiana,1133,1235,1310,1376,1368,1423,1535,1652,1671,1717,1717,1772,1841,1945,2037,2176,2371,2575,2801,2958,3174,3402,3671,4065,4581,5064,5617,6172,6965,7783,8778,9977,10547,10884,11570,12023,12032,12250,13095,14030,15224,15922,16909,17655,18682,19459,20222,21173,22048,22407,23570,25121,25646,26268,27472,29308,33247,35857,37858,36348,37227,38506,40527,40819,42030
23000,Maine,1212,1346,1474,1488,1492,1629,1719,1778,1851,1906,1985,1972,2052,2121,2290,2464,2615,2731,2939,3243,3541,3732,4012,4456,4884,5199,5852,6271,6870,7571,8506,9343,10086,10740,11802,12648,13649,14675,15889,17064,17581,17780,18589,19132,19927,20812,21903,22999,24455,25488,27109,28279,29057,30301,31762,32307,34019,35350,36695,36586,37102,38597,39589,39562,40745
24000,Maryland,1701,1893,2037,2113,2032,2144,2285,2380,2338,2401,2487,2595,2729,2818,2980,3152,3389,3628,3947,4465,4878,5264,5690,6223,6757,7282,7889,8507,9418,10325,11481,12659,13658,14555,15947,17139,18204,19299,20775,22103,23068,23574,24488,25235,26124,26999,28027,29335,31291,32902,35345,36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176
25000,Massachusetts,1688,1860,1945,1996,1976,2119,2245,2354,2369,2475,2557,2657,2784,2851,2986,3153,3376,3629,3947,4275,4575,4859,5228,5647,6108,6592,7098,7733,8547,9500,10695,11868,13005,14067,15755,16938,18197,19608,21403,22437,23080,23468,24639,25487,26603,27933,29523,31152,32875,34783,38438,39774,39742,40744,42674,44596,47940,50103,51742,50296,51643,54327,56752,56549,58737
26000,Michigan,1716,1895,1983,2198,2068,2229,2269,2301,2228,2327,2405,2396,2555,2687,2901,3156,3378,3471,3808,4092,4178,4505,4973,5520,5880,6292,7020,7861,8722,9511,10171,10934,11403,12207,13497,14599,15455,15968,16982,18223,18949,19165,20167,21106,22559,23664,24696,25874,27239,28408,30023,30245,30333,31060,32097,32914,33845,34855,35828,34159,35199,37343,38652,39197,40740
27000,Minnesota,1443,1590,1645,1725,1743,1810,1857,1950,2037,2080,2171,2254,2346,2476,2557,2800,3015,3202,3483,3817,4099,4331,4689,5467,5865,6301,6753,7559,8427,9298,10207,11237,11974,12577,14211,14984,15789,16724,17371,18824,19795,20165,21426,21777,23084,24169,25778,26938,29037,30190,32332,33326,33899,35256,36924,37787,39634,41560,43256,41064,42567,45214,47293,47410,48998
28000,Mississippi,780,866,921,956,949,1072,1079,1091,1185,1280,1272,1363,1398,1536,1591,1726,1884,2052,2253,2493,2730,2966,3317,3721,4040,4344,4864,5347,5887,6600,7127,7958,8347,8699,9465,9940,10286,10895,11689,12684,13288,13881,14827,15609,16678,17403,18300,19129,20073,20594,21582,22806,23173,23981,25257,26794,28050,29543,30703,30188,30783,31976,33127,33629,34431
29000,Missouri,1438,1575,1682,1763,1756,1850,1939,1982,2111,2198,2228,2292,2409,2507,2619,2832,2996,3176,3492,3639,3936,4213,4553,5035,5376,5876,6397,7058,7818,8686,9364,10435,11156,11869,13075,13926,14608,15290,16137,17230,17894,18560,19629,20326,21317,22183,23271,24496,25536,26402,28015,28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639
30000,Montana,1677,1832,1854,1842,1807,1935,1972,2034,2123,2076,2130,2083,2431,2400,2440,2624,2810,2890,3033,3391,3742,3927,4498,5152,5526,5994,6348,6751,7788,8312,9141,10292,10731,11167,11711,11871,12477,12960,13390,14776,15533,16372,17082,18061,18195,18862,19530,20278,21713,22243,23594,24751,25296,26663,28180,29561,31484,33374,34912,33627,34737,36959,39102,38884,39903
31000,Nebraska,1584,1668,1798,1707,1796,1693,1719,1997,2112,2113,2217,2223,2386,2431,2488,2756,2990,3094,3279,3658,3905,4241,4653,5387,5580,6364,6615,7142,8228,8853,9389,10851,11655,12064,13360,14114,14629,15368,16364,17315,18471,19003,20013,20491,21598,22583,24348,24868,26437,27527,28978,30178,30696,32611,33768,34772,35982,38484,40626,39226,40023,43820,45578,46254,47557
32000,Nevada,2063,2288,2487,2542,2513,2625,2597,2679,2740,2894,3036,3106,3324,3317,3346,3436,3605,3801,4292,4702,5138,5445,5783,6296,6654,7225,7876,8699,9909,10809,11806,12838,13206,13711,14589,15467,16227,17006,18405,19587,20476,21206,22572,23357,24357,25346,26611,27500,28589,29726,31230,31789,31882,33347,35744,38683,39915,40939,40243,36931,36918,37745,39436,39223,40742
33000,New Hampshire,1365,1530,1605,1685,1738,1861,1943,2059,2066,2193,2266,2353,2462,2500,2632,2785,3031,3235,3517,3851,4009,4236,4566,5008,5413,5801,6427,7060,7938,8893,10034,11217,12207,13270,14724,15944,17159,18462,19785,20756,20699,21433,22320,22832,24133,25312,26417,28027,29996,31215,34293,35147,35515,36199,38390,39609,42112,43638,44876,43936,45308,48005,50546,50535,52773
34000,New Jersey,1819,2024,2143,2262,2246,2324,2473,2579,2485,2616,2718,2785,2944,3015,3171,3354,3589,3825,4153,4587,4917,5237,5649,6140,6670,7208,7811,8548,9472,10490,11788,13103,14109,15192,16719,17830,18939,20308,22184,23777,24798,25081,26742,27328,28071,29609,31074,32830,34644,35921,39165,40227,40964,41861,43686,45341,48444,50685,52256,50300,51202,53556,55142,55194,57620
35000,New Mexico,1253,1403,1498,1525,1547,1631,1717,1836,1948,2017,1997,2065,2114,2163,2247,2370,2502,2603,2835,3091,3399,3652,4010,4385,4814,5328,5778,6307,7071,7803,8568,9520,10155,10641,11448,12191,12481,12886,13495,14327,15137,15865,16627,17430,18111,19035,19637,20356,21295,21768,23438,25264,25777,26250,27435,29005,30497,31832,33374,32293,33019,34556,35585,35254,37091
36000,New York,1877,2028,2085,2173,2204,2327,2450,2560,2627,2769,2868,2957,3072,3170,3361,3539,3775,4049,4439,4635,4935,5249,5619,6026,6533,7066,7503,8155,8954,9841,10997,12252,13273,14239,15723,16798,17885,19055,20845,22485,23994,23872,25068,25566,26264,27620,28953,30462,31813,33262,35328,36308,36282,37199,39342,41381,44472,47780,49032,47655,49283,51598,53571,53606,55611
37000,North Carolina,1098,1221,1260,1308,1335,1408,1478,1468,1546,1625,1672,1735,1844,1925,2058,2198,2424,2589,2822,3143,3386,3614,4011,4470,4856,5207,5712,6175,6881,7522,8295,9249,9805,10582,11797,12587,13414,14263,15434,16613,17370,17826,19113,19967,20833,21857,22923,24138,25472,26464,27876,28484,28507,29081,30785,32245,33775,35096,35917,34944,35569,36622,38655,37774,39171
38000,North Dakota,1391,1484,1353,1374,1408,1544,1616,1664,1934,1759,1911,1734,2444,2251,2221,2586,2625,2715,2859,3211,3401,3872,4580,6386,6312,6579,6380,6588,8255,8455,8068,10484,11192,11656,12480,12973,13309,13857,12930,14709,16137,16374,17880,18033,19456,19417,21635,21253,23372,23701,25870,26540,27158,29496,29717,31429,32826,36162,40923,39422,42964,47861,55388,54373,55802
39000,Ohio,1617,1848,1931,2041,1983,2108,2204,2267,2203,2337,2415,2432,2542,2632,2784,2976,3208,3333,3640,3959,4136,4373,4739,5244,5744,6139,6741,7453,8222,9079,9909,10785,11312,12014,13267,14097,14766,15428,16488,17689,18669,18929,20034,20740,21782,22707,23710,25037,26408,27250,28631,29418,29809,30579,31732,32687,34415,35632,36643,35530,36377,38807,40329,40749,42236
40000,Oklahoma,1167,1323,1442,1522,1507,1563,1646,1716,1861,1923,1977,2008,2053,2112,2256,2423,2584,2782,3029,3329,3625,3872,4185,4680,5136,5661,6116,6698,7479,8514,9581,10989,11850,11813,12687,13273,13412,13536,14314,15341,16180,16525,17357,17872,18509,19164,20101,21011,22140,22797,24801,26572,26807,27548,28989,30957,33522,34563,37739,34578,35949,39037,41549,41962,43637
41000,Oregon,1681,1861,1945,1953,1908,2023,2120,2107,2158,2297,2339,2409,2516,2602,2750,2913,3089,3260,3506,3774,4033,4330,4752,5248,5841,6360,7033,7652,8534,9395,10157,10861,11146,11881,12831,13429,14107,14756,15838,17138,18065,18562,19440,20364,21399,22583,23889,24946,26106,26959,28878,29342,29306,30028,31486,32434,34546,35648,36750,35390,35791,37512,39083,39426,41220
42000,Pennsylvania,1559,1726,1805,1912,1844,1933,2084,2197,2188,2260,2319,2357,2466,2542,2696,2866,3078,3289,3553,3864,4133,4358,4748,5209,5732,6245,6821,7488,8268,9142,10024,11070,11833,12414,13430,14312,15051,15910,17181,18577,19591,20266,21276,21951,22613,23592,24767,25998,27374,28524,30493,31524,32108,33055,34648,35910,38202,40084,41675,40785,41918,44018,45781,46028,47679
44000,Rhode Island,1602,1778,1834,1930,1932,2041,2082,2108,2196,2314,2357,2459,2605,2700,2846,3046,3306,3545,3818,4011,4298,4487,4823,5138,5520,6024,6550,7128,7806,8681,9839,10916,11705,12599,13806,14741,15704,16653,18239,19783,20187,20219,21125,21975,22508,23708,24471,25798,27423,28365,30214,31574,32698,34137,35562,36592,38779,40691,41889,41081,42737,44292,46084,46145,48359
45000,South Carolina,946,1162,1243,1280,1216,1278,1313,1344,1374,1455,1500,1563,1665,1735,1852,2031,2258,2422,2659,2955,3219,3442,3783,4197,4638,4949,5450,5860,6507,7183,7922,8789,9262,9983,10993,11666,12317,13055,14058,15108,16018,16380,17213,17880,18753,19629,20614,21574,22828,23715,25143,25859,26263,26903,28135,29402,31183,32443,33449,32499,32853,34220,35461,35472,36677
46000,South Dakota,1300,1523,1359,1484,1507,1388,1469,1733,1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24416,25631,27267,28440,28538,30941,32564,33443,33898,37257,40095,38661,40204,44241,44792,44772,45279
47000,Tennessee,1043,1143,1203,1304,1305,1355,1454,1513,1559,1647,1666,1741,1821,1908,2023,2188,2395,2538,2814,3032,3262,3537,3904,4377,4771,5135,5654,6161,6929,7602,8260,9138,9678,10301,11396,12138,12933,13801,14882,15876,16740,17334,18664,19530,20395,21508,22341,23308,25316,26119,27503,28147,28613,29454,30925,31695,33072,34227,35307,34468,35601,37323,39137,39312,40457
48000,Texas,1392,1524,1607,1643,1683,1754,1840,1916,1937,2013,2020,2093,2146,2217,2350,2503,2709,2928,3193,3481,3768,3991,4335,4816,5320,5912,6486,7076,7984,8943,9948,11375,12023,12448,13430,14212,14295,14530,15375,16307,17366,17817,18880,19535,20206,21177,22319,23825,25500,26447,28365,29717,29327,30010,31077,33330,35554,36992,39892,37037,38282,41235,43505,43807,45669
49000,Utah,1385,1594,1651,1658,1631,1728,1822,1935,1959,2042,2111,2173,2307,2360,2473,2577,2702,2825,3005,3231,3535,3833,4154,4483,4891,5302,5810,6349,7037,7661,8266,9056,9572,10004,10847,11492,11918,12360,13053,13894,14866,15521,16292,17021,17879,18981,20126,21231,22416,23386,24781,25712,25960,26316,27545,29398,31786,33643,34512,32428,32614,34415,35995,36542,37664
50000,Vermont,1171,1346,1392,1444,1474,1543,1679,1747,1762,1859,1954,2031,2115,2171,2314,2506,2786,2944,3188,3441,3696,3930,4253,4611,4939,5322,5853,6259,7088,7862,8720,9766,10492,11114,12187,13088,14005,15060,16183,17648,18069,18266,19411,19971,20764,21702,22684,23763,25389,26700,28556,29968,30567,31779,33652,34347,36597,38460,40111,39268,40066,42735,44287,44839,46428
51000,Virginia,1330,1516,1618,1651,1681,1759,1835,1873,1901,2012,2058,2135,2257,2372,2570,2741,2937,3176,3474,3873,4161,4509,4925,5421,5923,6410,6967,7611,8509,9407,10537,11661,12497,13345,14642,15666,16620,17581,18906,20156,20838,21432,22430,23247,24138,25028,25962,27351,28917,30479,32465,33711,34154,35745,37753,40036,42386,44422,45618,44458,45412,47689,49320,48956,50345
53000,Washington,1786,1945,2051,2152,2166,2202,2257,2352,2359,2460,2518,2622,2771,2824,2952,3177,3485,3676,3971,4244,4379,4571,4929,5501,6116,6783,7376,8009,9051,10065,11022,12066,12660,13409,14248,14939,15803,16480,17526,18954,20162,21052,22139,22745,23495,24358,25782,27297,29432,31077,32882,33241,33629,34663,36787,37754,40204,42954,44460,42248,42821,44800,47344,47468,49610
54000,West Virginia,1054,1183,1249,1279,1229,1324,1485,1604,1594,1640,1667,1713,1806,1899,2024,2177,2324,2470,2626,2828,3148,3408,3717,4045,4461,4969,5427,5979,6603,7295,7973,8680,9217,9485,10292,10835,11247,11683,12649,13577,14571,15124,16229,16726,17410,17953,18692,19514,20330,20873,22110,23306,24206,24669,25498,26360,28319,29316,31397,31429,32104,34211,35374,35163,36132
55000,Wisconsin,1509,1744,1808,1845,1781,1885,2001,2070,2081,2227,2260,2306,2413,2457,2614,2787,3017,3164,3427,3749,3979,4239,4596,5104,5583,6079,6647,7381,8214,9136,9986,10858,11441,12062,13228,13910,14657,15399,16204,17559,18379,18861,20136,20933,22015,22909,24027,25309,26896,27807,29382,30473,31060,31905,33350,34311,36268,37674,38980,38320,38815,40837,42463,42737,44186
56000,Wyoming,1778,2009,1973,1993,1923,1990,2100,2216,2239,2329,2360,2440,2555,2592,2649,2792,2941,3157,3349,3683,4017,4381,4829,5533,6276,6815,7250,8133,9280,10344,11496,12672,12940,12701,13390,14141,14166,14161,14816,16472,17989,18649,19457,20250,20868,21626,22440,23967,25430,27085,28959,30736,31442,33400,35692,39164,44186,45505,48934,43153,44846,49140,52154,51791,54584
