County,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Honolulu,0.02,0.02,0.028,0.031,0.039,0.043,0.049,0.048,0.049,0.044,0.039,0.041,0.039,0.037,0.031,0.027,0.024,0.025,0.036,0.058,0.057,0.055,0.051,0.043
Hawaii,0.035,0.045,0.075,0.076,0.092,0.096,0.092,0.093,0.087,0.078,0.047,0.05,0.046,0.046,0.039,0.033,0.03,0.034,0.057,0.097,0.099,0.096,0.082,0.068
Maui,0.042,0.054,0.08,0.054,0.058,0.069,0.067,0.068,0.062,0.051,0.037,0.04,0.039,0.037,0.031,0.026,0.024,0.028,0.046,0.087,0.085,0.077,0.062,0.051
Kauai,0.036,0.041,0.096,0.130,0.1220,0.1070,0.1130,0.1030,0.09,0.069,0.045,0.05,0.044,0.04,0.034,0.027,0.024,0.026,0.046,0.093,0.088,0.085,0.072,0.057
