Idaho,1517,1781,1945,2262,2231,2315,2141,2029,2134,2157,2269,2244,2047,1973,12.4,12.5,11.2,10.2,10.5,10.4,10.8,10.6,9.7,9.3
Illinois,26650,27901,28774,27724,28152,28030,29186,29693,30267,30130,29293,29271,28869,29116,16.1,16.1,16.8,17,17.2,17,16.5,16.4,16.2,16.3
Indiana,9262,9987,10452,10590,10957,11775,12039,11378,11664,11531,12708,12621,13200,13224,13.5,14.5,14.8,13.9,14.2,14,15.3,15.1,15.8,15.7
Iowa,5425,5406,5566,5847,5949,5749,5890,5966,6312,6149,6399,6053,5799,5942,17,16.4,16.7,16.5,17.1,16.3,16.7,15.5,14.9,15.2
Kansas,6860,7054,7355,7509,7250,7001,6974,6549,6867,6653,6454,6269,6132,6034,21.3,20.7,20.3,18.6,19,17.9,17,16.3,15.8,15.6
Kentucky,4395,5231,5885,6037,5969,6363,6598,5883,5477,5503,5494,5443,5333,5241,10.8,11.5,11.9,10.5,9.8,9.8,9.7,9.6,9.4,9.3
Louisiana,7068,7388,7898,8527,8767,5428,7159,6757,6852,7247,7289,7165,6966,7302,14.8,9.1,12.8,11.7,11.6,11.8,11.5,11.1,10.7,11
Maine,647,660,690,734,736,744,728,812,831,817,755,827,696,702,5,5.1,5.1,5.7,5.8,5.7,5.2,5.6,4.7,4.7
Maryland,11364,11432,12718,13384,13942,14273,14528,14845,15164,14938,15703,15564,15278,14908,19.2,19.7,20,20.4,20.6,19.9,20.5,19.8,19,18.2
Massachusetts,23693,24367,26050,26683,27291,27897,28755,28739,28420,28454,28742,28893,30004,31772,32,33.5,35.1,35.3,34.5,34,33.8,33.1,33.5,34.7
Michigan,17796,18191,19353,20205,19622,19278,19559,19687,19058,18434,19721,19012,19007,19698,15.5,15.5,16,16.4,16.1,15.8,16.9,16.3,16.2,16.6
Minnesota,8287,8196,8821,8945,11144,14233,16788,17505,19487,20909,16983,16818,16419,15435,16.9,21.6,25.4,25.8,28.1,29.6,23.7,23.1,22.3,20.8
Mississippi,3124,3132,3315,3204,3686,3878,3680,3560,3564,3726,3951,4000,3931,3852,9.9,10.3,9.8,9.4,9.3,9.7,10.2,10.3,10.1,9.9
Missouri,8190,8407,9133,9563,9948,10457,11411,11964,12749,10551,9614,9567,10023,10607,13.7,14.3,15.5,16,16.9,13.7,12.3,12.1,12.7,13.3
Montana,1268,1331,1399,1517,1521,1546,1547,1558,1557,1599,1500,1459,1438,1404,14.6,14.7,14.4,13.9,13.4,13.3,12.2,11.7,11.4,11
Nebraska,2947,2949,3188,3340,3362,3390,3550,3695,3872,4035,4238,3841,3849,4054,15.2,15.3,15.9,16.2,16.6,16.8,17.2,15.4,15.3,16
Nevada,1616,1772,1941,2201,2304,2367,2554,2711,2947,2799,2608,2330,2366,2252,6.7,6.7,6.9,7.2,7.6,7.2,6.7,6,6,5.7
New Hampshire,1611,1592,1747,1816,1862,1877,1862,1900,1859,1856,1919,1858,2008,2018,12.5,12.8,12.9,13.2,12.9,12.9,13.2,12.6,13.4,13.3
New Jersey,12699,12621,13029,13176,13505,13651,13972,13981,14530,15091,13664,12920,13566,13511,12,12.3,12.8,12.8,13.2,13.7,12.3,11.5,12,11.8
New Mexico,3887,4017,3787,4236,4327,4344,4265,4453,4417,4189,4305,4228,4162,4057,18.2,17.9,17.2,17.6,17.2,16,16,15.5,15.1,14.6
New York,43249,44276,45760,47781,48293,50430,52243,52300,51792,51379,52139,52202,51433,51139,18.4,19.5,20.4,20.4,19.9,19.5,19.5,19.2,18.6,18.2
North Carolina,12597,12930,13537,13991,14477,15174,15602,16943,17195,17053,17654,18200,18289,17890,12.1,12.8,13.1,14.1,14,13.8,14.1,14.5,14.5,14
North Dakota,1231,1274,1290,1837,1771,1882,1799,1853,2090,2232,1874,1897,1954,1992,23.9,25.3,23.8,23.2,25.3,25.6,20.5,20,19.8,19.2
Ohio,19304,19496,20484,21409,21726,22725,21677,23859,23659,24122,23751,23364,23661,23517,15,15.8,15.3,16.9,16.8,17.1,16.8,16.4,16.5,16.2
Oklahoma,4044,4745,5126,5138,4946,4872,4791,5200,5410,5426,5956,6148,6047,6003,11,10.7,10.3,11,11.2,10.9,11.7,11.9,11.6,11.4
Oregon,4333,4503,4850,4972,4731,5071,5218,5371,5575,5672,5770,5628,5879,6106,9.9,10.5,10.7,10.8,10.9,10.9,11,10.6,11.1,11.4
Pennsylvania,22540,22796,25562,26854,27347,27002,26993,26098,25342,25539,25765,24718,26030,27030,18.5,18.4,18.5,17.8,17.1,17,17,15.9,16.4,16.7
Rhode Island,1972,1899,1999,2148,2272,2284,2199,2249,2299,2442,2583,2504,2510,2457,16.8,17.3,17.1,17.7,18.1,19.3,20.2,19.3,19,18.1
South Carolina,3744,3793,3872,3944,3925,3805,4018,3979,4076,4408,4498,4732,4869,5200,7.1,6.8,7.1,7,7,7.5,7.6,7.9,8,8.5
South Dakota,1124,1192,1244,1219,1298,1256,1292,1072,1183,1584,1579,1435,1527,1451,14.3,13.7,13.9,11.1,11.9,15.3,14.9,13.3,13.9,13
Tennessee,6548,7062,7390,8046,7941,8214,8051,8006,8052,7691,7828,7886,8033,7594,9.9,10.2,9.9,9.8,9.9,9.4,9.5,9.5,9.6,9
Texas,33644,33954,37169,39975,39855,40612,40816,41377,42490,43767,45720,45362,46100,47114,12.2,12.3,12.1,12.1,12.2,12.3,12.6,12.3,12.2,12.3
Utah,4538,4746,4972,5455,5326,5853,6052,5882,5987,6032,5767,6149,5830,5862,14.5,15.4,15.3,14.2,13.9,13.7,12.9,13.8,13.2,13.3
Vermont,730,697,701,727,722,752,761,798,749,787,779,736,694,630,10.5,11.2,11.4,11.9,11.1,11.4,11.2,10.4,9.8,8.8
Virginia,13605,14632,15010,15439,15191,15139,15860,16517,16603,16949,17050,16801,16174,15890,14.9,14.9,15.5,16,15.8,15.8,15.5,15,14.1,13.7
Washington,7196,7233,7532,8235,8046,8256,8555,8206,8373,9016,9269,9447,9586,9634,9.6,9.8,10,9.4,9.3,9.8,9.9,9.8,9.8,9.7
West Virginia,2562,2555,2831,2940,2884,2903,2920,2926,2811,2719,2592,2436,2447,2418,13,13,13.2,13.2,12.7,12.3,11.7,11,11.1,11
Wisconsin,9566,9807,9957,10437,10583,10579,10522,10454,9974,10129,10105,9941,10173,9843,15.6,15.6,15.5,15.2,14.2,14.2,14,13.6,13.9,13.5
Wyoming,862,899,943,1002,994,1025,964,906,917,1009,1100,1125,1154,1071,16.3,16.4,14.9,13.2,12.8,13.2,14.1,14.2,14.3,13.1
