State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5
Alabama ,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.6,0.5,0.6,0.8,0.7,0.6,0.6
Alaska ,0.1,0,0,NA,0,0,0.1,0.2,0.2,0.1,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0.5,0.5
Arizona,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6
Arkansas ,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4
California,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.7,1.8,1.8,1.7
Colorado,0.8,0.9,1,1.2,1.3,1.5,1.5,1.6,1.7,1.6,1.7,1.8,1.7,1.9,1.7,1.8,1.6,1.4,1.5,1.5,1.8,1.8
Connecticut,1.7,1.8,1.7,1.8,2,2.2,2.1,2,2,2,1.7,1.8,3,3,3,3.1,3,3,3.1,3.4,3.6,3.7
Delaware ,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.9,1.1,1.2,1.3,1.2,1.3,1.2,1.3,1.1,1.1,1.1,1.1,1.2,1.1,1.2
Florida,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6
Georgia,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,0.8,1,0.9,1,1,1,1,1.1
Hawaii ,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.8,0.8,0.4,0.3,0.4,0.4,0.7,1.1,0.5,0.6,0.9,1.2,1.1,1.2,1.2
