GeoFips,GeoName,LineCode,Description,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
15001,Hawaii,110,  Per capita personal income 5/,3610,4249,4131,4795,5106,6896,6586,6617,7087,7625,8353,10040,9799,10002,11086,11276,11591,12349,12768,13809,15548,16597,17224,17710,18206,18520,18679,18914,19120,19952,20709,21927,23018,24015,24668,26362,28074,29577,31213,32445,31154,31357,32226,33368,34297
15001,Hawaii,290,Average earnings per job (dollars),6350,7130,7501,7819,8262,11439,10203,10300,11095,11742,12303,14808,14034,14813,15806,16062,16302,17615,17961,19095,20548,21648,22098,23266,23863,24421,24424,24385,24640,25383,26349,27766,29182,31244,32805,33966,35408,36329,35871,36670,36767,36880,37624,38681,39792
15003,Honolulu,110,  Per capita personal income 5/,5196,5833,6209,6516,7009,7562,8243,8759,9203,10133,11120,12311,13392,13945,14998,15972,16848,17652,18609,20186,22153,23846,24752,26224,26864,27115,27537,27384,28203,28428,29360,30963,31664,32646,34085,36156,38102,40443,42856,44449,44919,45202,46605,48250,48798
15003,Honolulu,290,Average earnings per job (dollars),7468,8163,8682,9226,9796,10454,11210,12016,12924,13838,14741,15930,17349,18570,19741,20918,21831,22791,23540,25219,26861,28708,29721,31768,32608,33077,33230,33287,34393,34466,35579,36803,38274,40368,42119,44006,45604,47033,47900,49686,50670,52402,54037,55562,56147
15007,Kauai,110,  Per capita personal income 5/,3725,4093,4056,4512,4947,6741,6356,6548,7054,7503,8262,9927,9913,10359,11409,11590,12307,12999,13410,15512,17604,18516,19512,20737,21317,21339,22060,21738,22110,22430,23103,24600,25106,26008,26929,29022,30861,32984,35215,36393,35291,35807,37041,38362,39251
15007,Kauai,290,Average earnings per job (dollars),6670,7123,7510,7641,8338,11535,9816,9966,10677,10957,11904,14454,14276,15484,16355,16578,17095,17889,17990,19917,21753,22928,23667,25111,27623,27570,27665,27247,27453,26736,27198,28301,28712,31342,31919,32870,34203,35770,36549,37870,38839,39073,40212,41251,42432
15901,Maui + Kalawao,110,  Per capita personal income 5/,3693,4341,4255,4709,5098,6667,6720,7029,7564,8047,8820,10219,10352,10779,12217,12505,13245,14074,14705,15993,18051,19176,19635,21177,21805,22074,22121,21844,22211,22849,24129,25160,25757,26719,27443,29459,31214,33624,35195,35923,34328,34743,36114,37998,38714
15901,Maui + Kalawao,290,Average earnings per job (dollars),6681,7361,7680,8101,8309,10646,9917,10391,11255,11542,12676,14464,14634,15449,17082,17335,17732,18726,19197,20409,22061,23726,24224,25550,26346,27273,27512,27428,27690,27832,29272,30154,30899,32426,33897,35151,36461,38274,38658,39390,39459,39641,41122,42579,43349
