State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
New York,0.035,0.029,0.03,0.03,0.03,0.038,0.031,0.03,0.028,0.026,0.028,0.026,0.028,0.027,0.029,0.029,0.034,0.029,0.028,0.026,0.029,0.027,0.027,0.029,0.029,0.025,0.027,0.023,0.025,0.024,0.023
North Carolina,0.031,0.027,0.033,0.033,0.031,0.034,0.033,0.029,0.027,0.025,0.025,0.024,0.027,0.027,0.029,0.028,0.032,0.03,0.027,0.025,0.027,0.026,0.027,0.029,0.029,0.024,0.023,0.02,0.023,0.02,0.019
North Dakota,0.046,0.049,0.045,0.038,0.036,0.044,0.039,0.032,0.03,0.029,0.026,0.029,0.029,0.03,0.039,0.025,0.033,0.031,0.029,0.026,0.026,0.022,0.025,0.027,0.027,0.026,0.023,0.021,0.018,0.024,0.03
Ohio,0.029,0.022,0.027,0.027,0.028,0.033,0.027,0.028,0.024,0.023,0.021,0.022,0.023,0.022,0.023,0.024,0.025,0.024,0.022,0.02,0.024,0.022,0.021,0.024,0.024,0.02,0.019,0.017,0.018,0.016,0.016
Oklahoma,0.06,0.043,0.046,0.042,0.042,0.054,0.039,0.037,0.033,0.034,0.033,0.031,0.036,0.034,0.033,0.037,0.037,0.032,0.033,0.029,0.033,0.026,0.028,0.032,0.034,0.029,0.027,0.023,0.025,0.021,0.021
Oregon,0.047,0.048,0.046,0.044,0.043,0.048,0.04,0.035,0.042,0.035,0.037,0.032,0.035,0.035,0.039,0.032,0.034,0.03,0.029,0.025,0.029,0.026,0.031,0.031,0.032,0.027,0.024,0.02,0.021,0.02,0.021
Pennsylvania,0.028,0.025,0.027,0.03,0.034,0.035,0.029,0.028,0.024,0.024,0.023,0.021,0.023,0.023,0.023,0.022,0.025,0.023,0.024,0.021,0.024,0.021,0.021,0.026,0.024,0.018,0.017,0.016,0.017,0.016,0.015
Rhode Island,0.026,0.024,0.029,0.031,0.033,0.04,0.033,0.039,0.027,0.025,0.026,0.023,0.037,0.021,0.027,0.026,0.031,0.022,0.033,0.021,0.022,0.028,0.027,0.026,0.023,0.026,0.023,0.016,0.018,0.018,0.016
South Carolina,0.036,0.029,0.039,0.038,0.037,0.042,0.048,0.031,0.031,0.03,0.03,0.026,0.034,0.031,0.03,0.031,0.033,0.031,0.029,0.028,0.03,0.033,0.028,0.03,0.03,0.029,0.022,0.026,0.021,0.02,0.019
South Dakota,0.044,0.042,0.043,0.041,0.038,0.055,0.038,0.029,0.039,0.038,0.03,0.031,0.036,0.029,0.033,0.032,0.032,0.03,0.033,0.026,0.03,0.028,0.024,0.026,0.03,0.025,0.027,0.023,0.025,0.021,0.023
Tennessee,0.036,0.032,0.038,0.034,0.036,0.041,0.032,0.034,0.031,0.032,0.028,0.028,0.03,0.029,0.03,0.028,0.031,0.029,0.024,0.023,0.027,0.026,0.025,0.026,0.027,0.023,0.022,0.017,0.019,0.019,0.019
Texas,0.05,0.043,0.045,0.044,0.044,0.045,0.039,0.038,0.04,0.039,0.04,0.035,0.037,0.037,0.037,0.035,0.037,0.034,0.03,0.031,0.038,0.032,0.032,0.035,0.032,0.029,0.028,0.025,0.027,0.025,0.025
Utah,0.047,0.052,0.047,0.043,0.045,0.042,0.046,0.041,0.036,0.037,0.034,0.036,0.041,0.044,0.04,0.039,0.042,0.036,0.035,0.033,0.038,0.038,0.034,0.037,0.039,0.034,0.029,0.025,0.03,0.027,0.029
Vermont,0.041,0.036,0.045,0.044,0.047,0.047,0.043,0.04,0.034,0.031,0.031,0.029,0.029,0.029,0.032,0.027,0.031,0.029,0.028,0.023,0.031,0.026,0.026,0.025,0.025,0.028,0.02,0.027,0.016,0.017,0.016
Virginia,0.035,0.029,0.031,0.036,0.039,0.039,0.036,0.033,0.028,0.027,0.028,0.026,0.026,0.028,0.026,0.027,0.029,0.027,0.025,0.023,0.027,0.025,0.026,0.027,0.027,0.021,0.022,0.019,0.019,0.018,0.018
Washington,0.047,0.045,0.046,0.041,0.044,0.046,0.04,0.034,0.043,0.036,0.036,0.033,0.034,0.035,0.034,0.034,0.037,0.037,0.032,0.028,0.029,0.031,0.03,0.03,0.033,0.029,0.025,0.021,0.021,0.021,0.021
West Virginia,0.037,0.03,0.03,0.04,0.034,0.043,0.036,0.037,0.031,0.034,0.027,0.024,0.026,0.03,0.031,0.026,0.029,0.025,0.023,0.024,0.024,0.023,0.022,0.026,0.029,0.02,0.019,0.017,0.02,0.017,0.017
Wisconsin,0.029,0.026,0.03,0.029,0.028,0.038,0.028,0.026,0.026,0.025,0.023,0.022,0.023,0.023,0.023,0.022,0.027,0.023,0.021,0.021,0.024,0.022,0.024,0.022,0.024,0.019,0.017,0.015,0.016,0.014,0.014
Wyoming,0.11,0.067,0.048,0.049,0.045,0.059,0.041,0.038,0.036,0.036,0.035,0.044,0.046,0.037,0.042,0.04,0.047,0.036,0.039,0.038,0.043,0.034,0.033,0.035,0.043,0.034,0.03,0.029,0.025,0.023,0.024
