State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,0.445,0.447,0.46,0.472,0.497,0.472,0.478,0.506,0.501,0.479,0.461,0.491,0.512,0.511,0.513,0.49,0.485,0.485,0.484,0.485,0.481,0.483,0.488,0.5,0.496,0.504,0.48,0.465,0.463,0.471,0.472
Alabama,0.421,0.412,0.423,0.451,0.482,0.457,0.461,0.518,0.491,0.484,0.455,0.501,0.507,0.522,0.535,0.504,0.478,0.469,0.464,0.466,0.474,0.469,0.485,0.487,0.503,0.524,0.498,0.493,0.484,0.48,0.49
Alaska,0.387,0.395,0.438,0.471,0.456,0.389,0.334,0.319,0.396,0.384,0.454,0.476,0.539,0.514,0.518,0.486,0.494,0.468,0.46,0.465,0.457,0.485,0.453,0.529,0.491,0.498,0.482,0.455,0.449,0.485,0.493
Arizona,0.4,0.466,0.437,0.45,0.458,0.46,0.461,0.447,0.441,0.426,0.421,0.453,0.483,0.488,0.485,0.466,0.46,0.469,0.459,0.47,0.441,0.465,0.463,0.488,0.497,0.509,0.488,0.476,0.435,0.427,0.428
Arkansas,0.384,0.458,0.446,0.447,0.465,0.451,0.451,0.474,0.465,0.436,0.462,0.483,0.506,0.53,0.512,0.489,0.467,0.475,0.449,0.457,0.458,0.477,0.494,0.506,0.508,0.516,0.474,0.463,0.465,0.504,0.481
California,0.428,0.422,0.44,0.455,0.494,0.474,0.475,0.483,0.496,0.481,0.45,0.468,0.479,0.46,0.455,0.448,0.455,0.469,0.468,0.472,0.47,0.469,0.467,0.473,0.481,0.496,0.473,0.454,0.45,0.449,0.456
Colorado,0.392,0.455,0.42,0.426,0.447,0.403,0.412,0.41,0.423,0.421,0.439,0.479,0.511,0.512,0.51,0.487,0.474,0.47,0.462,0.474,0.459,0.457,0.466,0.476,0.469,0.486,0.471,0.452,0.448,0.456,0.446
Connecticut,0.495,0.49,0.513,0.514,0.544,0.525,0.522,0.552,0.551,0.486,0.448,0.453,0.486,0.509,0.528,0.519,0.515,0.51,0.518,0.514,0.507,0.516,0.515,0.518,0.498,0.53,0.491,0.466,0.471,0.497,0.493
Delaware,0.437,0.464,0.501,0.518,0.566,0.514,0.51,0.544,0.531,0.515,0.501,0.515,0.506,0.518,0.505,0.524,0.52,0.514,0.533,0.538,0.506,0.494,0.497,0.523,0.491,0.499,0.483,0.446,0.465,0.459,0.486
District of Columbia,0.479,0.483,0.476,0.466,0.536,0.495,0.508,0.571,0.544,0.486,0.457,0.483,0.517,0.536,0.562,0.51,0.509,0.516,0.515,0.503,0.519,0.516,0.503,0.531,0.548,0.524,0.541,0.546,0.522,0.514,0.518
Florida,0.433,0.431,0.443,0.444,0.466,0.453,0.446,0.46,0.456,0.436,0.421,0.457,0.475,0.481,0.471,0.444,0.433,0.44,0.436,0.437,0.434,0.439,0.449,0.466,0.464,0.471,0.451,0.419,0.387,0.388,0.416
Georgia,0.431,0.426,0.455,0.466,0.505,0.475,0.481,0.51,0.484,0.458,0.44,0.469,0.503,0.512,0.511,0.478,0.469,0.476,0.465,0.465,0.463,0.459,0.46,0.484,0.495,0.496,0.478,0.45,0.44,0.439,0.443
Hawaii,0.462,0.474,0.467,0.454,0.505,0.506,0.504,0.515,0.545,0.511,0.495,0.545,0.553,0.502,0.497,0.462,0.476,0.469,0.485,0.502,0.485,0.516,0.546,0.536,0.524,0.559,0.523,0.521,0.476,0.499,0.489
Idaho,0.37,0.418,0.415,0.405,0.449,0.43,0.429,0.478,0.525,0.502,0.491,0.551,0.557,0.532,0.534,0.502,0.473,0.475,0.466,0.475,0.469,0.469,0.476,0.509,0.513,0.524,0.488,0.478,0.454,0.398,0.407
Illinois,0.461,0.455,0.48,0.487,0.517,0.502,0.51,0.553,0.567,0.529,0.507,0.531,0.538,0.54,0.542,0.521,0.521,0.513,0.515,0.513,0.51,0.507,0.502,0.516,0.515,0.523,0.498,0.484,0.478,0.497,0.491
