Country: USA,,,,,,,,,
Variable: Firmdeath_Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,803,296,195,159,.,.,.,.,
c) 2,452,352,279,D,D,D,.,.,.
d) 3,413,191,141,D,D,.,.,.,.
e) 4,311,224,D,D,.,.,.,,
f) 5,225,151,D,.,D,.,.,,.
g) 6 to 10,356,276,143,D,D,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,844,562,496,D,D,.,.,.,.
m) ALL,"3,404","2,052","1,429","1,111",616,225,.,.,.
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,465,135,D,D,.,.,.,.,
c) 2,570,163,D,D,.,.,.,.,
d) 3,345,263,D,D,.,.,.,.,.
e) 4,285,121,177,.,.,.,.,.,.
f) 5,273,218,93,D,D,.,.,,
g) 6 to 10,522,316,334,D,D,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,915,453,327,230,D,D,.,.,.
m) ALL,"3,375","1,669","1,419",692,400,229,.,.,.
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,669,316,121,D,D,.,,.,
c) 2,412,256,164,D,D,.,.,.,
d) 3,393,205,76,D,D,.,.,.,
e) 4,260,111,D,D,.,.,.,.,.
f) 5,282,154,D,D,.,.,.,.,.
g) 6 to 10,586,357,D,D,.,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,777,547,356,286,.,.,.,.,.
m) ALL,"3,379","1,946","1,183",899,395,.,.,.,.
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,.,.
b) 1,704,351,349,D,D,.,.,.,
c) 2,472,227,174,442,585,.,,.,
d) 3,393,203,89,D,D,.,.,.,
e) 4,335,131,102,227,.,.,.,.,
f) 5,249,150,D,D,.,.,.,.,.
g) 6 to 10,721,298,D,438,D,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,690,580,395,D,.,D,.,.,.
m) ALL,"3,564","1,940","1,681","2,455",961,492,.,.,.
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,914,317,248,D,D,.,.,.,.
c) 2,479,D,286,D,.,.,.,.,
d) 3,407,151,232,220,.,.,,.,
e) 4,288,102,D,D,D,.,.,.,
f) 5,216,151,D,D,.,.,.,.,
g) 6 to 10,808,475,465,268,.,.,.,.,.
h) 11 to 15,49,D,D,.,.,.,.,,.
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,610,257,258,204,403,.,.,.,.
m) ALL,"3,771","1,735","1,612","1,134",715,.,.,.,.
,           1989,Estab Size,,,,,,,
