Country: USA,,,,,,,,,,,,
Variable: firmdeath_firms,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
g) 6 to 10,139,21,4,4,1,.,.,.,.,.,.,.
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,321,45,20,3,1,1,1,.,.,.,.,.
m) ALL,"1,322",153,51,15,6,2,1,.,.,.,.,.
,           1985,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,,.,,,,,
b) 1,183,12,8,1,.,.,.,.,.,.,.,
c) 2,201,12,4,2,.,.,.,.,,,,
d) 3,142,19,4,1,.,.,.,.,.,,,
e) 4,109,11,6,.,.,.,.,.,.,.,,
f) 5,103,16,3,1,1,.,.,.,.,,,
g) 6 to 10,197,21,10,7,1,.,.,.,.,.,.,.
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,334,35,15,6,1,1,.,1,.,.,.,.
m) ALL,"1,269",126,50,18,3,1,.,1,.,.,.,.
,           1986,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,,,,
b) 1,259,27,5,4,1,.,,.,.,.,,.
c) 2,176,21,6,3,1,.,.,.,.,.,,
d) 3,145,17,3,1,1,.,.,.,,,,
e) 4,94,10,4,1,.,.,.,.,.,,,
f) 5,93,13,5,1,.,.,.,.,.,,,
g) 6 to 10,212,31,10,1,.,.,.,.,.,.,.,.
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,296,42,13,5,.,.,.,.,.,.,.,.
m) ALL,"1,275",161,46,16,3,.,.,.,.,.,.,.
,           1987,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,.,,,,
b) 1,296,24,13,6,1,.,.,,,.,,.
c) 2,175,19,6,5,2,.,.,,,.,.,
d) 3,126,17,4,3,1,.,.,.,.,.,,.
e) 4,120,10,4,3,.,.,.,.,,,,
f) 5,87,10,7,1,.,.,.,.,.,,,.
g) 6 to 10,270,25,17,10,1,.,.,.,.,.,.,.
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,275,52,17,13,2,1,.,.,.,.,.,.
m) ALL,"1,349",157,68,41,7,1,.,.,.,.,.,.
,           1988,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
b) 1,387,24,9,2,1,.,.,.,,.,,
c) 2,196,21,10,2,.,.,.,,,,,.
d) 3,141,12,8,3,.,.,,.,.,,,.
e) 4,98,7,1,1,1,.,.,.,.,.,.,
f) 5,79,12,3,1,.,.,.,.,,,,.
g) 6 to 10,295,40,17,4,.,.,.,.,.,.,.,.
h) 11 to 15,26,3,1,.,.,.,.,.,.,.,.,.
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,242,23,11,4,3,.,.,.,.,.,.,.
m) ALL,"1,464",142,60,17,5,.,.,.,.,.,.,.
,           1989,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,.,,,
