Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
m) ALL,19.3,5.1,4.0,3.1,2.5,1.4,1.9,0.0,0.0
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,28.2,7.5,7.5,6.9,8.2,13.3,0.0,,0.0
c) 2,26.1,8.0,4.0,7.6,0.0,0.0,40.0,0.0,0.0
d) 3,23.4,8.7,4.7,6.2,14.6,5.4,0.0,,0.0
e) 4,18.9,5.9,7.5,4.1,3.9,11.8,0.0,,0.0
f) 5,19.6,4.2,2.7,4.1,0.0,0.0,0.0,0.0,0.0
g) 6 to 10,18.0,5.4,2.1,2.1,5.4,0.0,,,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.6,4.7,1.7,1.4,1.6,1.5,0.0,0.0,0.0
m) ALL,17.2,5.6,3.1,2.8,2.6,2.5,1.8,0.0,0.0
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,32.8,7.0,8.2,5.9,0.0,0.0,0.0,0.0,
c) 2,25.6,7.3,6.6,3.2,2.4,15.4,0.0,0.0,0.0
d) 3,25.3,4.8,3.7,2.2,3.7,0.0,0.0,0.0,0.0
e) 4,21.3,7.4,5.4,2.2,7.7,5.7,0.0,,
f) 5,22.5,4.9,2.6,1.1,3.2,0.0,0.0,,0.0
g) 6 to 10,20.7,5.3,5.4,3.3,2.1,3.6,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.3,3.7,3.0,2.0,1.2,0.5,0.0,0.0,0.0
m) ALL,19.6,5.0,4.1,2.4,1.8,1.7,0.0,0.0,0.0
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,25.3,5.4,4.3,2.1,0.0,0.0,0.0,0.0,
c) 2,25.0,4.0,3.2,3.3,0.0,6.9,0.0,0.0,
d) 3,22.8,6.6,3.1,3.9,0.0,0.0,0.0,0.0,0.0
e) 4,19.8,4.4,3.7,1.6,1.8,0.0,0.0,0.0,0.0
f) 5,21.3,6.8,4.9,5.5,7.3,0.0,0.0,,
g) 6 to 10,19.1,4.0,4.2,3.4,3.6,3.3,40.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.9,3.8,2.3,2.4,1.2,1.6,0.0,0.0,0.0
m) ALL,17.8,4.4,3.1,2.7,1.6,1.7,1.9,0.0,0.0
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,27.7,7.8,3.6,8.3,2.2,0.0,,0.0,
c) 2,25.8,7.2,3.2,3.7,5.9,0.0,0.0,0.0,
d) 3,24.2,6.2,5.6,2.1,5.9,0.0,0.0,0.0,
e) 4,19.5,3.6,2.9,1.9,0.0,8.7,0.0,0.0,0.0
f) 5,21.2,5.7,4.0,0.9,2.0,5.7,40.0,0.0,0.0
g) 6 to 10,15.1,3.7,2.8,1.3,1.0,0.0,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.3,3.8,2.2,1.5,1.5,0.5,0.0,0.0,0.0
m) ALL,17.5,4.6,2.8,2.0,1.8,1.0,1.7,0.0,0.0
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b) 1,30.0,7.4,6.3,7.2,4.9,18.2,0.0,0.0,
