Country: USA,,,,,,,,,
Variable: Job_Creation_Rate_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,195.8,197.4,197.4,200.0,174.0,200.0,199.7,
b) 1,D,0.0,0.0,0.8,0.0,0.0,0.0,,D
c) 2,3.5,4.2,1.9,6.3,4.3,0.0,0.0,0.0,D
d) 3,2.1,1.2,2.0,0.0,0.0,0.0,0.0,,D
e) 4,2.3,D,0.4,0.0,0.0,0.0,0.0,0.0,D
f) 5,1.7,D,2.5,0.0,4.1,0.0,0.0,0.0,D
g) 6 to 10,1.4,0.0,1.9,0.0,0.0,0.0,,,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.1,0.9,0.5,0.6,0.8,1.2,0.0,0.0,0.0
m) ALL,14.2,10.5,7.6,5.8,7.0,5.6,8.0,4.0,0.0
,           1984,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.2,197.6,200.0,200.0,200.0,200.0,199.5,199.7,
b) 1,D,D,0.5,1.6,0.0,0.0,0.0,0.0,
c) 2,1.7,1.7,0.4,0.8,3.4,5.7,0.0,,D
d) 3,D,1.0,1.0,0.0,0.0,0.0,0.0,0.0,D
e) 4,3.0,D,1.1,1.3,3.5,0.0,0.0,,
f) 5,2.9,D,0.0,0.7,0.0,0.0,0.0,,D
g) 6 to 10,2.3,0.8,0.2,1.6,0.0,0.0,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0.9,0.6,0.3,0.5,0.3,0.0,0.0,0.0,0.0
m) ALL,12.2,9.4,7.2,5.4,5.6,4.2,2.0,3.7,0.0
,           1985,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.5,197.3,200.0,199.9,200.0,199.9,199.3,199.8,
b) 1,D,D,0.3,1.4,2.6,0.0,0.0,0.0,
c) 2,4.7,D,1.8,5.9,4.2,0.0,0.0,0.0,
d) 3,3.1,2.3,0.8,0.8,0.0,0.0,25.0,0.0,D
e) 4,D,1.6,0.7,0.0,0.0,0.0,0.0,0.0,D
f) 5,3.1,2.2,0.0,1.2,2.4,6.7,0.0,,
g) 6 to 10,3.0,1.0,1.1,3.3,0.0,0.0,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.8,0.5,0.6,1.3,0.9,0.5,0.0,0.0,0.0
m) ALL,14.9,9.6,7.9,7.6,7.5,4.9,2.9,4.1,0.0
,           1986,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,199.1,D,199.9,200.0,200.0,200.0,200.0,199.8,
b) 1,1.2,4.7,9.9,18.8,17.3,14.1,,0.0,
c) 2,3.0,2.9,1.7,2.8,0.0,0.0,0.0,0.0,
d) 3,2.2,2.4,0.4,1.3,1.9,0.0,0.0,0.0,
e) 4,2.4,2.4,0.9,0.4,2.3,0.0,0.0,0.0,D
f) 5,2.3,D,0.0,0.7,0.0,0.0,0.0,0.0,D
g) 6 to 10,2.3,1.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.3,0.4,0.8,0.4,0.3,0.0,0.0,0.0,0.0
m) ALL,13.8,10.5,9.6,7.8,6.5,6.4,13.2,5.0,0.0
,           1987,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.0,D,200.0,188.0,182.4,150.3,76.7,63.1,D
b) 1,0.4,0.6,0.6,1.6,2.2,20.1,0.0,0.0,
c) 2,3.2,3.0,2.8,1.4,2.0,0.0,0.0,0.0,
d) 3,3.3,D,2.9,0.0,2.8,6.5,0.0,0.0,
e) 4,4.2,2.4,3.0,0.0,0.0,0.0,0.0,0.0,
f) 5,2.6,1.2,1.8,0.0,1.7,0.0,0.0,0.0,D
g) 6 to 10,2.7,2.0,0.9,1.3,2.4,4.8,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.7,0.8,1.0,0.5,0.5,0.0,1.9,0.0,0.0
m) ALL,16.1,11.6,9.2,8.0,8.1,8.3,8.0,2.4,3.7
,           1988,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,197.7,198.1,200.0,200.0,200.0,199.8,200.0,
b) 1,D,D,0.3,2.9,1.9,3.4,0.0,0.0,D
c) 2,1.8,1.5,2.2,1.9,3.0,0.0,0.0,0.0,
d) 3,1.7,2.0,1.9,0.0,2.3,11.6,,0.0,
e) 4,1.5,D,2.0,0.0,0.0,0.0,0.0,0.0,
f) 5,3.4,0.9,0.4,0.0,0.0,10.4,0.0,0.0,
g) 6 to 10,2.0,0.8,0.9,0.6,0.9,1.1,0.0,0.0,0.0
h) 11 to 15,1.9,D,0.5,1.0,0.0,0.0,0.0,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.1,0.8,0.4,0.6,0.6,2.6,0.0,0.0,0.0
m) ALL,13.4,10.5,8.8,8.0,6.4,6.7,4.3,2.3,0.0
,           1989,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.1,195.9,188.3,193.2,183.5,180.1,200.0,200.0,D
b) 1,0.0,0.0,1.0,1.5,5.7,0.0,0.0,0.0,
c) 2,2.8,0.7,0.6,1.4,4.5,0.0,0.0,0.0,D
d) 3,2.2,1.6,0.7,2.7,0.0,0.0,0.0,0.0,
e) 4,2.0,D,1.6,0.6,0.0,0.0,71.9,0.0,
f) 5,2.3,2.6,1.4,2.3,2.8,0.0,0.0,0.0,
g) 6 to 10,2.5,1.2,0.9,0.6,0.0,1.6,0.0,0.0,0.0
h) 11 to 15,1.9,D,1.6,0.9,2.1,3.6,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.4,0.5,0.8,0.7,0.5,0.0,0.0,0.0,0.0
m) ALL,12.6,8.9,8.2,7.9,7.4,5.8,6.3,2.3,6.0
,           1990,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.9,198.7,199.9,200.0,200.0,199.9,199.9,,
b) 1,0.0,D,0.4,0.5,4.1,3.8,0.0,0.0,D
c) 2,2.5,D,1.2,1.3,0.0,6.1,0.0,0.0,
d) 3,2.3,2.0,2.7,1.5,0.0,5.7,0.0,0.0,0.0
e) 4,3.4,1.8,1.6,1.5,2.8,0.0,0.0,0.0,
f) 5,2.7,2.4,1.3,0.0,2.4,0.0,0.0,0.0,
g) 6 to 10,2.2,1.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0
h) 11 to 15,1.8,1.1,0.5,0.9,0.0,0.0,0.0,0.0,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.3,0.5,0.2,0.4,1.0,0.6,0.0,0.0,0.0
m) ALL,14.0,10.1,7.6,6.7,6.2,6.4,8.3,0.0,2.5
,           1991,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.2,196.2,199.1,200.0,191.7,179.8,200.0,200.0,
b) 1,0.1,0.0,0.4,4.5,2.1,12.0,0.0,,
c) 2,1.8,1.8,0.3,0.0,1.3,0.0,0.0,0.0,D
d) 3,2.1,D,0.0,1.2,0.0,0.0,0.0,0.0,
e) 4,2.2,2.2,0.7,1.1,2.9,0.0,0.0,0.0,0.0
f) 5,2.7,D,0.4,2.4,0.0,0.0,0.0,0.0,D
g) 6 to 10,1.8,1.1,0.9,1.2,0.5,0.0,0.0,0.0,0.0
h) 11 to 15,1.4,0.5,1.1,0.6,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.0,0.4,0.5,0.1,0.3,0.0,0.0,0.0,0.0
m) ALL,14.2,11.8,9.3,8.0,6.4,5.6,6.1,12.1,0.0
,           1992,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.3,D,199.9,200.0,200.0,199.9,200.0,199.9,
b) 1,0.2,D,0.0,0.7,0.0,0.0,0.0,0.0,
c) 2,2.4,D,0.7,0.0,0.0,0.0,0.0,0.0,
d) 3,2.9,1.0,1.3,0.0,1.7,0.0,0.0,0.0,D
e) 4,2.5,1.3,1.2,1.0,2.3,0.0,0.0,0.0,
f) 5,2.6,D,1.2,0.0,0.0,0.0,0.0,0.0,D
g) 6 to 10,3.1,0.7,1.0,1.1,0.0,0.0,0.0,0.0,0.0
h) 11 to 15,1.7,0.5,0.4,0.2,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.0,0.5,0.1,0.2,0.2,0.0,0.0,0.0,0.0
m) ALL,13.2,8.9,7.2,6.0,3.9,5.4,1.2,7.4,0.0
,           1993,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.1,195.7,198.7,180.1,199.9,200.0,200.0,200.0,
b) 1,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,
c) 2,2.2,1.7,1.4,0.0,0.0,10.7,0.0,0.0,D
d) 3,1.5,D,0.5,0.0,0.0,0.0,0.0,0.0,
e) 4,2.6,D,0.0,1.3,1.7,0.0,0.0,0.0,D
f) 5,2.9,2.6,1.3,0.4,0.0,0.0,0.0,0.0,
g) 6 to 10,2.9,1.3,1.1,1.1,0.0,0.0,0.0,0.0,0.0
