Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"12,130","12,893","34,593","30,204","2,781",22.9,"1,469",12.1,"13,973","5,555","8,418",18.4,46.3,"5,194","2,955","2,239",9.8,17.2,"8,779",29.1,34.4,19,20,44
b. 5 to 9,"5,188","5,889","41,495","38,652",882,15.6,457,8.1,"12,830","5,730","7,100",14.8,33.2,"7,143","2,931","4,212",7.6,18.5,"5,687",14.7,37.0,10,11,73
c. 10 to 19,"3,273","3,768","51,566","49,338",467,12.8,230,6.3,"13,430","6,213","7,217",12.6,27.2,"8,974","3,015","5,959",6.1,18.2,"4,456",9.0,36.4,3,3,39
d. 20 to 49,"1,726","2,087","64,039","60,781",254,12.7,95,4.7,"15,751","7,323","8,428",12.0,25.9,"9,234","2,667","6,567",4.4,15.2,"6,517",10.7,30.4,3,3,99
e. 50 to 99,504,610,"42,083","41,236",58,9.6,44,7.3,"8,615","3,787","4,828",9.2,20.9,"6,920","2,848","4,072",6.9,16.8,"1,695",4.1,33.6,1,2,D
f. 100 to 249,210,241,"35,550","35,333",15,6.3,13,5.4,"5,910","2,100","3,810",5.9,16.7,"5,476",D,"3,432",D,15.5,434,1.2,31.0,2,2,D
g. 250 to 499,46,55,"19,079","18,790",1,1.8,1,1.8,"2,342",D,D,D,12.5,"1,764",D,"1,481",D,9.4,578,3.1,18.8,,,
h. 500 to 999,23,23,"17,511","16,070",1,4.4,0,0.0,"3,235",D,D,D,20.1,352,0,352,0.0,2.2,"2,883",17.9,4.4,,,
i. 1000+,11,12,"21,825","20,885",0,0.0,0,0.0,"2,306",0,"2,306",0.0,11.0,425,0,425,0.0,2.0,"1,881",9.0,4.0,,,
