Country: USA,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b) 1,32.3,13.7,15.1,12.3,D,D,0.0,,D
c) 2,29.8,14.7,7.3,D,0.0,0.0,D,D,D
d) 3,28.2,15.7,8.4,D,25.6,D,D,,D
e) 4,20.5,10.5,14.4,7.3,D,D,D,,D
f) 5,21.7,8.2,4.9,7.5,0.0,0.0,D,D,D
g) 6 to 10,21.3,9.8,5.0,D,D,D,,,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.2,8.5,3.2,2.5,2.9,2.5,0.0,0.0,0.0
m) ALL,18.9,10.1,5.9,5.1,4.7,4.1,2.9,0.0,0.0
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,38.1,13.4,15.8,11.3,0.0,D,0.0,D,
c) 2,28.5,13.5,13.3,6.0,D,D,0.0,D,D
d) 3,30.2,9.0,6.5,D,D,0.0,D,0.0,D
e) 4,23.7,14.5,11.2,D,D,D,D,,
f) 5,26.5,10.1,4.6,D,D,0.0,D,,D
g) 6 to 10,22.8,9.8,10.4,6.0,D,D,0.0,D,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.2,7.1,5.8,4.0,D,D,0.0,0.0,0.0
m) ALL,22.0,9.2,7.8,4.6,3.4,3.2,0.0,0.0,0.0
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,29.8,9.8,D,D,0.0,0.0,D,D,
c) 2,30.5,7.5,D,5.9,0.0,D,0.0,D,
d) 3,26.0,12.7,5.9,6.6,0.0,0.0,0.0,D,D
e) 4,23.9,8.5,7.1,D,D,0.0,D,D,D
f) 5,25.6,13.1,9.8,D,D,D,D,,
g) 6 to 10,21.9,7.8,8.2,6.1,7.2,D,D,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,18.1,7.0,4.6,4.5,2.0,3.2,0.0,0.0,0.0
m) ALL,20.6,8.1,6.0,5.0,3.0,4.1,2.5,0.0,0.0
,           1986,Estab Size,,,,,,,
