Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,809","6,049",D,D,"1,510",26.1,947,16.4,D,"2,974",D,D,D,D,D,D,D,D,D,D,D,616,616,"1,199"
b. 5 to 9,"2,167","2,355","16,678","15,415",412,18.2,215,9.5,"5,442","2,662","2,780",17.3,35.3,"2,915","1,370","1,545",8.9,18.9,"2,527",16.4,37.8,157,157,"1,000"
c. 10 to 19,"1,198","1,303","17,958","17,206",198,15.6,121,9.6,"4,903","2,653","2,250",15.4,28.5,"3,399","1,587","1,812",9.2,19.8,"1,504",8.7,39.6,88,88,"1,163"
d. 20 to 49,677,757,"22,774","21,941",108,14.6,71,9.6,"6,322","3,213","3,109",14.6,28.8,"4,656","2,118","2,538",9.7,21.2,"1,666",7.6,42.4,56,57,"1,715"
e. 50 to 99,168,186,"12,946","12,700",20,10.9,14,7.7,"2,830","1,253","1,577",9.9,22.3,"2,338","1,107","1,231",8.7,18.4,492,3.9,36.8,7,7,544
f. 100 to 249,69,85,"13,178","12,427",9,10.9,4,4.8,"3,095","1,353","1,742",10.9,24.9,"1,592",597,995,4.8,12.8,"1,503",12.1,25.6,2,2,D
g. 250 to 499,17,19,"5,764","5,771",2,10.8,1,5.4,"1,176",D,D,D,20.4,"1,190",D,857,D,20.6,-14,-0.2,40.8,1,1,D
h. 500 to 999,3,3,"1,606","1,329",1,40.0,0,0.0,593,D,D,D,44.6,38,0,38,0.0,2.9,555,41.7,5.8,,,
i. 1000+,2,2,D,D,0,0.0,0,0.0,D,0,D,D,D,D,D,D,D,D,D,D,D,,,
m. ALL,"10,110","10,759","109,289","102,987","2,260",21.9,"1,373",13.3,"31,495","15,382","16,113",14.9,30.6,"18,886","8,866","10,020",8.6,18.3,"12,609",12.3,36.6,927,928,"6,309"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,456","5,717",D,D,"1,305",22.5,"1,352",23.3,D,"2,557",D,D,D,D,D,D,D,D,D,D,D,836,836,"1,630"
b. 5 to 9,"2,218","2,425","18,675","17,287",369,15.2,365,15.0,"6,276","2,408","3,868",13.9,36.3,"3,499","2,313","1,186",13.4,20.2,"2,777",16.1,40.4,220,220,"1,386"
c. 10 to 19,"1,289","1,403","21,297","19,851",198,14.2,161,11.6,"6,608","2,628","3,980",13.2,33.3,"3,716","2,166","1,550",10.9,18.7,"2,892",14.6,37.4,89,89,"1,203"
d. 20 to 49,682,763,"26,313","24,349",78,10.3,70,9.2,"7,674","2,390","5,284",9.8,31.5,"3,745","1,994","1,751",8.2,15.4,"3,929",16.1,30.8,30,30,842
e. 50 to 99,169,194,"14,102","13,268",21,11.1,12,6.3,"3,456","1,449","2,007",10.9,26.0,"1,787",747,"1,040",5.6,13.5,"1,669",12.5,27.0,3,3,174
f. 100 to 249,86,98,"14,648","14,210",10,10.3,8,8.2,"3,509","1,524","1,985",10.7,24.7,"2,632","1,154","1,478",8.1,18.5,877,6.2,37.0,1,1,D
g. 250 to 499,21,26,"9,449","9,568",1,3.7,3,11.1,"1,849",D,D,D,19.3,"2,087","1,206",881,12.6,21.8,-238,-2.5,38.6,2,2,D
h. 500 to 999,3,3,"1,800","1,456",1,40.0,0,0.0,688,D,D,D,47.3,0,0,0,0.0,0.0,688,47.3,0.0,,,
i. 1000+,2,2,D,D,0,0.0,0,0.0,D,0,D,D,D,D,D,D,D,D,D,D,D,,,
m. ALL,"9,926","10,631","124,347","116,508","1,983",18.5,"1,971",18.4,"37,197","13,903","23,294",11.9,31.9,"21,514","12,265","9,249",10.5,18.5,"15,683",13.4,37.0,"1,181","1,181","6,070"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,841","6,102",D,D,"1,424",25.0,667,11.7,D,D,D,D,D,D,D,D,D,D,D,D,D,14,14,30
b. 5 to 9,"2,563","2,766","19,318","17,960",444,16.8,197,7.5,"5,969","2,862","3,107",15.9,33.2,"3,252","1,289","1,963",7.2,18.1,"2,717",15.1,36.2,5,5,28
