Country: USA,,,,,,,,,
Variable: Reallocation_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,33.4,48.4,47.2,39.8,20.8,D,24.8,,D
c) 2,41.2,35.4,41.0,41.8,30.6,32.4,32.0,D,D
d) 3,32.0,33.2,35.2,24.8,28.2,23.4,D,,D
e) 4,32.0,27.4,21.0,28.8,31.2,4.0,D,,D
f) 5,25.2,33.6,18.6,25.6,26.2,25.6,D,D,D
g) 6 to 10,23.8,21.8,15.8,20.0,31.2,D,,,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.8,20.8,19.2,19.2,19.4,12.2,17.6,6.6,5.6
m) ALL,57.0,43.4,34.8,32.0,28.4,30.6,28.0,6.0,20.8
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,44.8,45.0,46.2,46.0,34.0,D,9.2,D,
c) 2,34.0,37.0,38.0,33.2,31.6,26.4,10.6,D,D
d) 3,31.8,33.2,29.0,31.2,30.4,31.6,D,15.4,D
e) 4,33.8,27.4,30.4,21.0,29.6,D,D,,
f) 5,28.2,24.0,27.8,18.2,36.8,11.6,D,,D
g) 6 to 10,26.2,24.2,25.0,25.6,26.8,24.2,0.0,D,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.0,19.8,18.6,17.6,19.8,12.0,17.6,8.2,3.0
m) ALL,63.4,42.0,34.8,27.8,27.6,18.8,17.8,10.4,4.4
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,41.4,50.4,37.4,34.0,29.6,8.4,D,D,
c) 2,36.2,40.8,37.6,34.4,19.8,D,12.0,D,
d) 3,38.0,30.0,31.8,32.2,26.4,40.8,4.6,D,D
e) 4,33.6,33.0,26.0,26.4,24.4,30.8,D,D,D
f) 5,27.8,30.0,29.0,32.0,30.2,D,D,,
g) 6 to 10,28.4,24.4,31.8,23.4,21.6,24.0,8.8,23.6,1.6
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.6,18.4,19.8,19.0,19.4,17.8,15.2,10.0,4.2
m) ALL,60.4,39.4,31.6,29.2,27.0,25.8,17.6,11.0,4.8
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,50.6,51.6,38.6,42.4,37.0,D,,D,
c) 2,46.2,46.0,37.4,38.0,21.0,3.8,D,D,
d) 3,37.0,36.4,31.4,17.8,22.2,47.8,D,D,
e) 4,34.4,32.8,26.8,32.4,22.6,42.4,4.2,D,D
f) 5,30.6,23.6,21.2,24.2,24.8,9.2,18.4,D,D
g) 6 to 10,30.4,26.0,28.4,26.8,13.4,18.2,6.6,11.0,2.6
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,20.2,21.0,20.4,19.4,18.0,14.8,17.2,8.4,0.0
m) ALL,58.0,37.8,31.2,27.6,22.4,19.6,26.4,8.2,1.2
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,D
b) 1,45.2,54.4,48.4,47.2,40.6,56.4,16.6,0.0,
c) 2,43.4,44.4,38.4,29.6,34.2,D,,D,
d) 3,34.4,38.0,30.2,34.2,26.4,D,1.0,D,
e) 4,39.6,37.0,35.4,38.8,14.4,9.4,D,D,
f) 5,31.4,33.4,32.6,26.8,30.6,40.6,D,D,D
g) 6 to 10,32.8,28.4,32.2,32.4,25.4,24.4,13.2,7.8,7.4
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,22.2,22.0,19.0,24.8,23.6,25.0,22.0,29.4,0.4
m) ALL,62.4,40.8,33.0,33.6,28.8,28.0,34.8,25.8,11.4
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,44.6,47.0,50.2,42.4,43.4,D,5.4,0.8,D
c) 2,41.4,44.2,41.2,34.0,31.8,29.0,5.6,0.0,
d) 3,36.6,37.6,40.0,33.6,24.8,D,,D,
e) 4,33.2,33.2,24.8,22.2,34.8,12.2,D,D,
f) 5,28.4,25.2,28.0,27.0,18.2,35.6,D,D,
g) 6 to 10,26.0,27.2,26.2,25.8,25.4,17.2,39.8,8.4,0.0
h) 11 to 15,24.6,20.2,28.4,18.4,17.6,35.0,D,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.4,20.8,18.4,18.6,17.4,20.0,18.8,8.8,5.8
m) ALL,60.6,38.8,34.6,30.0,24.0,26.0,26.2,12.8,3.6
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,,D
b) 1,40.6,43.2,40.4,55.2,31.8,23.6,D,D,
c) 2,38.2,35.8,36.8,39.4,31.0,4.8,2.0,0.0,3.8
d) 3,38.4,37.6,35.6,33.6,21.2,28.4,4.8,8.4,
e) 4,32.4,29.6,33.8,29.6,29.0,22.4,D,D,
f) 5,35.8,32.8,30.0,22.8,18.6,14.6,D,D,
g) 6 to 10,28.6,27.4,26.0,22.8,24.2,21.6,8.4,6.8,8.2
h) 11 to 15,22.4,24.2,20.2,22.6,31.2,9.6,24.8,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.8,21.0,19.0,20.0,18.4,13.4,15.4,5.8,3.8
m) ALL,58.8,37.0,33.6,29.8,22.6,19.2,18.0,5.2,6.8
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
