Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
e. 50 to 99,"1,814","2,444","171,259","167,670",167,6.9,121,5.0,"31,591","11,433","20,158",6.8,18.8,"24,413","8,152","16,261",4.9,14.6,"7,178",4.2,29.2,50,50,"3,285"
f. 100 to 249,872,"1,190","172,909","174,846",64,5.4,47,4.0,"22,098","9,037","13,061",5.2,12.6,"25,972","6,881","19,091",3.9,14.9,"-3,874",-2.3,25.2,16,16,"2,394"
g. 250 to 499,261,326,"112,182","112,934",14,4.3,9,2.8,"14,083","4,874","9,209",4.3,12.5,"15,587","3,558","12,029",3.2,13.8,"-1,504",-1.3,25.0,4,4,"1,481"
h. 500 to 999,92,106,"66,982","69,993",2,1.9,4,3.7,"4,561",D,D,D,6.5,"10,582","2,444","8,138",3.5,15.1,"-6,021",-8.6,13.0,,,
i. 1000+,58,63,"115,766","119,689",1,1.6,3,4.7,"9,736",D,D,D,8.1,"17,583","11,852","5,731",9.9,14.7,"-7,847",-6.6,16.2,,,
m. ALL,"65,474","77,052","1,205,188","1,204,087","8,562",11.1,"8,596",11.2,"194,188","75,314","118,874",6.3,16.1,"191,985","74,579","117,406",6.2,15.9,"2,203",0.2,31.8,"5,113","5,114","29,390"
,,2002,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"35,620","38,891","96,983","89,617","6,487",16.8,"6,088",15.7,"31,992",D,D,D,35.7,"17,259",D,"6,278",D,19.3,"14,733",16.4,38.6,"3,404","3,406","6,190"
b. 5 to 9,"14,004","17,105","117,083","113,872","1,687",10.0,"1,380",8.1,"27,621","10,915","16,706",9.6,24.3,"21,199","8,971","12,228",7.9,18.6,"6,422",5.7,37.2,772,774,"5,003"
c. 10 to 19,"8,354","10,561","143,305","141,879",877,8.4,724,6.9,"29,124","11,680","17,444",8.2,20.5,"26,271","9,645","16,626",6.8,18.5,"2,853",2.0,37.0,329,329,"4,313"
d. 20 to 49,"5,262","7,255","214,820","215,115",548,7.6,444,6.2,"39,183","16,291","22,892",7.6,18.2,"39,772","13,536","26,236",6.3,18.5,-589,-0.3,36.4,178,180,"5,270"
e. 50 to 99,"1,865","2,437","160,761","163,670",176,7.2,166,6.8,"25,187","11,840","13,347",7.2,15.4,"31,004","11,177","19,827",6.8,18.9,"-5,817",-3.5,30.8,62,64,"4,408"
f. 100 to 249,889,"1,199","168,843","172,489",93,7.8,66,5.6,"26,753","13,346","13,407",7.7,15.5,"34,044","10,478","23,566",6.1,19.7,"-7,291",-4.2,31.0,18,19,"2,935"
g. 250 to 499,261,319,"111,916","112,409",20,6.3,21,6.6,"19,126","6,753","12,373",6.0,17.0,"20,111","7,438","12,673",6.6,17.9,-985,-0.9,34.0,9,9,"2,912"
h. 500 to 999,90,111,"69,971","73,412",4,3.6,7,6.2,"7,319","2,496","4,823",3.4,10.0,"14,201","4,985","9,216",6.8,19.3,"-6,882",-9.3,20.0,3,3,"1,953"
i. 1000+,57,63,"108,233","112,024",2,3.2,2,3.2,"5,293",D,D,D,4.7,"12,875",D,"10,016",D,11.5,"-7,582",-6.8,9.4,,,
m. ALL,"66,402","77,941","1,191,915","1,194,487","9,894",12.8,"8,898",11.5,"211,598","88,099","123,499",7.4,17.7,"216,736","80,070","136,666",6.7,18.1,"-5,138",-0.4,35.4,"4,775","4,784","32,984"
,,2003,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"35,987","39,440","96,425","89,479","6,320",16.1,"5,151",13.2,"29,787","11,508","18,279",12.9,33.3,"15,895","9,305","6,590",10.4,17.8,"13,892",15.5,35.6,"3,790","3,791","6,948"
b. 5 to 9,"14,106","17,228","117,525","114,476","1,379",8.1,"1,033",6.0,"24,355","8,819","15,536",7.7,21.3,"18,257","6,703","11,554",5.9,15.9,"6,098",5.4,31.8,767,767,"4,975"
