Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,162","10,881","28,793","25,106","2,200",21.3,"1,200",11.6,"11,453","4,343","7,110",17.3,45.6,"4,079","2,242","1,837",8.9,16.2,"7,374",29.4,32.4,13,13,20
b. 5 to 9,"4,086","4,493","31,700","29,437",639,14.8,293,6.8,"9,564","4,152","5,412",14.1,32.5,"5,038","1,906","3,132",6.5,17.1,"4,526",15.4,34.2,3,3,D
c. 10 to 19,"2,407","2,674","37,085","35,301",296,11.5,120,4.6,"8,973","3,902","5,071",11.1,25.4,"5,404","1,557","3,847",4.4,15.3,"3,569",10.1,30.6,3,3,42
d. 20 to 49,"1,263","1,442","44,420","42,322",143,10.2,59,4.2,"9,948","3,998","5,950",9.4,23.5,"5,752","1,648","4,104",3.9,13.6,"4,196",9.9,27.2,,,
e. 50 to 99,326,390,"26,768","25,983",26,6.8,13,3.4,"5,008","1,745","3,263",6.7,19.3,"3,437",834,"2,603",3.2,13.2,"1,571",6.1,26.4,2,2,D
f. 100 to 249,136,165,"25,787","24,970",8,4.9,4,2.5,"4,415","1,172","3,243",4.7,17.7,"2,780",569,"2,211",2.3,11.1,"1,635",6.6,22.2,,,
g. 250 to 499,22,26,"8,826","8,769",0,0.0,0,0.0,630,0,630,0.0,7.2,516,0,516,0.0,5.9,114,1.3,11.8,,,
h. 500 to 999,10,11,"7,496","7,467",0,0.0,0,0.0,252,0,252,0.0,3.4,193,0,193,0.0,2.6,59,0.8,5.2,,,
i. 1000+,4,7,"17,421","13,589",0,0.0,0,0.0,"8,089",0,"8,089",0.0,59.5,425,0,425,0.0,3.1,"7,664",56.4,6.2,,,
m. ALL,"18,416","20,089","228,296","212,944","3,312",17.2,"1,689",8.8,"58,332","19,312","39,020",9.1,27.4,"27,624","8,756","18,868",4.1,13.0,"30,708",14.4,26.0,21,21,224
,,1980,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,878","10,564","25,941","24,432","1,976",18.7,"1,921",18.1,"9,061",D,D,D,37.1,"6,042","3,700","2,342",15.1,24.7,"3,019",12.4,49.4,"1,337","1,338",D
b. 5 to 9,"4,194","4,591","29,397","29,607",516,11.3,463,10.1,"6,971","3,396","3,575",11.5,23.5,"7,391","2,956","4,435",10.0,25.0,-420,-1.5,47.0,331,331,"2,117"
c. 10 to 19,"2,486","2,739","35,062","35,394",260,9.6,189,7.0,"7,146","3,454","3,692",9.8,20.2,"7,810","2,515","5,295",7.1,22.1,-664,-1.9,40.4,139,139,"1,856"
d. 20 to 49,"1,382","1,587","45,033","45,941",115,7.3,106,6.7,"7,349","3,329","4,020",7.2,16.0,"9,164","2,991","6,173",6.5,19.9,"-1,815",-3.9,32.0,60,61,"1,729"
e. 50 to 99,351,417,"27,041","27,583",14,3.3,16,3.8,"3,158",938,"2,220",3.4,11.4,"4,242","1,111","3,131",4.0,15.4,"-1,084",-4.0,22.8,4,4,313
f. 100 to 249,154,176,"25,130","25,711",7,4.0,7,4.0,"2,739",898,"1,841",3.5,10.7,"3,900",D,"2,943",D,15.2,"-1,161",-4.5,21.4,3,3,456
