Country: USA,,,,,,,,,,,,
Variable: Estabs,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,272","1,854","1,432","1,093",599,497,521,357,460,186,213,935
m) ALL,"8,818","3,747","2,523","1,728",856,668,545,388,482,187,213,939
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,897",182,69,22,2,2,1,,,,,
b) 1,"1,078",363,177,98,33,6,2,,1,,,1
c) 2,885,346,214,104,28,17,1,8,1,1,1,
d) 3,760,322,159,86,21,48,5,16,,2,,
e) 4,650,276,156,113,29,16,,10,2,,,
f) 5,527,287,150,80,21,16,2,,2,3,,
g) 6 to 10,458,272,197,182,118,100,8,4,21,,,3
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,198","1,688","1,363","1,062",577,525,534,386,443,190,198,"1,005"
m) ALL,"9,453","3,736","2,485","1,747",829,730,553,424,470,196,199,"1,009"
,           1984,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,536",194,61,24,2,,,1,,,,
b) 1,"1,076",358,143,74,17,2,2,3,,,,
c) 2,848,332,165,100,24,9,2,,1,,,
d) 3,737,323,197,91,46,11,6,4,24,2,,
e) 4,661,290,143,74,25,46,4,16,4,,,
f) 5,550,282,153,99,22,31,8,13,2,,,
g) 6 to 10,884,534,288,245,132,127,11,2,13,21,4,2
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,964","1,604","1,308","1,034",548,574,442,425,411,223,161,"1,012"
m) ALL,"9,256","3,917","2,458","1,741",816,800,475,464,455,246,165,"1,014"
,           1985,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,832",213,67,47,8,,1,,,,,
b) 1,915,324,165,73,13,4,2,1,2,1,5,
c) 2,882,324,163,67,17,3,3,1,,,,
d) 3,700,295,167,99,17,14,4,5,1,,,
e) 4,640,306,203,88,40,19,4,2,5,1,,
f) 5,578,289,117,69,22,51,5,18,5,,,
g) 6 to 10,"1,288",745,428,320,150,117,33,20,15,11,8,2
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,737","1,533","1,227","1,015",442,579,470,389,514,222,174,"1,038"
m) ALL,"9,572","4,029","2,537","1,778",709,787,522,436,542,235,187,"1,040"
,           1986,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,776",209,95,47,4,2,,,,,,
b) 1,"1,057",399,191,82,30,6,,4,1,5,,1
c) 2,721,309,156,82,13,8,2,4,1,3,,
d) 3,711,307,142,75,19,6,2,1,,,,
e) 4,607,271,159,105,38,9,3,7,1,,,
f) 5,567,276,186,87,44,19,6,1,9,,,
g) 6 to 10,"1,736",978,524,390,146,158,61,29,41,12,25,2
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,545","1,469","1,156",990,428,618,441,434,489,225,167,"1,083"
m) ALL,"9,720","4,218","2,609","1,858",722,826,515,480,542,245,192,"1,086"
,           1987,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,936",247,109,67,24,8,7,2,,,,
b) 1,"1,001",371,202,93,42,8,2,,,1,,5
c) 2,839,378,204,114,24,12,1,,,1,5,
d) 3,596,294,150,86,20,5,3,1,5,4,,3
e) 4,610,270,155,99,13,5,1,1,,,,
f) 5,537,252,151,87,34,8,4,4,1,,,4
g) 6 to 10,"2,114","1,155",684,445,227,256,35,39,59,24,2,1
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,351","1,378","1,069",944,458,582,385,513,391,363,120,"1,112"
m) ALL,"9,984","4,345","2,724","1,935",842,884,438,560,456,393,127,"1,125"
,           1988,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,759",242,116,31,23,3,1,,,,,
b) 1,"1,018",382,218,125,41,23,5,5,,1,,
c) 2,728,359,212,120,34,11,7,,,,,5
d) 3,687,362,203,120,34,12,,1,8,,,1
e) 4,502,278,150,82,18,13,4,32,4,2,1,
f) 5,551,249,139,104,14,16,1,1,,,,1
g) 6 to 10,"2,104","1,093",659,391,160,178,36,62,7,24,6,14
h) 11 to 15,298,202,148,143,86,133,32,8,33,2,2,8
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,182","1,300","1,050",891,473,521,440,424,523,281,126,"1,216"
m) ALL,"9,829","4,467","2,895","2,007",883,910,526,533,575,310,135,"1,245"
,           1989,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,702",199,80,59,9,5,2,,1,,,
b) 1,972,425,239,112,15,30,1,3,5,,48,
c) 2,777,354,203,145,51,15,9,3,,1,,
d) 3,577,346,202,131,40,10,9,,1,,,5
e) 4,587,316,185,124,38,9,,,11,,,
f) 5,428,244,152,76,17,14,10,4,36,1,1,
g) 6 to 10,"2,107","1,039",701,410,197,166,18,71,30,11,13,3
h) 11 to 15,569,413,236,195,105,135,46,13,33,,8,12
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,027","1,254",988,885,464,480,489,432,534,363,141,"1,256"
m) ALL,"9,746","4,590","2,986","2,137",936,864,584,526,651,376,211,"1,276"
,           1990,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,887",215,93,45,9,7,1,,,,,
b) 1,"1,022",372,173,109,35,29,3,3,1,,,
c) 2,779,380,258,122,34,26,3,1,1,59,,
d) 3,630,331,190,147,53,28,6,3,,1,,
e) 4,509,298,197,127,31,21,8,4,1,,,5
f) 5,519,303,179,102,43,17,1,1,13,1,,
g) 6 to 10,"1,970","1,052",694,391,147,200,26,65,30,9,15,2
h) 11 to 15,892,542,344,291,120,200,79,12,53,14,11,14
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,938","1,156",963,836,457,458,451,469,590,395,132,"1,308"
m) ALL,"10,146","4,649","3,091","2,170",929,986,578,558,689,479,158,"1,329"
,           1991,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,958",223,80,43,9,11,3,3,,,,
b) 1,"1,117",422,191,115,31,11,3,2,,,,1
c) 2,823,377,177,112,44,36,8,3,2,,,
d) 3,692,356,228,120,26,36,7,2,1,60,,
e) 4,557,302,185,130,62,20,9,4,,1,,
f) 5,454,282,175,139,18,25,5,,9,,,5
g) 6 to 10,"1,897","1,092",748,439,168,113,30,37,37,25,18,54
h) 11 to 15,"1,188",691,448,322,153,263,142,58,66,15,42,19
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,851","1,108",950,881,465,497,434,484,569,433,130,"1,360"
m) ALL,"10,537","4,853","3,182","2,301",976,"1,012",641,593,684,534,190,"1,439"
,           1992,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,721",209,72,48,7,4,2,25,,,,
b) 1,"1,068",435,176,99,18,12,6,4,4,,,
c) 2,891,364,196,117,47,5,4,3,,,1,
d) 3,663,336,173,86,40,30,6,1,4,,,
e) 4,587,320,190,123,44,38,2,2,5,66,,1
f) 5,477,284,152,131,67,25,2,7,8,,,
g) 6 to 10,"1,795","1,057",710,523,176,93,26,14,39,20,,8
h) 11 to 15,"1,435",849,588,435,247,298,128,132,67,6,74,20
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,752","1,041",894,903,501,504,435,464,429,631,143,"1,328"
m) ALL,"10,389","4,895","3,151","2,465","1,147","1,009",611,652,556,723,218,"1,357"
,           1993,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,724",188,59,26,5,2,17,,,,,
b) 1,893,353,172,88,17,18,2,,27,,,1
c) 2,827,380,189,103,15,14,6,3,2,,,
d) 3,746,292,175,108,34,35,2,3,,,1,
e) 4,582,283,165,82,33,21,21,,1,3,,
f) 5,532,283,160,123,47,36,4,2,4,53,,
g) 6 to 10,"1,818","1,067",698,540,200,121,26,19,39,28,1,7
h) 11 to 15,"1,449",807,557,388,168,166,58,103,37,14,52,3
i) 16 to 20,217,146,119,127,111,124,96,1,46,,2,22
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,680",953,828,898,486,479,482,313,498,623,168,"1,331"
m) ALL,"10,468","4,752","3,122","2,483","1,116","1,016",714,444,654,721,224,"1,364"
,           1994,Firm Size,,,,,,,,,,
