Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,856","10,488","28,049","24,609","2,156",21.7,"1,183",11.9,"11,130",D,D,D,45.2,"4,249","2,270","1,979",9.2,17.3,"6,881",27.9,34.6,20,21,43
b. 5 to 9,"3,973","4,497","31,854","29,850",568,13.1,290,6.7,"9,365","3,685","5,680",12.3,31.4,"5,357","1,887","3,470",6.3,17.9,"4,008",13.5,35.8,5,5,29
c. 10 to 19,"2,409","2,771","37,885","36,439",331,12.3,160,6.0,"9,211","4,428","4,783",12.2,25.3,"6,319","2,085","4,234",5.7,17.3,"2,892",8.0,34.6,4,4,53
d. 20 to 49,"1,300","1,560","45,549","44,820",140,9.2,62,4.1,"8,684","4,005","4,679",8.9,19.4,"7,225","1,765","5,460",3.9,16.1,"1,459",3.3,32.2,1,1,D
e. 50 to 99,329,409,"27,018","26,622",43,10.8,24,6.0,"5,407","2,928","2,479",11.0,20.3,"4,615","1,524","3,091",5.7,17.3,792,3.0,34.6,2,2,D
f. 100 to 249,146,199,"28,451","28,290",18,9.3,8,4.1,"5,404","2,466","2,938",8.7,19.1,"5,082",D,"4,056",D,18.0,322,1.1,36.0,1,1,D
g. 250 to 499,32,44,"14,252","14,728",0,0.0,0,0.0,444,0,444,0.0,3.0,"1,396",0,"1,396",0.0,9.5,-952,-6.5,6.0,,,
h. 500 to 999,22,24,"16,540","16,438",0,0.0,0,0.0,"1,548",0,"1,548",0.0,9.4,"1,343",0,"1,343",0.0,8.2,205,1.2,16.4,,,
i. 1000+,10,12,"43,566","30,785",1,8.3,1,8.3,"27,700",D,D,D,90.0,"2,137",D,900,D,6.9,"25,563",83.1,13.8,,,
m. ALL,"18,077","20,004","273,164","252,581","3,257",17.0,"1,728",9.0,"78,893","48,502","30,391",19.2,31.2,"37,723","11,794","25,929",4.7,14.9,"41,170",16.3,29.8,33,34,369
,,1980,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,752","10,365","26,546","24,528","2,114",20.5,"1,942",18.8,"9,863",D,D,D,40.2,"5,826","3,663","2,163",14.9,23.8,"4,037",16.4,47.6,"1,420","1,422","2,705"
b. 5 to 9,"4,087","4,627","30,306","30,147",506,11.0,430,9.4,"7,210","3,339","3,871",11.1,23.9,"6,891","2,764","4,127",9.2,22.9,319,1.0,45.8,297,299,"1,922"
c. 10 to 19,"2,468","2,853","36,797","37,181",263,9.3,222,7.8,"7,289","3,541","3,748",9.5,19.6,"8,056","2,936","5,120",7.9,21.7,-767,-2.1,39.2,161,161,"2,137"
d. 20 to 49,"1,332","1,616","48,831","48,520",118,7.3,122,7.5,"10,533","3,536","6,997",7.3,21.7,"9,911","3,519","6,392",7.3,20.4,622,1.3,40.8,73,73,"2,025"
e. 50 to 99,341,429,"27,996","28,649",21,4.9,19,4.4,"4,052","1,417","2,635",4.9,14.1,"5,357","1,268","4,089",4.4,18.7,"-1,305",-4.6,28.2,8,8,561
f. 100 to 249,137,183,"27,686","28,126",11,6.0,12,6.5,"4,079","1,533","2,546",5.5,14.5,"4,959","1,857","3,102",6.6,17.6,-880,-3.1,29.0,4,4,619
g. 250 to 499,38,45,"14,205","15,022",0,0.0,2,4.3,922,0,922,0.0,6.1,"2,556",D,"1,923",D,17.0,"-1,634",-10.9,12.2,,,
h. 500 to 999,20,24,"19,118","18,311",1,4.2,1,4.2,"2,926",D,D,D,16.0,"1,312",D,559,D,7.2,"1,614",8.8,14.4,,,
i. 1000+,9,11,"16,510","29,919",0,0.0,0,0.0,"1,719",0,"1,719",0.0,5.7,"28,537",0,"28,537",0.0,95.4,"-26,818",-89.7,11.4,,,
m. ALL,"18,184","20,153","247,995","260,403","3,034",15.1,"2,750",13.7,"48,593","18,348","30,245",7.0,18.7,"73,405","17,393","56,012",6.7,28.2,"-24,812",-9.5,37.4,"1,963","1,967","9,969"
,,1981,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,252","9,820","25,216","23,952","1,738",17.1,"2,270",22.3,"8,720","3,298","5,422",13.8,36.4,"6,192",D,"1,890",D,25.9,"2,528",10.5,51.8,"1,492","1,500","2,796"
b. 5 to 9,"3,942","4,466","29,426","29,438",514,11.5,519,11.6,"7,058","3,329","3,729",11.3,24.0,"7,082","3,343","3,739",11.4,24.1,-24,-0.1,48.0,329,336,"2,150"
c. 10 to 19,"2,348","2,731","35,309","36,124",243,8.8,268,9.8,"6,620","3,248","3,372",9.0,18.3,"8,249","3,606","4,643",10.0,22.8,"-1,629",-4.5,36.6,171,171,"2,310"
d. 20 to 49,"1,234","1,523","44,430","44,882",119,7.8,117,7.7,"8,412","3,372","5,040",7.5,18.7,"9,315","3,311","6,004",7.4,20.8,-903,-2.1,37.4,56,56,"1,530"
e. 50 to 99,321,403,"26,258","26,547",31,7.7,29,7.2,"4,272","2,033","2,239",7.7,16.1,"4,850","1,883","2,967",7.1,18.3,-578,-2.2,32.2,11,11,733
f. 100 to 249,140,187,"27,629","27,726",12,6.5,10,5.4,"4,330","1,755","2,575",6.3,15.6,"4,524","1,581","2,943",5.7,16.3,-194,-0.7,31.2,3,3,461
g. 250 to 499,32,43,"14,519","15,235",0,0.0,2,4.5,"1,141",0,"1,141",0.0,7.5,"2,573",D,"1,891",D,16.9,"-1,432",-9.4,15.0,,,
h. 500 to 999,18,20,"14,711","14,340",1,5.1,0,0.0,"1,426",D,D,D,9.9,683,0,683,0.0,4.8,743,5.1,9.6,,,
i. 1000+,12,16,"38,977","31,871",1,6.5,0,0.0,"19,188",D,D,D,60.2,"4,975",0,"4,975",0.0,15.6,"14,213",44.6,31.2,,,
m. ALL,"17,299","19,209","256,475","250,115","2,659",13.6,"3,215",16.4,"61,167","36,124","25,043",14.4,24.5,"48,443","18,708","29,735",7.5,19.4,"12,724",5.1,38.8,"2,062","2,077","9,980"
,,1982,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,311","9,962","25,715","23,642","2,097",21.1,"1,839",18.5,"9,608",D,D,D,40.6,"5,462","3,474","1,988",14.7,23.1,"4,146",17.5,46.2,"1,024","1,024",D
b. 5 to 9,"4,040","4,673","29,677","29,476",613,13.4,398,8.7,"7,180","3,928","3,252",13.3,24.4,"6,777","2,535","4,242",8.6,23.0,403,1.4,46.0,207,207,"1,317"
c. 10 to 19,"2,295","2,704","34,965","35,242",272,10.2,217,8.1,"7,524","3,513","4,011",10.0,21.3,"8,078","2,946","5,132",8.4,22.9,-554,-1.6,42.6,120,120,"1,640"
d. 20 to 49,"1,249","1,529","40,968","42,798",138,9.1,114,7.5,"6,687","4,135","2,552",9.7,15.6,"10,347","3,345","7,002",7.8,24.2,"-3,660",-8.6,31.2,52,52,"1,599"
e. 50 to 99,328,409,"25,024","25,611",39,9.8,14,3.5,"3,976","2,599","1,377",10.1,15.5,"5,149",992,"4,157",3.9,20.1,"-1,173",-4.6,31.0,3,3,160
f. 100 to 249,132,175,"22,394","23,836",16,9.2,10,5.8,"3,054","2,092",962,8.8,12.8,"5,937","1,358","4,579",5.7,24.9,"-2,883",-12.1,25.6,3,3,499
g. 250 to 499,35,50,"15,482","16,806",0,0.0,2,3.9,869,0,869,0.0,5.2,"3,516",D,"2,916",D,20.9,"-2,647",-15.7,10.4,1,1,D
h. 500 to 999,23,25,"17,485","18,128",0,0.0,1,3.9,573,0,573,0.0,3.2,"1,858",D,"1,286",D,10.2,"-1,285",-7.0,6.4,,,
i. 1000+,9,12,"31,348","33,911",1,8.7,0,0.0,"13,698",D,D,D,40.4,"18,824",0,"18,824",0.0,55.5,"-5,126",-15.1,80.8,,,
m. ALL,"17,422","19,539","243,058","249,450","3,176",16.4,"2,595",13.4,"53,169","33,637","19,532",13.5,21.3,"65,948","15,822","50,126",6.3,26.4,"-12,779",-5.1,42.6,"1,410","1,410","7,451"
,,1983,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,851","10,556","27,256","25,252","1,793",17.2,"1,657",15.9,"9,232","3,503","5,729",13.9,36.6,"5,224","3,259","1,965",12.9,20.7,"4,008",15.9,41.4,"1,106","1,106","2,188"
b. 5 to 9,"3,986","4,652","30,808","30,540",456,9.8,452,9.7,"7,022","2,979","4,043",9.8,23.0,"6,485","2,936","3,549",9.6,21.2,537,1.8,42.4,309,312,"1,987"
c. 10 to 19,"2,240","2,611","34,227","34,166",219,8.4,184,7.1,"6,656","2,906","3,750",8.5,19.5,"6,534","2,460","4,074",7.2,19.1,122,0.4,38.2,139,139,"1,843"
d. 20 to 49,"1,168","1,452","42,130","42,277",97,6.7,90,6.2,"7,277","2,840","4,437",6.7,17.2,"7,571","2,632","4,939",6.2,17.9,-294,-0.7,34.4,40,41,"1,114"
e. 50 to 99,319,391,"25,819","25,938",33,8.5,24,6.2,"4,647","2,314","2,333",8.9,17.9,"4,885","1,667","3,218",6.4,18.8,-238,-0.9,35.8,10,10,701
