Country: USA,,,,,,,,,,,,
Variable: Firms,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,971",295,131,69,23,1,2,,1,,1,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"5,638","2,790","1,787","1,043",330,213,84,67,84,63,72,183
m) ALL,"7,609","3,085","1,918","1,112",353,214,86,67,85,63,73,183
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,948",233,90,25,4,4,,1,,,,
b) 1,967,442,222,160,40,22,1,1,2,,,1
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"4,892","2,517","1,676","1,015",354,198,88,73,82,66,68,196
m) ALL,"7,807","3,192","1,988","1,200",398,224,89,75,84,66,68,197
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,983",261,96,42,5,1,1,,,,,
b) 1,"1,064",415,214,95,15,6,1,,2,,1,1
c) 2,766,386,226,159,46,26,2,,3,,,1
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"4,236","2,366","1,639",989,343,214,86,73,88,55,76,200
m) ALL,"8,049","3,428","2,175","1,285",409,247,90,73,93,55,77,202
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,062",246,77,38,14,2,,,,,,
b) 1,"1,066",438,212,97,26,7,1,1,1,,,
c) 2,860,374,207,85,18,6,,,3,,,
d) 3,625,350,243,140,45,26,,3,2,1,1,1
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,839","2,199","1,543",957,326,215,89,77,92,53,75,198
m) ALL,"8,452","3,607","2,282","1,317",429,256,90,81,98,54,76,199
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,946",263,77,50,13,3,,,,,,
b) 1,"1,077",403,179,77,21,15,1,,,,,
c) 2,824,354,201,95,20,9,1,1,1,,,
d) 3,674,322,181,78,9,6,,,2,1,,
e) 4,525,314,211,109,45,20,1,2,3,,1,1
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,563","1,960","1,418",909,289,208,92,79,91,62,67,205
m) ALL,"8,609","3,616","2,267","1,318",397,261,95,82,97,63,68,206
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,827",205,86,35,3,5,1,1,,,,
b) 1,"1,068",387,229,81,30,16,3,1,,,,2
c) 2,881,362,172,77,21,15,,2,,1,,
d) 3,711,302,175,89,14,12,1,1,1,,,
e) 4,576,283,159,76,12,6,,,3,,,
f) 5,461,289,161,102,47,22,4,1,4,,,2
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,265","1,825","1,315",846,298,198,92,75,94,61,73,196
m) ALL,"8,789","3,653","2,297","1,306",425,274,101,81,102,62,73,200
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,896",180,64,22,2,2,1,,,,,
b) 1,"1,075",358,165,81,19,3,2,,1,,,1
c) 2,881,337,199,87,26,13,1,3,1,1,1,
d) 3,759,313,145,75,11,16,3,2,,1,,
e) 4,650,268,145,84,18,9,,2,2,,,
f) 5,527,282,145,64,12,6,1,,2,1,,
g) 6 to 10,449,257,139,96,41,25,4,2,6,,,3
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,190","1,671","1,239",823,290,183,104,64,99,63,70,197
m) ALL,"9,427","3,666","2,241","1,332",419,257,116,73,111,66,71,201
,           1984,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,531",191,54,23,2,,,1,,,,
