Country: USA,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
l) Left Censored,103,136,103,209,218,346,0,0,0
m) ALL,"3,583","3,452","3,100","3,611","2,993","2,408","1,514",691,0
,           1984,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,801","2,887","2,842","2,802","2,240","1,706",367,699,
b) 1,D,D,13,48,0,0,0,0,
c) 2,52,55,14,36,83,121,0,,0
d) 3,D,28,34,0,0,0,0,0,0
e) 4,62,D,26,40,52,0,0,,
f) 5,51,D,0,22,0,0,0,,0
g) 6 to 10,72,39,10,106,0,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,85,76,66,166,77,0,0,0,0
m) ALL,"3,183","3,151","3,005","3,220","2,452","1,827",367,699,0
,           1985,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,268","3,013","3,032","3,477","3,102","1,783",279,933,
b) 1,D,D,10,36,55,0,0,0,
c) 2,123,D,43,207,94,0,0,0,
d) 3,73,66,28,38,0,0,253,0,0
e) 4,D,41,23,0,0,0,0,0,0
f) 5,55,49,0,31,58,166,0,,
g) 6 to 10,131,64,73,287,0,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,144,59,127,423,266,140,0,0,0
m) ALL,"3,868","3,333","3,336","4,499","3,575","2,089",532,933,0
,           1986,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,212",D,"3,589","4,018","2,500","2,518","2,500","1,257",
b) 1,42,141,317,701,526,264,,0,
c) 2,75,73,49,88,0,0,0,0,
d) 3,50,59,10,37,59,0,0,0,
e) 4,50,63,29,23,61,0,0,0,0
f) 5,38,D,0,26,0,0,0,0,0
g) 6 to 10,128,148,0,104,0,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,98,54,137,113,85,0,0,0,0
m) ALL,"3,693","3,699","4,131","5,110","3,231","2,782","2,500","1,257",0
,           1987,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,818",D,"3,626","4,812","3,670","2,813","1,579",543,D
b) 1,15,18,22,65,51,506,0,0,
c) 2,84,90,89,67,67,0,0,0,
d) 3,62,D,77,0,65,124,0,0,
e) 4,76,60,77,0,0,0,0,0,
f) 5,45,30,53,0,54,0,0,0,0
g) 6 to 10,185,199,99,190,239,505,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
