Country: USA,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
m) ALL,"6,639","3,268","2,807","4,025","1,725","2,197",691,0,0
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,166","3,212","2,174","3,020",D,D,D,,
b) 1,10,D,D,0,0,0,0,0,
c) 2,98,D,D,D,D,0,0,0,0
d) 3,85,D,D,0,0,0,0,0,0
e) 4,101,D,0,D,0,0,0,,
f) 5,D,0,D,0,0,0,0,,0
g) 6 to 10,111,D,D,D,0,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,D,74,140,D,0,0,0,0,0
m) ALL,"5,776","3,373","2,503","3,359","1,598",596,699,0,0
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,822","3,092","2,982","3,897","1,882",D,D,,
b) 1,18,D,D,D,0,0,0,0,
c) 2,142,52,D,D,0,0,0,0,
d) 3,139,D,D,0,0,D,0,0,0
e) 4,D,D,0,0,0,0,0,0,0
f) 5,86,D,D,D,D,0,0,,
g) 6 to 10,D,63,259,D,0,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,203,108,362,D,D,0,0,0,0
m) ALL,"6,706","3,394","3,874","4,538","2,188",532,933,0,0
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,851","3,753","3,154","3,668",D,"3,364",D,,
b) 1,129,314,504,D,D,0,,0,
c) 2,139,58,88,0,0,0,0,0,
d) 3,91,D,D,D,0,0,0,0,
e) 4,113,D,D,D,0,0,0,0,0
f) 5,83,D,D,0,0,0,0,0,0
g) 6 to 10,258,D,D,D,0,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,152,137,D,D,0,0,0,0,0
m) ALL,"6,816","4,327","3,987","4,734","1,918","3,364","1,257",0,0
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,137","4,013","3,991","4,464","2,050","2,540",D,D,0
b) 1,33,D,D,D,506,0,0,0,
c) 2,156,107,D,D,0,0,,0,
d) 3,88,77,0,D,D,0,0,0,
e) 4,127,86,0,0,0,0,0,0,
f) 5,75,D,0,D,0,0,0,0,0
g) 6 to 10,348,135,190,D,D,D,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,192,194,D,250,0,D,0,0,0
m) ALL,"8,156","4,687","4,249","5,280","2,979","3,008",543,"1,124",0
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,409","4,152","4,258","4,095","1,154",D,D,,
b) 1,20,D,D,153,D,0,0,0,0
c) 2,95,72,D,D,0,0,0,0,
d) 3,79,77,0,D,0,D,,0,
e) 4,48,D,D,0,0,0,0,0,
f) 5,64,D,0,0,0,D,0,0,
g) 6 to 10,192,110,D,D,D,0,0,0,0
h) 11 to 15,26,D,D,0,0,0,0,,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,147,70,70,D,D,D,0,0,0
m) ALL,"7,080","4,556","4,553","4,783","1,702","2,975",534,0,0
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,816","3,937","3,825","4,771","2,576",D,D,,D
b) 1,0,D,D,207,0,0,0,0,
c) 2,109,D,D,D,0,0,0,0,0
d) 3,94,D,D,D,0,0,0,0,
e) 4,48,D,D,0,0,D,0,0,
f) 5,81,42,D,D,0,0,0,0,
g) 6 to 10,232,136,D,0,D,0,0,0,0
h) 11 to 15,52,57,D,D,D,0,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,125,144,81,240,0,0,0,0,0
m) ALL,"6,557","4,409","4,248","5,643","2,872","2,365",554,0,"2,373"
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,548","3,975","3,417","4,332","2,685","3,105",,,
b) 1,D,D,D,D,D,0,0,D,0
c) 2,D,63,D,0,D,0,0,0,
d) 3,114,101,D,D,D,0,0,0,0
e) 4,87,75,D,D,0,0,0,0,
f) 5,103,D,0,D,0,0,0,0,
g) 6 to 10,204,150,83,0,0,0,0,0,0
h) 11 to 15,100,D,D,D,0,0,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,116,D,119,233,D,0,0,0,0
m) ALL,"7,430","4,464","3,815","4,920","3,276","3,105",0,"1,105",0
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,675","5,011","4,273","5,227",D,D,"3,192",,
b) 1,6,D,107,152,D,D,0,0,
c) 2,105,D,0,D,0,0,0,0,0
d) 3,D,0,D,0,0,0,0,0,
e) 4,94,40,D,D,0,0,0,0,0
f) 5,D,D,96,0,0,0,0,0,0
g) 6 to 10,202,97,D,D,0,0,0,0,0
h) 11 to 15,80,D,D,0,0,0,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,80,77,D,D,0,0,0,0,0
m) ALL,"8,417","5,348","4,827","5,712","2,427","3,119","3,192",0,0
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,452","4,043","3,633","3,246","2,878","1,092","2,297",,
b) 1,D,0,D,0,0,0,0,0,
c) 2,107,D,D,0,0,0,0,0,
d) 3,D,63,0,D,0,0,0,0,0
e) 4,92,43,D,D,0,0,0,0,
f) 5,64,D,D,0,0,0,0,0,0
g) 6 to 10,223,135,D,D,0,0,0,0,0
h) 11 to 15,107,D,D,0,0,0,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,82,D,0,D,0,0,0,0,0
m) ALL,"7,251","4,394","3,897","3,525","2,878","1,092","2,297",0,0
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,866","3,275","3,040","2,537","1,386",D,D,,
b) 1,0,D,D,0,0,0,0,0,
c) 2,132,D,0,0,0,D,0,0,0
d) 3,D,D,0,0,0,0,0,0,0
e) 4,63,0,D,D,0,0,0,0,0
f) 5,D,44,D,0,0,0,0,0,
g) 6 to 10,293,136,D,D,0,0,0,0,0
h) 11 to 15,122,D,D,0,0,0,0,0,0
