Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"7,906","8,449",D,D,"1,721",20.7,"1,377",16.6,D,D,D,D,D,D,D,D,D,D,D,D,D,834,834,"1,578"
b. 5 to 9,"2,842","3,098","21,102","20,342",384,12.7,238,7.9,"5,113","2,534","2,579",12.5,25.1,"3,592","1,534","2,058",7.5,17.7,"1,521",7.4,35.4,161,161,"1,035"
c. 10 to 19,"1,680","1,833","25,030","24,572",193,10.6,160,8.8,"5,522","2,583","2,939",10.5,22.5,"4,605","2,133","2,472",8.7,18.7,917,3.8,37.4,114,116,"1,587"
d. 20 to 49,966,"1,088","32,592","32,276",103,9.6,79,7.3,"5,893","3,099","2,794",9.6,18.3,"5,261","2,324","2,937",7.2,16.3,632,2.0,32.6,51,51,"1,464"
e. 50 to 99,253,295,"19,638","19,151",28,9.8,7,2.5,"3,163","1,758","1,405",9.2,16.5,"2,188",424,"1,764",2.2,11.4,975,5.1,22.8,6,6,360
f. 100 to 249,106,122,"17,407","17,991",4,3.2,7,5.7,"1,623",535,"1,088",3.0,9.0,"2,790","1,071","1,719",6.0,15.5,"-1,167",-6.5,18.0,4,4,636
g. 250 to 499,21,21,"6,334","6,854",1,4.5,3,13.6,668,D,D,D,9.7,"1,707",906,801,13.2,24.9,"-1,039",-15.2,19.4,3,3,906
h. 500 to 999,6,7,"5,434","5,367",0,0.0,0,0.0,469,0,469,0.0,8.7,335,0,335,0.0,6.2,134,2.5,12.4,,,
i. 1000+,1,1,D,D,0,0.0,0,0.0,D,0,D,D,D,D,D,D,D,D,D,D,D,,,
m. ALL,"13,781","14,914","149,176","146,559","2,434",16.6,"1,871",12.8,"29,552","14,236","15,316",9.7,20.2,"24,311","10,832","13,479",7.4,16.6,"5,241",3.6,33.2,"1,173","1,175","7,566"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"8,115","8,629",D,D,"1,591",18.8,"1,273",15.0,D,D,D,D,D,D,D,D,D,D,D,D,D,880,882,"1,676"
b. 5 to 9,"2,952","3,244","22,789","21,868",332,10.3,261,8.1,"5,364","2,142","3,222",9.8,24.5,"3,521","1,690","1,831",7.7,16.1,"1,843",8.4,32.2,192,192,"1,245"
c. 10 to 19,"1,750","1,916","27,191","26,040",176,9.3,112,5.9,"5,986","2,264","3,722",8.7,23.0,"3,683","1,468","2,215",5.6,14.1,"2,303",8.9,28.2,80,80,"1,067"
d. 20 to 49,"1,000","1,128","35,677","34,382",82,7.4,50,4.5,"6,494","2,424","4,070",7.1,18.9,"3,904","1,522","2,382",4.4,11.4,"2,590",7.5,22.8,34,34,"1,009"
e. 50 to 99,255,293,"20,460","20,232",11,3.8,11,3.8,"2,881",654,"2,227",3.2,14.2,"2,424",705,"1,719",3.5,12.0,457,2.2,24.0,5,5,330
f. 100 to 249,118,138,"21,300","20,657",4,2.9,2,1.5,"2,978",507,"2,471",2.5,14.4,"1,691",D,"1,298",D,8.2,"1,287",6.2,16.4,,,
g. 250 to 499,17,17,"5,653","5,495",1,6.1,0,0.0,673,D,D,D,12.2,357,0,357,0.0,6.5,316,5.7,13.0,,,
h. 500 to 999,6,7,"5,067","4,985",0,0.0,0,0.0,295,0,295,0.0,5.9,130,0,130,0.0,2.6,165,3.3,5.2,,,
i. 1000+,2,2,D,D,0,0.0,0,0.0,D,0,D,D,D,D,D,D,D,D,D,D,D,,,
m. ALL,"14,215","15,374","162,777","155,942","2,197",14.5,"1,709",11.3,"33,109","11,184","21,925",7.2,21.2,"19,433","8,124","11,309",5.2,12.5,"13,676",8.7,25.0,"1,191","1,193","5,327"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"7,984","8,486",D,D,"1,517",18.1,"1,254",14.9,D,D,D,D,D,D,D,D,D,D,D,D,D,900,900,"1,675"
b. 5 to 9,"3,195","3,472","23,982","22,983",421,12.3,281,8.2,"6,241","2,714","3,527",11.8,27.2,"4,243","1,798","2,445",7.8,18.5,"1,998",8.7,37.0,207,207,D
