Country: USA,,,,,,,,,
Variable: Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,128","2,942","2,440","3,450","1,533",D,D,,
b) 1,"2,752","3,613","3,684","4,756","2,433",D,"1,289",,D
c) 2,"2,202","2,726","3,748","4,076","3,069","2,882",D,D,D
d) 3,"1,966","2,616","2,408","3,223","1,310","2,593",D,,D
e) 4,"1,720","2,516","2,493","3,463","1,769","1,258",D,,D
f) 5,"1,381","2,227","2,324","2,715","1,336","1,750",D,D,D
g) 6 to 10,"1,438","2,673","2,907","4,181","2,535",D,,,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"8,322","13,963","21,275","35,892","28,654","27,186","14,525","14,184","17,703"
m) ALL,"25,909","33,276","41,279","61,756","42,639","41,738","19,215","16,786","27,994"
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,186","3,221","2,174","3,020","1,477",D,D,,
b) 1,"2,714","3,030","2,581","3,032","2,276",D,"1,360",D,
c) 2,"2,283","3,204","3,426","4,738","2,829","1,839",889,D,D
d) 3,"1,774","2,649","3,172","3,961","3,541","2,749",D,"1,628",D
e) 4,"1,717","2,304","2,310","2,963","1,788",D,D,,
f) 5,"1,438","2,339","2,536","3,078","2,036","1,121",D,,D
g) 6 to 10,"2,552","4,648","4,741","6,197","3,151","3,961","1,619",D,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"7,556","13,038","20,576","32,918","28,208","27,327","14,092","14,006","15,649"
m) ALL,"25,220","34,433","41,516","59,907","45,306","41,683","19,725","19,053","23,591"
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,854","3,092","2,982","3,897","1,882",D,D,,
b) 1,"2,320","2,794","3,226","3,188","2,347","1,594",D,D,
c) 2,"2,158","2,681","2,954","2,881","2,417",D,"1,622",D,
d) 3,"1,991","2,714","3,488","4,655","2,819","1,697","1,377",D,D
e) 4,"1,536","2,426","3,149","3,602","3,519","2,799",D,D,D
f) 5,"1,450","2,284","1,871","2,686","1,870",D,D,,
g) 6 to 10,"3,723","6,562","6,613","8,647","5,295","4,356",D,"3,623",D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"7,094","12,142","19,300","31,682","28,175","26,621","14,440","14,966","14,458"
m) ALL,"26,126","34,695","43,583","61,238","48,324","41,960","21,441","22,047","21,410"
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,858","3,753","3,154","3,668","1,654",D,D,,
b) 1,"2,785","3,466","3,391","4,741","3,084",D,,D,
c) 2,"1,922","2,729","2,938","3,069","2,126","2,310",D,D,
d) 3,"1,784","2,533","2,603","2,988","2,344","2,639",D,D,
e) 4,"1,701","2,686","3,123","4,710","2,858","1,486","1,177",D,D
f) 5,"1,420","2,163","2,975","3,462","3,407","2,330",D,D,D
g) 6 to 10,"4,780","8,396","7,857","11,491","7,016","6,775","1,276","4,412","4,741"
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"6,518","11,695","18,287","30,832","27,201","27,128","13,037","13,626","19,022"
m) ALL,"26,768","37,421","44,328","64,961","49,690","47,899","18,897","21,638","29,619"
,           1987,Estab Size,,,,,,,
