Country: USA,,,,,,,,,
Variable: Net_Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
c) 2,-528,-283,32,-114,-30,-18,-456,D,D
d) 3,-535,-326,-258,-465,-278,114,D,,D
e) 4,-293,-212,-498,-295,80,-442,D,,D
f) 5,-329,-130,-275,-272,-200,-467,D,D,D
g) 6 to 10,-320,-396,-373,-259,-47,D,,,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-1,332","-1,239",-654,"-1,188","-1,048","-2,095",119,-379,"-1,491"
m) ALL,"1,873",181,202,672,-547,-489,-317,-391,"-5,838"
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,166","3,212","2,174","3,020","1,477",D,D,,
b) 1,-854,-147,-159,-70,-20,D,177,D,
c) 2,-604,-299,-177,249,160,-221,-158,D,D
d) 3,-500,-98,-91,68,-158,-116,D,19,D
e) 4,-347,-339,-287,364,29,D,D,,
f) 5,-366,-297,-156,316,-126,-51,D,,D
g) 6 to 10,-607,-543,-536,-114,64,100,488,D,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-1,485","-1,114","-1,338","-1,598",-657,"-1,254",-199,-473,-192
m) ALL,403,375,-570,"2,235",769,"-1,623","1,131",-187,"-2,535"
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,822","3,092","2,982","3,897","1,882",D,D,,
b) 1,-543,-36,217,506,166,14,D,D,
c) 2,-642,-45,139,-49,72,D,139,D,
d) 3,-400,-273,66,-62,-205,172,263,D,D
e) 4,-341,-163,-183,-82,-151,192,D,D,D
f) 5,-369,-241,-107,-227,-208,D,D,,
g) 6 to 10,-705,-477,-229,-455,-497,-473,-471,37,96
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-1,421","-1,050",-813,"-1,082",-390,-494,531,-33,-212
m) ALL,"1,401",807,"2,072","2,446",669,110,"2,408",350,-114
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,851","3,753","3,154","3,668","1,654",D,D,,
b) 1,-495,336,625,906,164,D,,D,
c) 2,-318,-103,128,-256,-234,419,D,D,
d) 3,-422,-142,-120,255,-203,167,D,D,
e) 4,-310,-66,-153,-67,122,-252,-200,D,D
f) 5,-324,-268,-294,-101,90,-424,-894,D,D
g) 6 to 10,-749,-395,-220,-208,487,145,-803,704,324
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-1,160",-813,-593,-562,-320,970,"-1,193",530,"1,620"
m) ALL,"2,073","2,302","2,527","3,635","1,760","4,609","-2,455","1,188","5,227"
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,137","4,013","3,991","4,464","2,050","2,540",D,D,D
b) 1,-700,47,-76,135,579,-472,932,143,
c) 2,-462,91,-177,-627,-422,D,,D,
d) 3,-506,-266,-43,-184,-245,D,761,D,
e) 4,-294,-50,-43,-233,-256,265,D,D,
f) 5,-435,-247,-66,-261,-29,-143,D,D,D
g) 6 to 10,"-1,093",-450,128,-142,632,500,-22,-740,168
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-1,006",-977,-838,-309,933,344,"-1,787",-208,"1,315"
m) ALL,"2,641","2,161","2,876","2,843","3,242","3,073",964,"1,043","-1,811"
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,409","4,152","4,258","4,095","1,154",D,D,,
b) 1,-808,137,249,219,-13,D,23,"2,255",D
c) 2,-459,-66,-117,-31,-345,-600,-961,71,
d) 3,-356,-110,-137,-25,208,D,,D,
e) 4,-352,-109,-299,-191,43,-463,D,D,
f) 5,-257,-247,-114,-200,62,-200,D,D,
g) 6 to 10,"-1,261",-721,-750,-372,272,225,-63,-610,727
h) 11 to 15,-139,-155,-127,-175,2,-62,D,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,-932,-696,-433,"-1,085",489,372,"2,341",451,838
m) ALL,"1,845","2,185","2,530","2,235","1,872","1,822","1,849","2,071","1,867"
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,816","3,937","3,825","4,771","2,576","2,020",D,,D
