Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,430","5,732","15,049","13,602",991,17.4,836,14.7,"5,496","1,953","3,543",14.4,40.4,"2,602","1,555","1,047",11.4,19.1,"2,894",21.3,38.2,597,597,"1,097"
b. 5 to 9,"2,374","2,687","18,525","17,783",299,11.3,192,7.3,"4,611","1,904","2,707",10.7,25.9,"3,127","1,233","1,894",6.9,17.6,"1,484",8.3,35.2,123,130,D
c. 10 to 19,"1,418","1,627","22,445","21,717",153,9.6,100,6.2,"5,099","2,047","3,052",9.4,23.5,"3,642","1,330","2,312",6.1,16.8,"1,457",6.7,33.6,61,61,798
d. 20 to 49,854,"1,021","32,217","31,255",79,7.8,53,5.2,"6,043","2,337","3,706",7.5,19.3,"4,118","1,643","2,475",5.3,13.2,"1,925",6.1,26.4,27,27,778
e. 50 to 99,243,267,"18,298","18,088",18,6.8,13,4.9,"2,939","1,201","1,738",6.6,16.2,"2,518",925,"1,593",5.1,13.9,421,2.3,27.8,3,3,189
f. 100 to 249,122,150,"23,120","22,657",8,5.3,9,6.0,"3,741","1,222","2,519",5.4,16.5,"2,815",D,"1,588",D,12.4,926,4.1,24.8,2,2,D
g. 250 to 499,38,43,"14,892","14,936",1,2.3,1,2.3,"1,215",D,D,D,8.1,"1,303",D,"1,044",D,8.7,-88,-0.6,16.2,,,
h. 500 to 999,19,21,"12,639","12,714",1,4.9,0,0.0,"1,060",D,D,D,8.3,"1,209",0,"1,209",0.0,9.5,-149,-1.2,16.6,,,
i. 1000+,14,21,"47,412","60,719",0,0.0,0,0.0,"1,424",0,"1,424",0.0,2.3,"28,037",0,"28,037",0.0,46.2,"-26,613",-43.9,4.6,,,
m. ALL,"10,512","11,569","204,597","213,471","1,550",13.6,"1,204",10.5,"31,628","11,561","20,067",5.4,14.8,"49,371","8,172","41,199",3.8,23.1,"-17,743",-8.3,29.6,813,820,"3,978"
,,1980,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,428","5,693","14,436","13,415",906,15.9,899,15.8,"4,697","1,757","2,940",13.1,35.0,"2,655","1,626","1,029",12.1,19.8,"2,042",15.2,39.6,655,669,"1,160"
b. 5 to 9,"2,331","2,622","17,337","17,441",215,8.2,240,9.1,"3,514","1,403","2,111",8.0,20.1,"3,721","1,557","2,164",8.9,21.3,-207,-1.2,40.2,139,146,929
c. 10 to 19,"1,414","1,627","21,251","21,482",114,7.0,107,6.6,"3,675","1,526","2,149",7.1,17.1,"4,136","1,435","2,701",6.7,19.3,-461,-2.2,34.2,68,68,907
d. 20 to 49,880,"1,049","32,595","32,018",62,6.0,44,4.2,"5,839","1,826","4,013",5.7,18.2,"4,685","1,372","3,313",4.3,14.6,"1,154",3.6,29.2,20,20,556
