Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,450","10,803","27,504","24,840","1,703",15.9,"1,383",12.9,"9,483",D,D,D,38.2,"4,155","2,480","1,675",10.0,16.7,"5,328",21.5,33.4,"1,015","1,016","1,788"
b. 5 to 9,"3,748","4,198","28,778","27,697",412,9.9,301,7.3,"6,813","2,681","4,132",9.7,24.6,"4,651","1,869","2,782",6.7,16.8,"2,162",7.8,33.6,198,198,D
c. 10 to 19,"2,314","2,551","35,868","34,483",204,8.2,104,4.2,"7,545","2,720","4,825",7.9,21.9,"4,775","1,398","3,377",4.1,13.8,"2,770",8.1,27.6,68,68,933
d. 20 to 49,"1,449","1,613","50,574","49,793",80,5.0,82,5.1,"8,746","2,368","6,378",4.8,17.6,"7,184","2,479","4,705",5.0,14.4,"1,562",3.2,28.8,42,42,"1,252"
e. 50 to 99,538,627,"42,774","42,736",28,4.5,25,4.0,"5,396","2,053","3,343",4.8,12.6,"5,320","1,677","3,643",3.9,12.4,76,0.2,24.8,12,12,800
f. 100 to 249,283,312,"46,532","46,594",18,5.8,19,6.1,"7,254","2,339","4,915",5.0,15.6,"7,377","3,019","4,358",6.5,15.8,-123,-0.2,31.2,4,4,727
g. 250 to 499,89,94,"32,553","31,851",8,8.7,4,4.3,"5,448","2,795","2,653",8.8,17.1,"4,043","1,443","2,600",4.5,12.7,"1,405",4.4,25.4,2,2,D
h. 500 to 999,52,57,"38,627","37,922",1,1.8,0,0.0,"4,065",D,D,D,10.7,"2,655",0,"2,655",0.0,7.0,"1,410",3.7,14.0,,,
i. 1000+,23,25,"38,948","41,788",0,0.0,0,0.0,"3,351",0,"3,351",0.0,8.0,"9,030",0,"9,030",0.0,21.6,"-5,679",-13.6,16.0,,,
