Country: USA,,,,,,,,,,,,
Variable: Job_Creation,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
c) 2,529,463,567,450,258,231,,D,,D,,
d) 3,337,319,328,477,112,221,D,D,D,,,
e) 4,281,288,407,445,359,D,,,D,,,
f) 5,185,386,336,480,499,325,124,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,184","1,390","2,035","2,914","2,214",D,"2,332","1,480","1,954",D,"1,329","4,706"
m) ALL,"7,812","6,067","6,664","7,279","4,108","5,858","3,974","1,721","2,646","8,587","1,329","4,711"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,050","2,232","1,654","1,254",D,D,D,,,,,
b) 1,453,650,641,531,D,230,152,,D,,,D
c) 2,435,456,541,658,331,387,D,493,D,D,D,
d) 3,331,367,360,285,213,509,81,D,,D,,
e) 4,265,274,171,358,366,86,,D,D,,,
f) 5,187,336,204,246,144,72,D,,D,D,,
g) 6 to 10,129,182,166,343,291,417,0,D,"3,021",,,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,846,"1,186","1,665","2,632","2,372",D,"3,023","1,774","2,022",820,D,"5,015"
m) ALL,"7,696","5,683","5,402","6,307","4,141","4,556","4,146","2,538","5,047",997,"1,684","5,017"
,           1984,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,163","2,252","1,397","1,295",D,,,D,,,,
b) 1,659,586,475,573,D,D,D,D,,,,
c) 2,380,463,457,617,248,D,D,,D,,,
d) 3,303,369,430,331,310,200,D,149,D,D,,
e) 4,262,280,245,429,294,394,4,D,D,,,
f) 5,199,231,299,474,199,225,106,D,D,,,
g) 6 to 10,332,473,467,687,465,607,22,0,150,D,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,744,"1,088","1,649","2,519","2,297","2,617","1,491","2,471","2,325",956,D,D
m) ALL,"7,042","5,742","5,419","6,925","4,241","4,352","1,884","3,265","2,847",977,768,"5,504"
,           1985,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,084","2,556","1,713","2,187",D,,D,,,,,
b) 1,477,606,676,755,377,13,D,D,D,D,D,
c) 2,414,482,539,298,D,212,232,D,,,,
d) 3,349,302,384,421,213,99,D,D,D,,,
e) 4,266,338,358,344,359,543,D,D,D,D,,
f) 5,204,299,165,299,60,133,D,D,D,,,
g) 6 to 10,529,638,720,746,574,607,656,D,531,14,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,690,982,"1,341","2,382","1,975","1,745","2,954","1,233","3,318","1,276",D,D
m) ALL,"8,013","6,203","5,896","7,432","4,617","3,352","5,016","2,026","4,016","1,294",912,"6,781"
,           1986,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,789","2,504","2,092","2,195",D,D,,,,,,
b) 1,629,844,931,995,D,237,,D,D,D,,D
c) 2,411,493,517,443,136,135,D,D,D,D,,
d) 3,330,385,343,336,231,110,D,D,,,,
e) 4,274,287,305,414,313,260,D,D,D,,,
f) 5,214,213,259,299,294,245,D,D,D,,,
g) 6 to 10,754,933,819,"1,070",900,"1,054",102,D,"3,852",D,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,712,"1,170","1,640","2,586","2,302",D,"2,151","2,223","2,603","1,344",D,"10,902"
m) ALL,"8,113","6,829","6,906","8,338","5,124","6,132","2,386","2,740","6,521","1,487","1,183","10,912"
,           1987,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,125","2,736","2,112","2,320","1,198","1,256",D,D,,,,
b) 1,602,860,749,730,"1,053",680,D,,,D,,D
c) 2,460,656,660,629,216,104,D,,,D,D,
d) 3,276,407,408,515,78,65,D,D,D,D,,D
e) 4,307,387,421,508,59,57,D,D,,,,
f) 5,172,279,314,312,434,265,11,D,D,,,D
g) 6 to 10,822,"1,021","1,507","1,490","1,662","1,926",775,336,597,87,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,701,"1,021","1,398","2,887","2,522","3,850","3,388","3,243","4,415","2,807",829,"9,860"
m) ALL,"8,465","7,367","7,569","9,391","7,222","8,203","5,196","4,190","5,065","2,955",866,"9,873"
,           1988,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,900","2,813","2,678","1,672","1,031",D,D,,,,,
b) 1,615,766,"1,003",757,509,D,30,2,,D,,
c) 2,412,585,515,561,177,130,D,,,,,D
d) 3,330,461,576,437,416,248,,D,D,,,D
e) 4,204,328,304,166,143,138,D,D,D,D,D,
f) 5,211,223,259,358,106,139,D,D,,,,D
g) 6 to 10,702,"1,062","1,225","1,278","1,062","1,102",505,"2,054",D,50,D,D
h) 11 to 15,116,134,209,276,301,640,92,D,419,D,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,540,882,"1,325","1,944","2,037","2,585","4,137","2,066","3,473","2,539",351,"10,386"
m) ALL,"8,030","7,254","8,094","7,449","5,782","5,759","5,404","5,723","4,243","2,595",367,"10,604"
,           1989,Firm Size,,,,,,,,,,
