Country: USA,,,,,,,,,
Variable: Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,813",270,83,49,12,2,1,,
b) 1,"1,200",469,187,99,34,13,4,2,
c) 2,"1,051",492,251,154,42,12,3,1,1
d) 3,802,407,241,135,53,20,1,3,1
e) 4,751,366,180,90,25,17,1,,
f) 5,635,380,192,92,31,8,1,,1
g) 6 to 10,"1,081",738,360,207,48,27,4,2,4
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,306","2,039","1,540","1,090",421,192,39,21,10
m) ALL,"10,639","5,161","3,034","1,916",666,291,54,29,17
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,055",252,116,64,14,1,1,,
b) 1,"1,063",429,229,95,33,12,1,1,
c) 2,"1,000",414,215,91,35,14,4,1,
d) 3,891,424,258,151,43,12,4,1,1
e) 4,706,382,239,124,54,19,2,2,1
f) 5,655,358,139,89,27,15,2,,
g) 6 to 10,"1,564","1,032",492,292,82,30,2,5,3
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,094","1,887","1,441","1,047",412,183,38,22,9
m) ALL,"11,028","5,178","3,129","1,953",700,286,54,32,14
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,060",306,120,66,10,10,2,,
b) 1,"1,194",492,228,135,45,12,,1,
c) 2,833,415,214,105,33,16,1,1,
d) 3,814,391,193,95,33,18,4,1,
e) 4,769,410,238,157,42,11,4,1,2
f) 5,635,339,223,117,50,17,2,1,1
g) 6 to 10,"2,047","1,313",589,383,99,47,5,6,3
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,835","1,796","1,358","1,013",396,183,40,21,12
m) ALL,"11,187","5,462","3,163","2,071",708,314,58,32,18
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,463",325,148,80,18,12,2,1,1
b) 1,"1,129",496,261,121,41,10,6,3,
c) 2,946,450,253,156,42,11,,1,
d) 3,683,401,186,112,29,12,3,1,
e) 4,697,351,194,104,25,14,6,1,
f) 5,647,376,227,136,42,14,1,2,2
g) 6 to 10,"2,393","1,517",794,477,150,70,4,7,5
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,587","1,669","1,282",965,394,191,37,18,11
m) ALL,"11,545","5,585","3,345","2,151",741,334,59,34,19
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,209",340,162,70,8,8,1,,
b) 1,"1,278",598,297,162,55,19,6,4,2
c) 2,851,481,266,123,33,10,6,3,
d) 3,791,429,240,151,43,15,,1,
e) 4,582,362,189,97,29,12,2,2,
f) 5,630,326,192,89,31,14,4,2,
g) 6 to 10,"2,336","1,437",822,469,165,69,10,6,5
h) 11 to 15,381,305,166,108,33,13,1,,1
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,363","1,583","1,239",929,373,208,39,15,14
m) ALL,"11,421","5,861","3,573","2,198",770,368,69,33,22
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,036",329,147,87,20,7,1,,1
b) 1,"1,223",583,326,177,39,14,3,1,
c) 2,"1,001",563,289,160,56,20,5,3,4
d) 3,700,444,263,131,25,18,5,3,
e) 4,684,391,213,142,36,17,1,1,
f) 5,513,314,192,81,33,12,2,2,
g) 6 to 10,"2,401","1,379",868,475,175,64,15,4,3
h) 11 to 15,679,535,281,158,57,26,2,2,3
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,205","1,538","1,155",894,354,216,43,18,15
m) ALL,"11,442","6,076","3,734","2,305",795,394,77,34,26
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,262",331,134,75,22,10,,,
b) 1,"1,191",495,285,186,59,26,4,2,1
c) 2,977,540,344,180,48,13,3,2,
d) 3,830,515,269,165,58,20,4,5,3
e) 4,608,390,259,136,21,18,5,3,
f) 5,601,376,202,130,36,16,2,1,
g) 6 to 10,"2,243","1,386",875,464,175,69,15,6,3
h) 11 to 15,"1,019",701,417,243,78,35,5,2,4
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,104","1,400","1,124",886,357,211,43,20,14
m) ALL,"11,835","6,134","3,909","2,465",854,418,81,41,25
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,512",404,161,96,18,10,5,,
b) 1,"1,324",568,299,151,46,21,4,1,
c) 2,978,501,260,196,61,21,7,1,2
d) 3,853,498,308,176,44,14,3,2,
e) 4,732,470,250,152,48,25,4,5,3
f) 5,539,368,234,131,20,18,3,1,1
g) 6 to 10,"2,189","1,429",911,532,174,68,14,7,4
h) 11 to 15,"1,323",859,524,307,97,46,8,3,3
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,993","1,333","1,050",892,338,217,43,16,13
m) ALL,"12,443","6,430","3,997","2,633",846,440,91,36,26
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,217",330,139,58,21,4,3,,
b) 1,"1,342",710,316,186,41,19,8,5,
c) 2,"1,066",506,300,152,50,22,7,3,
d) 3,794,448,265,171,62,16,5,3,2
e) 4,739,444,270,169,40,14,3,2,
f) 5,605,443,239,138,48,23,3,7,3
g) 6 to 10,"2,125","1,396",911,507,152,55,16,8,4
h) 11 to 15,"1,586","1,052",675,402,136,64,11,4,4
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,884","1,244",981,873,352,196,43,19,12
m) ALL,"12,358","6,573","4,096","2,656",902,413,99,51,25
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,030",271,118,43,11,6,2,,
b) 1,"1,137",553,269,136,32,23,2,3,
c) 2,"1,105",622,300,169,49,15,9,4,1
d) 3,887,430,256,139,51,21,4,3,1
e) 4,708,397,255,155,52,16,6,1,2
f) 5,676,397,236,159,40,12,2,2,
g) 6 to 10,"2,184","1,463",903,522,151,60,14,13,4
h) 11 to 15,"1,572","1,021",656,396,135,54,16,7,4
i) 16 to 20,267,208,139,88,31,15,2,,1
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,799","1,163",934,843,345,184,35,20,11
m) ALL,"12,365","6,525","4,066","2,650",897,406,92,53,24
