Country: USA,,,,,,,,,
Variable: Job_Creation_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,192.3,195.8,197.4,197.4,200.0,174.0,200.0,199.7,
b) 1,36.3,25.6,16.1,25.8,10.5,6.7,11.3,,D
c) 2,32.3,21.6,16.9,24.9,11.8,5.4,15.2,0.0,D
d) 3,27.2,25.5,13.2,11.1,8.9,4.5,0.0,,D
e) 4,25.0,14.7,10.7,13.2,9.6,2.5,8.8,0.0,D
f) 5,22.2,11.9,22.9,7.8,10.0,12.1,0.0,0.9,D
g) 6 to 10,21.6,9.3,9.4,60.5,8.4,0.7,,,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,16.8,13.1,9.2,9.0,8.6,8.4,1.8,3.3,2.8
m) ALL,35.4,24.9,18.1,21.1,14.8,12.3,11.6,6.8,1.9
,           1984,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.2,197.6,200.0,200.0,200.0,200.0,199.5,199.7,
b) 1,38.5,21.2,16.5,17.3,11.2,18.2,2.8,3.3,
c) 2,35.6,19.8,16.5,16.1,13.4,13.1,10.4,,D
d) 3,27.2,22.1,18.3,14.5,12.3,4.6,2.4,8.8,D
e) 4,30.1,17.1,9.1,18.1,13.1,9.7,0.0,,
f) 5,23.0,17.3,15.9,15.8,7.2,5.1,7.2,,D
g) 6 to 10,24.5,15.3,18.9,14.8,9.8,4.6,0.0,4.7,3.6
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,24.1,11.5,9.8,9.7,7.1,4.4,4.2,4.0,1.4
m) ALL,37.4,23.5,19.4,16.7,13.4,9.7,6.3,8.1,2.2
,           1985,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.5,197.3,200.0,199.9,200.0,199.9,199.3,199.8,
b) 1,47.5,26.7,23.7,18.4,5.7,3.5,4.5,7.4,
c) 2,28.0,27.3,11.9,27.0,13.0,13.3,18.3,2.5,
d) 3,25.0,22.0,15.9,14.4,14.8,15.1,25.6,5.4,D
e) 4,28.8,19.0,16.2,17.1,8.8,6.7,35.6,6.2,D
f) 5,23.0,14.6,15.1,9.4,41.5,16.8,18.0,,
g) 6 to 10,21.3,12.8,12.8,12.4,8.8,10.1,22.6,4.6,2.5
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,15.8,14.6,9.8,11.0,10.3,6.6,3.4,4.3,2.1
m) ALL,35.8,25.4,19.4,18.6,17.9,12.1,11.3,8.5,2.3
,           1986,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,199.1,199.9,199.9,200.0,200.0,200.0,200.0,199.8,
b) 1,43.0,28.4,35.6,33.7,25.6,23.4,,0.0,
c) 2,37.3,22.9,15.7,23.9,10.1,7.8,1.8,0.0,
d) 3,30.5,18.5,11.4,12.5,27.6,12.4,1.3,2.3,
e) 4,30.1,17.1,15.4,63.0,9.8,13.2,1.9,2.1,D
f) 5,22.1,11.9,9.9,16.4,8.1,3.8,16.7,0.0,D
g) 6 to 10,24.2,14.8,13.8,14.5,19.7,4.6,3.8,2.0,8.4
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.7,12.6,9.9,11.2,9.5,8.0,4.3,8.3,8.3
m) ALL,37.5,24.2,21.4,24.8,17.8,13.9,17.2,10.7,7.9
,           1987,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.0,199.0,200.0,188.0,182.4,150.3,76.7,63.1,D
b) 1,50.0,28.2,17.4,39.3,11.4,46.8,6.0,1.3,
c) 2,34.5,24.5,19.5,16.5,12.6,5.6,0.0,0.0,
d) 3,28.2,40.3,16.6,9.3,18.5,14.4,3.5,11.3,
e) 4,28.9,23.7,19.4,10.0,15.8,12.0,21.4,2.9,
f) 5,25.9,20.4,15.7,12.9,17.9,3.8,58.3,3.9,D
g) 6 to 10,27.9,16.4,15.7,15.2,16.6,13.4,0.0,6.3,4.4
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,21.2,17.3,15.6,14.1,12.1,7.9,14.3,6.3,6.7
m) ALL,41.7,30.3,23.6,22.4,20.2,17.0,20.6,7.9,8.5
,           1988,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,195.2,197.7,198.1,200.0,200.0,200.0,199.8,200.0,
b) 1,69.8,24.8,29.7,16.9,14.7,6.7,26.1,0.0,D
c) 2,35.5,21.6,19.2,14.7,10.3,10.9,3.6,2.7,
d) 3,28.3,24.3,20.6,14.8,22.7,25.1,,0.0,
e) 4,26.0,17.2,21.8,6.6,6.2,6.1,3.3,5.7,
f) 5,20.6,17.7,10.3,13.5,6.9,17.6,0.0,0.2,
g) 6 to 10,21.9,15.5,13.5,12.8,11.2,11.0,15.0,3.4,10.1
h) 11 to 15,19.3,15.6,13.2,7.6,14.8,2.9,0.0,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,16.2,12.1,13.9,10.7,14.4,11.2,7.8,10.9,4.2
m) ALL,41.5,25.8,23.5,18.8,18.6,15.0,13.9,8.8,5.6
,           1989,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.1,195.9,188.3,193.2,183.5,180.1,200.0,200.0,D
b) 1,62.5,25.6,19.9,18.3,17.6,9.3,8.8,18.8,
c) 2,32.2,19.3,16.4,15.4,12.2,4.3,3.2,3.8,D
d) 3,36.6,19.7,13.8,20.6,15.9,16.4,2.2,6.1,
e) 4,28.3,16.5,15.7,14.7,12.9,6.3,76.7,6.6,
f) 5,25.3,20.1,13.7,16.3,8.0,9.6,1.0,5.8,
g) 6 to 10,23.2,13.1,13.6,12.0,8.2,17.0,6.4,4.5,7.6
h) 11 to 15,27.3,10.9,13.8,13.8,13.2,11.8,13.8,0.0,7.2
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,21.1,10.4,13.2,10.1,9.2,8.6,8.0,6.7,3.8
m) ALL,41.1,22.7,21.1,19.4,16.4,15.3,12.9,8.3,10.2
,           1990,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.9,198.7,199.9,200.0,200.0,199.9,199.9,,
b) 1,58.3,30.4,30.1,21.8,21.5,17.4,1.0,9.1,D
c) 2,38.7,22.5,21.7,17.9,12.7,10.3,1.9,15.6,
d) 3,28.6,18.3,17.9,19.5,4.3,11.7,14.8,4.2,0.9
e) 4,29.1,17.8,15.0,21.1,11.7,18.6,3.1,18.9,
f) 5,27.0,17.6,15.7,9.3,11.8,3.5,0.8,0.0,
g) 6 to 10,23.8,16.6,13.0,11.6,11.0,10.9,3.6,16.6,1.6
h) 11 to 15,21.2,11.8,11.8,11.5,10.0,7.5,0.4,6.8,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,18.3,14.4,11.4,10.4,8.1,7.2,7.6,3.3,2.9
m) ALL,40.4,25.6,21.4,18.9,15.2,14.2,14.3,7.9,6.8
,           1991,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.2,196.2,199.1,200.0,191.7,179.8,200.0,200.0,
b) 1,60.7,29.4,16.2,22.6,17.5,27.0,19.4,,
c) 2,38.3,22.6,39.2,11.8,10.6,2.7,4.6,0.0,D
d) 3,25.3,18.0,17.2,10.0,11.6,6.6,17.7,0.0,
e) 4,29.2,17.6,11.3,8.8,13.5,3.1,1.0,2.1,2.5
f) 5,21.0,15.2,12.1,14.9,11.0,11.1,5.5,0.0,D
g) 6 to 10,25.2,13.5,11.5,8.7,8.0,11.6,3.4,0.0,0.3
h) 11 to 15,16.9,12.0,9.5,9.1,10.6,6.5,13.5,4.5,5.7
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,16.4,12.4,11.5,8.7,7.7,5.9,6.1,4.2,4.5
m) ALL,40.6,26.0,22.1,17.0,15.0,12.7,13.4,14.6,3.5
,           1992,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.3,199.0,199.9,200.0,200.0,199.9,200.0,199.9,
b) 1,39.4,23.3,44.9,16.8,7.8,12.8,7.2,2.6,
c) 2,39.6,52.2,40.1,19.3,5.1,5.0,19.4,12.5,
d) 3,32.2,18.4,50.8,15.0,9.9,9.2,8.2,2.9,D
e) 4,28.4,17.0,13.8,8.6,16.4,5.7,0.0,0.0,
f) 5,31.9,15.0,9.1,7.9,7.9,8.7,25.7,14.6,D
g) 6 to 10,26.9,14.1,15.3,10.9,10.3,6.1,10.7,0.5,11.6
h) 11 to 15,19.8,12.2,11.1,12.4,9.4,5.4,6.0,13.2,5.5
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,23.3,12.4,11.7,9.4,6.5,7.8,6.2,5.4,3.7
m) ALL,38.8,26.3,26.4,16.8,11.9,12.6,10.2,13.2,4.7
,           1993,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.1,195.7,198.7,180.1,199.9,200.0,200.0,200.0,
b) 1,43.2,27.9,18.0,18.9,28.6,6.1,13.8,0.0,
c) 2,34.4,20.1,18.8,12.8,6.4,14.8,1.5,2.7,D
d) 3,27.4,22.0,18.0,12.7,8.3,5.0,8.6,8.2,
e) 4,34.5,21.0,12.3,9.2,11.1,7.6,0.8,0.0,D
