Country: USA,,,,,,,,,
Variable: Job_Destruction_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
m) ALL,"4,722","3,353","2,419","3,146","2,028","1,720",560,0,0
,           1984,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,"1,196",415,421,347,0,D,0,D,
c) 2,737,452,469,279,D,D,0,D,D
d) 3,612,242,208,D,D,0,D,0,D
e) 4,449,359,275,D,D,D,D,,
f) 5,429,252,121,D,D,0,D,,D
g) 6 to 10,652,480,523,376,D,D,0,D,D
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,431",967,"1,240","1,332",D,D,0,0,0
m) ALL,"5,506","3,167","3,257","2,696","1,527","1,345",0,0,0
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,772,275,D,D,0,0,D,D,
c) 2,757,204,D,172,0,D,0,D,
d) 3,570,363,203,311,0,0,0,D,D
e) 4,408,212,231,D,D,0,D,D,D
f) 5,418,315,189,D,D,D,D,,
g) 6 to 10,893,529,552,543,401,D,D,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,410",892,906,"1,456",566,872,0,0,0
m) ALL,"5,228","2,790","2,543","3,002","1,458","1,721",505,0,0
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,949,447,191,D,D,D,,D,
c) 2,582,384,187,D,D,0,D,D,
d) 3,576,308,257,D,D,0,D,D,
e) 4,442,170,188,D,0,D,0,D,D
f) 5,400,240,250,D,D,D,D,D,D
g) 6 to 10,956,548,444,D,D,0,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,205",901,779,800,D,D,0,0,0
m) ALL,"5,110","2,998","2,296","2,249","1,726",864,745,0,0
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,D
b) 1,982,460,487,D,D,D,0,0,
c) 2,667,317,256,559,D,D,,D,
d) 3,611,377,109,274,320,D,0,D,
e) 4,466,234,219,D,D,0,D,D,
f) 5,507,272,230,360,D,D,D,D,D
g) 6 to 10,"1,414",642,679,986,D,D,0,0,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,143","1,067",911,"1,912","1,078",993,D,D,0
m) ALL,"5,790","3,369","2,891","4,962","3,314","2,553",707,"1,448",0
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,"1,201",483,534,264,D,D,0,0,D
c) 2,676,338,451,317,D,D,D,0,
d) 3,520,241,411,D,0,D,,D,
e) 4,423,219,136,D,D,D,D,D,
