Country: USA,,,,,,,,,
Variable: Firmdeath_Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b) 1,320,24,7,3,.,.,.,.,
c) 2,199,29,10,2,1,1,.,.,.
d) 3,147,16,6,2,1,.,.,.,.
e) 4,121,17,4,2,.,.,.,,
f) 5,88,12,2,.,1,.,.,,.
g) 6 to 10,142,23,5,4,1,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,322,45,19,5,1,.,.,.,.
m) ALL,"1,339",166,53,18,5,1,.,.,.
,           1985,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,185,12,8,1,.,.,.,.,
c) 2,202,13,4,2,.,.,.,.,
d) 3,146,21,6,1,.,.,.,.,.
e) 4,109,10,7,.,.,.,.,.,.
f) 5,105,17,4,1,1,.,.,,
g) 6 to 10,197,25,12,4,1,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,332,36,13,4,1,1,.,.,.
m) ALL,"1,276",134,54,13,3,1,.,.,.
,           1986,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,260,27,5,4,1,.,,.,
c) 2,179,21,6,3,1,.,.,.,
d) 3,146,17,3,1,1,.,.,.,
e) 4,94,10,4,1,.,.,.,.,.
f) 5,94,13,5,1,.,.,.,.,.
g) 6 to 10,209,31,10,1,.,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,293,42,13,5,.,.,.,.,.
m) ALL,"1,275",161,46,16,3,.,.,.,.
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,.,.
b) 1,297,28,12,6,1,.,.,.,
c) 2,180,20,7,7,4,.,,.,
d) 3,126,17,4,3,1,.,.,.,
e) 4,122,11,4,3,.,.,.,.,
f) 5,87,12,7,2,.,.,.,.,.
g) 6 to 10,276,25,16,8,1,.,.,.,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,270,49,15,12,.,1,.,.,.
m) ALL,"1,358",162,65,41,7,1,.,.,.
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,389,24,9,2,1,.,.,.,.
c) 2,197,21,10,2,.,.,.,.,
d) 3,142,14,9,3,.,.,,.,
e) 4,102,7,1,1,1,.,.,.,
f) 5,80,12,3,1,.,.,.,.,
g) 6 to 10,294,39,17,4,.,.,.,.,.
h) 11 to 15,25,3,1,.,.,.,.,,.
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,235,22,10,4,3,.,.,.,.
m) ALL,"1,464",142,60,17,5,.,.,.,.
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,.
b) 1,230,20,11,6,.,.,.,.,
c) 2,217,20,13,3,1,.,.,.,.
d) 3,119,19,5,2,.,.,.,.,
e) 4,133,22,10,3,1,.,.,.,
f) 5,89,13,5,1,.,.,.,.,
g) 6 to 10,265,34,19,9,.,1,.,.,.
h) 11 to 15,71,8,2,3,2,.,.,.,.
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,212,32,8,6,.,.,.,.,.
m) ALL,"1,336",168,73,33,4,1,.,.,.
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,,,
b) 1,189,18,6,3,.,.,.,.,.
c) 2,154,18,7,2,2,1,.,.,
d) 3,147,15,6,2,1,.,.,.,.
e) 4,106,14,7,2,1,1,.,.,
f) 5,79,11,5,3,.,.,.,.,
g) 6 to 10,228,26,17,6,1,2,.,.,.
h) 11 to 15,102,12,5,3,1,.,.,.,.
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,184,22,5,3,2,.,2,.,.
m) ALL,"1,189",136,58,24,8,4,2,.,.
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,255,20,9,3,.,.,.,.,
c) 2,135,18,11,4,3,.,.,.,.
d) 3,117,22,9,2,.,.,.,.,
e) 4,113,12,8,2,.,.,.,.,.
f) 5,68,21,5,1,.,1,1,.,.
g) 6 to 10,271,38,13,5,2,.,.,.,.
h) 11 to 15,131,18,6,5,1,.,.,.,.
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,158,16,4,4,.,.,1,.,.
m) ALL,"1,248",165,65,26,6,1,2,.,.
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,351,25,8,7,.,1,.,.,
c) 2,211,24,9,1,1,1,.,.,
d) 3,181,14,11,2,1,.,.,.,.
e) 4,120,9,5,2,.,.,.,.,
f) 5,95,11,1,.,1,.,.,.,.
g) 6 to 10,264,36,16,5,2,.,.,.,.
h) 11 to 15,143,27,6,5,.,.,.,.,.
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,165,19,12,1,.,.,.,.,.
m) ALL,"1,530",165,68,23,5,2,.,.,.
,           1993,Estab Size,,,,,,,
