National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Reading scale score sorted by all students, grade 4 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,75th percentile,25th percentile,
,,significant,Significantly,,,,,,75th percentile - 25th percentile
,,difference,,,,,,,difference
,,,higher,not,lower,2007,2007,2007,2007
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,219.657071,244.2980011,197.8139954,46.48400574
N/A,Alabama,?,?,?,?,216.3889539,241.7780029,193.2699982,48.50800476
N/A,Alaska,?,?,?,?,214.4769544,241.6360016,192.1560028,49.47999878
N/A,Arizona,?,?,?,?,209.5206243,237.2600037,185.9679993,51.29200439
N/A,Arkansas,?,?,?,?,217.0278177,241.4720032,195.5720032,45.9
N/A,California,?,?,?,?,208.522186,235.6660004,184.0380005,51.62799988
N/A,Colorado,?,?,?,?,223.7326529,248.426001,202.1959991,46.23000183
N/A,Connecticut,?,?,?,?,227.2036492,252.9040009,204.8319977,48.07200317
N/A,Delaware,?,?,?,?,225.0705423,245.5119995,205.7579987,39.75400085
N/A,District of Columbia,?,?,?,?,197.0859504,222.4539978,171.2059998,51.24799805
N/A,DoDEA,?,?,?,?,229.17685,248.75,211.3380035,37.41199646
N/A,Florida,?,?,?,?,223.5349268,245.9500031,203.2960022,42.65400085
N/A,Georgia,?,?,?,?,218.8881713,240.702002,198.5399994,42.16200256
N/A,Hawaii,?,?,?,?,213.496555,238.597998,190.7339996,47.86399841
N/A,Idaho,?,?,?,?,223.4040653,246.3720001,202.9800018,43.39199829
N/A,Illinois,?,?,?,?,219.3868114,244.947998,196.35,48.59799805
N/A,Indiana,?,?,?,?,221.6730923,244.9159973,200.8880035,44.02799377
N/A,Iowa,?,?,?,?,224.8947954,246.7599976,206.3259979,40.43399963
N/A,Kansas,?,?,?,?,224.6583622,247.0839996,204.6219971,42.46200256
N/A,Kentucky,?,?,?,?,222.4323142,245.9119995,200.9300018,44.98199768
N/A,Louisiana,?,?,?,?,207.4068055,233.273999,183.7139984,49.56000061
N/A,Maine,?,?,?,?,225.5440458,247.0600006,206.2279999,40.83200073
N/A,Maryland,?,?,?,?,224.7812651,248.8220001,200.9919983,47.83000183
N/A,Massachusetts,?,?,?,?,235.7534621,258.3879944,215.2379974,43.14999695
N/A,Michigan,?,?,?,?,220.1184528,245.1700012,197.8319977,47.33800354
N/A,Minnesota,?,?,?,?,224.9170043,248.3359985,205.6319977,42.70400085
N/A,Mississippi,?,?,?,?,207.8095188,231.2560028,185.3200012,45.93600159
N/A,Missouri,?,?,?,?,220.7768279,244.4220001,199.9280029,44.49399719
N/A,Montana,?,?,?,?,226.6665326,248.6160004,208.073999,40.54200134
N/A,Nebraska,?,?,?,?,222.9025543,246.0540039,203.1700012,42.88400269
N/A,Nevada,?,?,?,?,210.8190091,237.4940002,187.8920013,49.6019989
N/A,New Hampshire,?,?,?,?,229.0171734,251.2540009,209.1160004,42.13800049
N/A,New Jersey,?,?,?,?,230.646972,253.6900024,210.2919983,43.39800415
N/A,New Mexico,?,?,?,?,211.6318846,236.7140015,190.0619965,46.652005
N/A,New York,?,?,?,?,223.7520273,248.5719971,201.8160004,46.7559967
N/A,North Carolina,?,?,?,?,217.9340426,241.8439972,196.3880005,45.4559967
N/A,North Dakota,?,?,?,?,226.3254811,245.8920013,208.3180023,37.57399902
N/A,Ohio,?,?,?,?,225.6669878,247.1619995,206.2859985,40.87600098
N/A,Oklahoma,?,?,?,?,216.955654,239.5159973,198.226001,41.28999634
N/A,Oregon,?,?,?,?,215.0173234,241.0959961,192.702002,48.39399414
N/A,Pennsylvania,?,?,?,?,226.3536582,251.6720001,205.052002,46.61999817
N/A,Rhode Island,?,?,?,?,218.7614449,243.5380005,197.6640015,45.87399902
N/A,South Carolina,?,?,?,?,213.8365272,238.7419983,191.1799988,47.56199951
N/A,South Dakota,?,?,?,?,223.3985267,245.4959991,204.1039978,41.39200134
N/A,Tennessee,?,?,?,?,215.7492686,239.9080017,193.4199982,46.48800354
N/A,Texas,?,?,?,?,219.6043131,242.1860016,198.8059998,43.38000183
N/A,Utah,?,?,?,?,221.2614281,245.797998,200.6660004,45.13199768
N/A,Vermont,?,?,?,?,228.2485382,251.3680023,207.3140015,44.05400085
N/A,Virginia,?,?,?,?,227.1367249,248.0940002,207.3660034,40.72799683
N/A,Washington,?,?,?,?,223.9993368,247.9819977,202.7459961,45.23600159
N/A,West Virginia,?,?,?,?,215.1305555,240.4540009,194.3780029,46.07599792
N/A,Wisconsin,?,?,?,?,223.3180098,247.3199982,203.1859955,44.13400269
N/A,Wyoming,?,?,?,?,225.2894833,246.8940002,206.4,40.49400024
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2007 Reading Assessment.",,,,,,,,,
