Table 8-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individuals in science and engineering occupations as a percentage of all occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Individuals in S&E occupations,,,,,,,,,,,All occupations,,,,,,,,,,,S&E occupations/all occupations (%),,,,,,,,,
State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Maine ,"15,020","15,160","15,500","15,950","15,960","17,000","17,910","17,470","17,490","17,910",,"591,750","598,350","597,260","596,910","600,020","604,150","589,090","577,410","575,640","581,110",,2.54,2.53,2.60,2.67,2.66,2.81,3.04,3.03,3.04,3.08
Maryland,"149,250","154,310","160,120","159,470","162,540","167,070","169,540","166,700","173,020","179,550",,"2,448,580","2,477,280","2,497,220","2,531,180","2,551,910","2,561,530","2,503,410","2,462,470","2,480,670","2,510,680",,6.10,6.23,6.41,6.30,6.37,6.52,6.77,6.77,6.97,7.15
Massachusetts,"184,690","186,260","193,180","198,670","205,610","217,310","217,690","208,160","220,670","229,160",,"3,130,720","3,129,090","3,144,540","3,170,490","3,207,840","3,234,860","3,169,010","3,119,100","3,157,020","3,202,080",,5.90,5.95,6.14,6.27,6.41,6.72,6.87,6.67,6.99,7.16
Michigan,"182,940","183,140","192,150","208,520","212,040","204,290","187,760","176,570","188,380","198,610",,"4,310,420","4,324,840","4,334,870","4,294,260","4,210,550","4,142,750","3,893,900","3,755,890","3,829,000","3,918,120",,4.24,4.23,4.43,4.86,5.04,4.93,4.82,4.70,4.92,5.07
Minnesota,"117,120","119,380","120,930","125,930","129,840","134,440","134,060","125,100","130,340","131,690",,"2,591,720","2,625,060","2,635,370","2,682,940","2,687,740","2,704,860","2,627,640","2,562,450","2,595,450","2,641,110",,4.52,4.55,4.59,4.69,4.83,4.97,5.10,4.88,5.02,4.99
Mississippi ,"22,190","23,190","23,480","24,910","25,520","27,270","25,940","23,770","23,440","23,640",,"1,089,350","1,101,680","1,108,540","1,113,000","1,128,980","1,138,210","1,096,890","1,070,820","1,073,100","1,080,420",,2.04,2.10,2.12,2.24,2.26,2.40,2.36,2.22,2.18,2.19
Missouri,"84,150","87,200","92,260","96,420","102,170","105,390","104,310","102,300","106,930","109,650",,"2,623,020","2,646,990","2,663,880","2,700,450","2,732,920","2,740,170","2,668,450","2,588,450","2,591,020","2,605,910",,3.21,3.29,3.46,3.57,3.74,3.85,3.91,3.95,4.13,4.21
Montana ,"11,450","11,390","11,940","13,010","13,240",NA,"14,210","14,620","14,960","15,360",,"394,820","408,730","414,650","427,130","435,480","444,090","432,240","424,300","425,110","432,380",,2.90,2.79,2.88,3.05,3.04,NA,3.29,3.45,3.52,3.55
Nebraska ,"30,710","31,720","31,530","32,500","31,420","31,820","31,790","30,930","33,800","34,720",,"879,550","887,200","895,470","901,120","914,670","928,120","916,770","901,690","904,630","914,830",,3.49,3.58,3.52,3.61,3.44,3.43,3.47,3.43,3.74,3.80
Nevada ,"22,330","23,980","24,400","26,930","26,920","27,300","27,560","26,840","28,370","27,000",,"1,086,110","1,154,440","1,191,640","1,257,860","1,285,470","1,278,230","1,179,860","1,113,530","1,112,780","1,127,160",,2.06,2.08,2.05,2.14,2.09,2.14,2.34,2.41,2.55,2.40
