5-Year Survival Rate for Startup Establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ME,45.7%,44.3%,48.9%,51.3%,48.9%,50.6%,53.2%,56.4%,52.9%,48.8%,45.2%,46.2%,50.5%,50.5%,53.1%,50.3%,50.2%,51.5%,51.0%,51.5%,51.4%,50.4%,52.7%,52.3%,53.6%,53.5%,46.5%,48.2%,46.9%,48.5%,48.8%
MD,46.4%,47.2%,49.4%,50.2%,53.5%,51.8%,51.6%,59.9%,54.3%,50.3%,48.0%,49.1%,51.3%,50.5%,52.1%,50.1%,49.7%,49.0%,49.6%,49.6%,48.9%,50.5%,51.6%,53.1%,52.6%,52.6%,49.4%,47.4%,47.8%,47.3%,48.6%
MA,50.1%,49.7%,53.2%,53.6%,56.6%,53.9%,53.9%,55.5%,53.7%,47.8%,43.9%,46.6%,49.6%,52.4%,54.7%,53.7%,53.5%,53.6%,53.2%,53.0%,51.0%,50.5%,53.3%,51.3%,50.2%,50.7%,44.2%,47.5%,49.3%,49.8%,50.6%
MI,47.0%,45.4%,48.6%,50.4%,53.3%,50.5%,52.2%,54.7%,54.9%,52.1%,50.0%,52.5%,55.0%,56.2%,57.0%,52.9%,53.5%,53.1%,52.2%,51.3%,49.4%,50.1%,49.7%,49.3%,49.3%,49.7%,47.5%,45.3%,45.5%,47.2%,48.2%
MN,47.9%,47.3%,49.0%,49.8%,51.6%,49.0%,49.0%,51.7%,53.0%,50.7%,50.0%,53.8%,58.0%,55.9%,56.5%,54.6%,54.5%,53.9%,53.8%,54.9%,53.9%,52.6%,52.7%,54.3%,52.8%,52.6%,48.7%,48.4%,47.1%,49.5%,50.2%
MS,44.3%,42.1%,43.5%,44.6%,47.1%,44.9%,45.4%,49.7%,49.0%,45.2%,44.1%,49.4%,49.6%,51.1%,51.1%,47.1%,46.8%,47.7%,47.4%,47.4%,44.8%,47.2%,47.4%,50.5%,50.6%,48.6%,47.2%,48.1%,47.8%,50.2%,48.8%
MO,43.2%,42.2%,45.4%,45.9%,48.3%,47.3%,48.1%,52.4%,54.3%,48.4%,46.5%,49.5%,51.6%,51.1%,51.8%,48.5%,47.5%,47.6%,47.0%,47.7%,47.7%,47.5%,48.3%,51.1%,50.6%,48.4%,44.4%,42.5%,43.7%,46.7%,46.3%
MT,39.6%,45.3%,44.2%,46.1%,45.3%,41.9%,44.1%,43.7%,45.2%,47.6%,46.4%,50.8%,53.1%,53.3%,52.9%,51.0%,49.5%,48.1%,48.8%,48.7%,49.0%,51.7%,52.4%,55.3%,51.3%,53.1%,50.2%,49.3%,47.5%,47.0%,43.9%
NE,45.9%,46.5%,45.5%,48.1%,49.2%,48.4%,47.9%,58.0%,56.9%,51.5%,50.1%,52.9%,56.2%,54.8%,55.3%,52.7%,53.6%,51.2%,50.8%,54.2%,54.8%,54.7%,54.2%,57.1%,54.5%,54.6%,51.7%,51.7%,51.5%,53.5%,52.7%
NV,40.4%,43.6%,43.6%,42.0%,44.7%,43.0%,43.5%,43.2%,46.0%,46.6%,44.7%,48.5%,48.3%,48.4%,46.7%,45.6%,44.5%,44.7%,45.0%,44.9%,45.2%,44.8%,43.9%,45.0%,46.1%,46.7%,45.3%,42.3%,40.7%,40.7%,40.4%
NH,45.6%,43.9%,49.6%,50.6%,51.3%,52.3%,52.1%,54.3%,49.8%,42.2%,40.1%,42.0%,46.1%,50.0%,52.3%,51.2%,50.9%,52.8%,52.9%,51.2%,50.4%,50.2%,51.4%,52.8%,50.3%,50.7%,47.9%,45.5%,45.7%,47.5%,47.6%
NJ,47.9%,48.5%,50.1%,51.3%,53.8%,51.0%,52.1%,53.5%,52.8%,48.1%,45.3%,48.4%,49.7%,50.8%,52.0%,50.5%,50.2%,49.3%,49.1%,49.2%,48.8%,49.9%,50.2%,49.1%,49.0%,48.6%,46.3%,44.9%,44.5%,44.9%,45.9%
NM,39.6%,47.1%,43.7%,45.4%,46.7%,42.1%,43.3%,46.2%,46.4%,45.8%,44.1%,47.4%,52.6%,51.9%,52.5%,47.7%,46.6%,46.5%,44.9%,45.6%,47.2%,46.8%,45.5%,48.8%,50.5%,50.0%,49.1%,47.7%,47.4%,48.4%,47.0%
NY,46.1%,47.6%,48.6%,49.4%,51.9%,49.6%,49.3%,52.0%,50.8%,48.1%,45.5%,47.8%,48.3%,48.8%,49.3%,47.4%,47.1%,47.7%,48.7%,48.6%,49.2%,49.3%,48.8%,48.1%,48.7%,49.3%,46.8%,45.4%,46.8%,48.1%,48.5%
NC,45.0%,41.7%,46.5%,47.0%,51.2%,48.3%,54.1%,56.3%,52.0%,48.7%,46.8%,49.5%,52.5%,53.0%,53.8%,51.8%,50.2%,50.6%,49.7%,49.8%,46.0%,47.6%,49.0%,51.3%,49.5%,51.7%,50.5%,47.7%,47.9%,48.3%,46.8%
ND,44.1%,43.7%,46.5%,50.4%,49.4%,46.9%,46.6%,50.0%,52.2%,50.3%,50.2%,51.5%,53.9%,55.1%,56.6%,55.2%,51.9%,50.9%,47.7%,55.1%,58.1%,56.2%,59.4%,60.8%,54.8%,55.6%,50.4%,48.5%,54.4%,56.5%,55.2%
OH,48.1%,45.9%,48.2%,49.3%,52.7%,50.5%,51.5%,55.4%,55.7%,52.6%,50.2%,52.9%,56.5%,55.0%,55.0%,52.4%,52.6%,52.1%,51.6%,51.3%,50.9%,51.7%,51.3%,52.2%,51.9%,52.2%,48.6%,47.6%,48.9%,49.9%,50.6%
OK,40.0%,46.3%,43.0%,43.2%,42.3%,37.0%,38.3%,43.5%,41.7%,43.7%,44.3%,48.2%,50.9%,50.8%,51.0%,47.5%,46.7%,45.8%,45.5%,46.1%,46.1%,48.0%,48.9%,49.0%,49.6%,49.5%,48.5%,47.6%,50.5%,51.5%,49.7%
OR,40.5%,36.6%,38.7%,41.9%,45.1%,44.8%,43.9%,41.5%,47.2%,45.7%,45.3%,50.8%,51.9%,53.6%,51.9%,49.0%,48.7%,46.9%,47.8%,47.4%,47.5%,47.9%,49.1%,51.8%,52.1%,52.4%,49.7%,47.8%,46.3%,47.1%,45.5%
