State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,"4,961,540","5,174,260","5,233,520","5,407,710","5,591,990","5,781,460","5,785,710","5,549,980","5,794,980","5,968,240","6,139,220","6,318,580"
Alabama,"56,380","59,880","62,790","66,100","69,650","68,580","68,670","68,450","70,290","72,880","76,650","74,480"
Alaska,"10,600","10,870","11,230","10,720","11,990","13,260","14,780","15,430","15,680","16,260","15,210","14,920"
Arizona,"92,120","98,400","96,410","98,110","102,380","102,100","102,820","102,870","115,330","116,930","123,410","127,760"
Arkansas,"21,340","24,170","24,660","24,860","28,460","29,310","31,420","29,200","29,350","29,530","30,660","32,050"
California,"676,180","703,250","716,530",NA,"753,570","791,750","795,240","758,830","800,430","821,780","849,510","880,850"
Colorado,"124,140","125,510","126,110","133,730","138,990","147,000","148,090","143,210","144,750","149,020","154,020","160,700"
Connecticut,"81,380","83,840","83,930","79,380","80,280","80,290","79,160","74,990","76,550","78,450","78,850","79,000"
Delaware,"17,370","18,420","18,010","21,550","22,140","22,330","22,200","20,920","22,430","23,440","22,030","22,830"
Florida,"221,070","235,170","241,000","246,190","244,140","248,200","247,070","239,600","244,970","248,300","250,330","257,450"
Georgia,"144,170","139,230","137,580","136,470","136,880","147,380",NA,"145,220","147,820","148,830","160,820","169,940"
Hawaii,"16,090","17,630","17,460","18,940","18,740","18,830","19,020","19,500","20,100","20,930","21,140","20,900"
Idaho,"22,150","23,050","23,880",NA,"24,330","23,310","23,520","24,130","25,950","25,260","25,850","26,460"
Illinois,"211,230","219,040","221,630","222,470","225,180","224,370","221,170","197,120","204,420","220,170","226,850","235,380"
Indiana,"78,410","80,950","79,910","80,110","83,080","90,840","90,750","90,710","93,640","94,620","100,870","104,000"
Iowa,"37,320","40,060","40,300","43,670","45,430","46,180","47,080","44,140","48,930","50,950","52,440","53,440"
Kansas,"51,970","52,650","51,630","48,620","50,040","54,260","56,200","48,970","51,530","50,930","51,240","50,120"
Kentucky,"45,230","43,740","44,530","44,680","49,030",NA,"51,200","48,790","51,990","51,830","53,920","54,350"
Louisiana,"41,900","42,520","41,030","40,180","38,450","41,790","43,630","44,200","42,760","45,920","46,750","49,120"
Maine,"15,020","14,980","15,500","15,950","15,960","17,000","17,910","17,470","17,490","17,910","18,840","19,410"
Maryland,"149,250","158,350","160,120","159,470","162,540","167,070","169,540","166,700","173,020","179,550","186,780","190,080"
Massachusetts,"184,690","190,960","193,180","198,670","205,610","217,310","217,690","208,160","220,670","229,160","227,780","230,480"
Michigan,"182,940","188,580","192,150","208,520","212,040","204,290","187,760","176,570","188,380","198,610","207,800","219,630"
Minnesota,"117,120","118,590","120,930","125,930","129,840","134,440","134,060","125,100","130,340","131,690","133,580","140,190"
Mississippi,"22,190","22,970","23,480","24,910","25,520","27,270","25,940","23,770","23,440","23,640","24,320","24,860"
Missouri,"84,150","91,820","92,260","96,420","102,170","105,390","104,310","102,300","106,930","109,650","105,730","106,980"
Montana,"11,450","11,640","11,940","13,010","13,240",NA,"14,210","14,620","14,960","15,360","15,570","15,540"
Nebraska,"30,710","31,760","31,530","32,500","31,420","31,820","31,790","30,930","33,800","34,720","36,480","36,220"
Nevada,"22,330","24,440","24,400","26,930","26,920","27,300","27,560","26,840","28,370","27,000","26,850","26,890"
New Hampshire,"23,430","25,620","26,840","27,680","28,450","29,150","30,550","29,200","29,260","28,950","28,460","28,320"
New Jersey,"161,420","171,990","174,270","176,460","186,120","198,060","195,690","185,360","182,210","181,480","184,720","188,240"
New Mexico,"33,600","32,000","32,530","30,800","33,440","34,560","36,950","36,130","35,520","35,310","34,900","36,180"
New York,"272,440","283,150","289,010","306,810","322,520","326,510","315,480",NA,"310,510","321,480","333,710","348,740"
North Carolina,"132,440","136,430","134,290","138,790","142,970","153,680","158,920","155,030","161,880","167,900","173,960","181,030"
North Dakota,"8,430","8,460","9,070","9,360","9,660","9,450","9,930","11,050","12,070","13,120","12,520","12,970"
Ohio,"177,100","181,180","180,900","185,190","196,390","206,320","207,930","195,840","208,140",NA,"218,030","219,830"
Oklahoma,"44,360","46,320","46,370","50,770","51,430","48,900","45,730","44,190","47,090","50,420","51,900","52,910"
Oregon,"61,230","64,820","62,030","64,520","67,890","70,070","69,630",NA,NA,"75,780","79,040","80,470"
Pennsylvania,"185,560","195,510","204,270","214,910","218,890","227,170",NA,NA,NA,NA,"243,850","248,750"
Rhode Island,"18,740","19,330","18,080","18,060","18,400","18,090","18,120","18,210","19,450","20,180","20,740","21,210"
South Carolina,"48,740","50,840","50,460","53,230","54,120","57,770","57,370","56,230","61,020","63,170","65,140","67,300"
