Series ID,State,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
SMU01000000000000001,Alabama,405.3,427.7,500.8,608.3,632.7,618.4,579.3,561.8,610.3,629.1,604.5,619.6,662.8,681.4,692.7,678,702.9,734.7,754.8,742.3,764.4,776.4,774.6,791.8,812.5,843.8,886.5,935.6,951.8,970.1,"1,000.2","1,010.4","1,021.9","1,072.3","1,135.5","1,169.8","1,155.4",1207,"1,269.2","1,336.5",1362,"1,356.1","1,347.6","1,312.5","1,328.8","1,387.7","1,427.1","1,463.3","1,507.7","1,558.7","1,601.2","1,635.8",1642,"1,674.4","1,716.8","1,758.5","1,803.7","1,828.6","1,866.2","1,898.1","1,919.5","1,931.2","1,908.7","1,883.2","1,875.6","1,901.7","1,944.9","1,979.6","2,005.7","1,992.1","1,886.5","1,870.8",1870,"1,885.2","1,903.4"
SMU02000000000000001,Alaska,,,,,,,,,,,,,,,,,,,,,,56.5,57,58.9,62.1,65.4,70.5,73.1,76.8,79.9,86.8,93.1,97.8,103.5,109.9,127.8,161.9,171.7,163.3,163.5,166.9,169.4,186.1,200.4,214.3,225.7,230.7,220.7,210.1,213.7,227,237.1,241.7,246.2,251.8,258.3,261,262.6,267.7,274,278.1,283.1,288.3,293.8,298.2,303.3,308.8,313.9,316.9,321.2,319.9,324.1,329.5,334.6,335.8
SMU04000000000000001,Arizona,95.5,100.7,111.2,135.2,144.7,140.6,136.5,135.6,145.8,154.8,153.8,161.6,180.7,197.4,207.6,209.1,226,251.2,272.7,286.9,309,333.8,347.1,364.8,377.3,389.3,403.7,434.8,445.5,473.4,517.2,547.4,581.3,646.2,714.4,745.9,729,758.8,809.4,895.4,980,1014,"1,040.8","1,029.8","1,077.8","1,181.9","1,278.6","1,337.8","1,385.8","1,419.3","1,454.5","1,483.1","1,491.2","1,517.1","1,584.4",1692,"1,793.4","1,892.3","1,984.6","2,074.7","2,163.1","2,242.9","2,265.9","2,267.5","2,299.2","2,384.6","2,512.7","2,639.3","2,679.4","2,622.5","2,432.6","2,386.1","2,412.1","2,463.5","2,515.2"
SMU05000000000000001,Arkansas,197.9,201.3,230.8,281,280.7,268,273,270.5,286.2,294.2,287.9,298.3,318.9,323.2,319.6,311.4,321.1,333.1,337.5,343.7,359.6,367.6,378,399.7,416.3,431.8,458.8,489.8,501,514.6,533.8,536.2,551,581.5,614.5,640.7,623.8,659.9,695.5,732.7,749.5,742.3,740.1,720.1,741.3,780.2,797.1,813.8,836.6,865.4,893.4,923.9,936.6,963.1,993.9,"1,034.1","1,069.6",1087,"1,104.7","1,122.2","1,141.8","1,158.6","1,153.7","1,146.3","1,145.1","1,158.1","1,177.9","1,198.6","1,204.5","1,202.5","1,164.9",1163,"1,170.1","1,176.5","1,177.4"
SMU06000000000000001,California,1812,"1,931.7","2,264.9","2,689.7","3,083.6","3,116.4","2,961.3","2,972.6",3080,"3,162.8","3,088.1","3,209.4","3,518.3","3,737.8","3,880.7","3,866.1","4,082.9","4,352.3","4,525.2","4,498.6","4,774.8",4896,"4,996.1","5,217.7","5,412.3","5,606.5","5,800.3","6,145.2","6,367.6","6,642.1","6,931.5","6,946.2",6917,"7,209.9","7,621.9","7,834.3","7,847.2","8,154.2","8,599.7","9,199.8","9,665.7","9,853.3","9,993.2","9,821.7","9,932.6","10,408.3","10,791.5","11,110.6","11,501.2","11,943.6","12,274.1","12,538.7","12,406.4","12,208.7","12,097.1","12,215.1",12481,"12,809.8","13,207.6",13695,"14,101.3","14,590.2","14,716.3","14,590.7","14,557.8","14,723.4","15,011.9",15284,"15,410.8","15,240.6","14,371.5","14,210.4","14,358.2","14,706.3","15,147.4"
SMU08000000000000001,Colorado,233.5,238.3,260.2,307.8,307.9,291.5,296,314.8,338,348,341.5,361.3,397.3,416.5,421.4,416.1,436.8,456.9,475.5,475.9,497.6,521,542.9,557.5,571.8,583.2,599,631.3,655.9,686.7,720.8,750.2,787.1,869.4,936,959.7,963.5,"1,003.4","1,058.1","1,149.9",1218,"1,251.1","1,295.2","1,316.6","1,327.2","1,402.3","1,418.7","1,408.3","1,412.6","1,436.1","1,482.3","1,520.9",1545,1597,"1,670.7",1756,"1,834.7","1,900.9","1,980.2","2,057.6","2,132.6","2,213.9","2,226.8","2,184.2","2,152.8","2,179.6",2226,"2,279.1","2,331.3","2,350.3","2,245.6","2,222.3","2,258.6",2313,"2,381.1"
SMU09000000000000001,Connecticut,558.7,604.5,712.5,774.2,799.3,754.4,688.7,714.9,773.8,775.9,730,766.1,828.7,847.6,880.4,860.3,874.8,913.4,921.7,873.3,897.9,915.4,922.7,949.8,969.3,991.2,"1,032.9","1,095.4","1,130.1",1158,"1,194.1","1,197.5","1,164.3","1,190.4","1,238.7",1264,"1,223.4","1,239.7","1,282.3","1,346.1",1398,"1,426.9","1,438.3","1,428.5","1,444.2","1,517.3","1,558.2","1,598.4","1,638.2","1,667.4","1,665.6","1,619.5",1557,"1,526.3","1,531.2","1,543.8","1,561.5","1,582.5","1,607.7","1,643.4","1,669.1","1,693.2","1,681.1","1,664.9","1,644.5","1,649.8",1662,"1,680.6","1,698.2",1699,"1,626.6",1608,"1,625.1","1,640.4","1,654.7"
SMU10000000000000001,Delaware,76,82.7,93,100.3,107.6,103.8,97.8,104.3,110.7,114.8,113.5,121,129.3,134.3,139.3,135.3,143.6,156.4,154.2,148.9,151.5,153.9,152,156.4,163.6,170.8,184.1,193.2,197.4,202.9,211.9,216.8,224.9,232.4,239.4,233.1,229.9,236.7,238.8,247.8,256.7,259.2,259.2,259.2,266.1,280,293.3,303.2,320.7,334.2,344.5,347.5,341.8,341.3,348.7,355.9,366.3,376.3,387.9,400.3,413.2,420.5,420.1,415.4,415.7,425.1,432.9,438.1,438.9,436.8,416.6,413.8,417.1,419.5,427.4
SMU12000000000000001,Florida,390.5,424.5,474.6,516.8,583.1,582.6,562.3,593.4,641.4,657.9,657.3,704.4,759.7,808.8,848.8,882.7,966,"1,060.1","1,152.7","1,185.6","1,273.1","1,320.6","1,333.9","1,387.8","1,447.3","1,526.5","1,619.1","1,726.8","1,816.4","1,932.3","2,069.9","2,152.1","2,276.3","2,513.1","2,778.6","2,863.8","2,746.4","2,784.3","2,933.4","3,180.6","3,381.2","3,576.2",3736,"3,761.9","3,905.4","4,204.2",4410,"4,599.4","4,848.1","5,066.6","5,260.9","5,363.3","5,273.8","5,337.3","5,549.5","5,776.8","5,972.8","6,159.4","6,395.3","6,611.2","6,801.2",7054,"7,143.5","7,151.8","7,232.6",7481,"7,781.1","7,982.9","7,998.3","7,714.9","7,232.3","7,172.9","7,251.9","7,396.7","7,579.2"
SMU13000000000000001,Georgia,526.7,553.5,637.3,701.8,760.2,753.1,725.4,732.1,759.4,779.3,769.6,806.6,872.3,905,929.7,915,959.6,994.2,997.5,989.1,1030,"1,051.1","1,050.7","1,092.7","1,139.6","1,186.8","1,257.2","1,337.9","1,394.8","1,455.7","1,531.7","1,557.5","1,602.9","1,695.2","1,802.5","1,827.5","1,755.7","1,839.2","1,926.5","2,050.1","2,127.5","2,159.4","2,198.7","2,201.5","2,279.5","2,448.7","2,569.8","2,672.4",2782,"2,875.9","2,941.1","3,026.6","2,975.9","3,029.2","3,143.6","3,299.9","3,435.6","3,559.9","3,645.8","3,771.5",3885,3979,"3,971.4","3,897.2","3,870.3","3,923.3","4,025.1","4,111.7","4,167.2","4,123.1","3,900.9","3,861.2","3,901.4","3,954.9","4,033.4"
