County,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Honolulu,0.200,0.200,0.280,0.310,0.390,0.430,0.490,0.480,0.490,0.440,0.390,0.410,0.390,0.370,0.310,0.270,0.240,0.250,0.360,0.580,0.570,0.550,0.510,0.430
Hawaii,0.350,0.450,0.750,0.760,0.920,0.960,0.920,0.930,0.870,0.780,0.470,0.500,0.460,0.460,0.390,0.330,0.300,0.340,0.570,0.970,0.990,0.960,0.820,0.680
Maui,0.420,0.540,0.800,0.540,0.580,0.690,0.670,0.680,0.620,0.510,0.370,0.400,0.390,0.370,0.310,0.260,0.240,0.280,0.460,0.870,0.850,0.770,0.620,0.510
Kauai,0.360,0.410,0.960,0.1300,0.1220,0.1070,0.1130,0.1030,0.900,0.690,0.450,0.500,0.440,0.400,0.340,0.270,0.240,0.260,0.460,0.930,0.880,0.850,0.720,0.570
