GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
26000,Michigan,1716,1895,1983,2198,2068,2229,2269,2301,2228,2327,2405,2396,2555,2687,2901,3156,3378,3471,3808,4092,4178,4505,4973,5520,5880,6292,7018,7860,8722,9510,10170,10932,11401,12205,13496,14598,15453,15967,16978,18217,18942,19158,20161,21100,22552,23651,24681,25857,27225,28399,30015,30236,30350,31122,32119,32952,33851,34853,35594,34190,35082,37163,38585,39055
27000,Minnesota,1443,1590,1645,1725,1743,1810,1857,1950,2037,2080,2171,2254,2346,2476,2557,2800,3015,3202,3483,3817,4099,4331,4689,5467,5865,6301,6752,7557,8426,9297,10205,11235,11972,12575,14209,14983,15787,16722,17368,18816,19786,20158,21418,21770,23076,24156,25764,26922,29024,30180,32326,33324,33881,35222,36881,37746,39587,41596,43074,41230,42572,45220,47377,47500
28000,Mississippi,780,866,921,956,949,1072,1079,1091,1185,1280,1272,1363,1398,1536,1591,1726,1884,2052,2253,2493,2730,2966,3317,3721,4040,4344,4861,5344,5885,6598,7121,7952,8341,8694,9460,9935,10281,10891,11685,12684,13286,13866,14814,15596,16663,17375,18263,19091,20048,20578,21564,22780,23190,24012,25271,26826,28019,29501,30672,30278,30834,32108,33446,33913
29000,Missouri,1438,1575,1682,1763,1756,1850,1939,1982,2111,2198,2228,2292,2409,2507,2619,2832,2996,3176,3492,3639,3936,4213,4553,5035,5376,5876,6395,7056,7817,8684,9361,10432,11153,11866,13073,13924,14605,15288,16133,17221,17884,18551,19619,20317,21307,22166,23249,24473,25516,26390,28006,28786,29343,30358,31724,32716,34429,35841,37401,36417,36606,38016,39933,40663
30000,Montana,1677,1832,1854,1842,1807,1935,1972,2034,2123,2076,2130,2083,2431,2400,2440,2624,2810,2890,3033,3391,3742,3927,4498,5152,5526,5994,6346,6749,7787,8311,9138,10290,10728,11165,11709,11869,12474,12957,13381,14765,15521,16362,17071,18050,18183,18842,19507,20253,21676,22223,23593,24748,25288,26637,28112,29490,31465,33360,34699,33682,34612,36890,39142,39366
31000,Nebraska,1584,1668,1798,1707,1796,1693,1719,1997,2112,2113,2217,2223,2386,2431,2488,2756,2990,3094,3279,3658,3905,4241,4653,5387,5580,6364,6613,7140,8227,8852,9386,10848,11653,12062,13358,14112,14627,15366,16362,17304,18459,18994,20004,20482,21587,22567,24330,24848,26424,27515,28967,30179,30654,32537,33689,34696,36003,38458,40534,39473,39926,43721,45914,47157
32000,Nevada,2063,2288,2487,2542,2513,2625,2597,2679,2740,2894,3036,3106,3324,3317,3346,3436,3605,3801,4292,4702,5138,5445,5783,6296,6654,7225,7874,8698,9908,10808,11803,12836,13203,13709,14587,15465,16225,17004,18405,19588,20475,21198,22563,23349,24348,25330,26591,27479,28564,29706,31208,31767,31866,33310,35680,38583,39841,40837,39911,36840,36657,37445,39229,39235
33000,New Hampshire,1365,1530,1605,1685,1738,1861,1943,2059,2066,2193,2266,2353,2462,2500,2632,2785,3031,3235,3517,3851,4009,4236,4566,5008,5413,5801,6425,7058,7937,8892,10032,11214,12204,13268,14722,15943,17158,18461,19786,20754,20696,21425,22312,22824,24124,25298,26400,28009,29974,31201,34280,35137,35432,36131,38223,39284,41663,43384,44384,43814,44963,47664,50056,51013
34000,New Jersey,1819,2024,2143,2262,2246,2324,2473,2579,2485,2616,2718,2785,2944,3015,3171,3354,3589,3825,4153,4587,4917,5237,5649,6140,6670,7208,7809,8546,9471,10489,11786,13100,14107,15190,16718,17828,18937,20306,22182,23773,24794,25074,26734,27321,28063,29596,31056,32812,34627,35911,39156,40221,40504,41182,43072,44748,48058,50595,51794,50266,50941,53323,54932,55386
35000,New Mexico,1253,1403,1498,1525,1547,1631,1717,1836,1948,2017,1997,2065,2114,2163,2247,2370,2502,2603,2835,3091,3399,3652,4010,4385,4814,5328,5776,6305,7070,7801,8565,9517,10151,10638,11445,12188,12477,12883,13490,14326,15135,15854,16617,17419,18100,19014,19610,20327,21267,21747,23417,25229,25783,26318,27479,29102,30625,31980,33416,32522,33175,34763,35805,35965
