County,Less Than High School Degree,At Least High school graduate,Bachelors degree,Graduate or professional degree
Hawaii,0.082,0.662,0.181,0.075
Honolulu,0.094,0.571,0.22,0.114
Kauai,0.093,0.66,0.173,0.075
Maui,0.071,0.656,0.181,0.094
