State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
Mississippi,1979,58.4,55.1
Missouri,1979,63.2,60.3
Montana,1979,65,61.5
Nebraska,1979,67.2,65.3
Nevada,1979,70.8,67.3
New Hampshire,1979,68,65.8
New Jersey,1979,64.3,59.9
New Mexico,1979,61.6,57.5
New York,1979,60.1,55.8
North Carolina,1979,67.1,63.8
North Dakota,1979,65,62.4
Ohio,1979,63.2,59.5
Oklahoma,1979,60.9,58.9
Oregon,1979,65.2,60.9
Pennsylvania,1979,59.8,55.7
Rhode Island,1979,64.8,60.7
South Carolina,1979,62.3,59.3
South Dakota,1979,67.2,64.9
Tennessee,1979,61.3,57.6
Texas,1979,65.7,62.8
Utah,1979,64.7,61.8
Vermont,1979,66.4,63.1
Virginia,1979,66.1,63
Washington,1979,65.4,61
West Virginia,1979,53.4,49.7
Wisconsin,1979,67.6,64.6
Wyoming,1979,69.9,68.1
Alabama,1980,59.4,54.4
Alaska,1980,71.4,64.7
Arizona,1980,61.7,57.6
Arkansas,1980,59.5,55
California,1980,65.5,61
Colorado,1980,70.6,66.4
Connecticut,1980,66.5,62.6
Delaware,1980,64.4,59.7
Florida,1980,56.4,52.9
Georgia,1980,64.5,60.5
Hawaii,1980,66.5,63.3
Idaho,1980,64.7,60.1
Illinois,1980,65.3,60
Indiana,1980,65.5,59.2
Iowa,1980,66.5,62.8
Kansas,1980,68.4,65.4
Kentucky,1980,62.6,57.5
Louisiana,1980,59.7,55.5
Maine,1980,61.3,56.7
Maryland,1980,68.1,63.6
Massachusetts,1980,66,62.2
Michigan,1980,63.9,56.2
Minnesota,1980,69.8,65.7
Mississippi,1980,59.4,54.8
Missouri,1980,63.1,58.5
Montana,1980,65,61
Nebraska,1980,66.8,64.2
Nevada,1980,71,66.4
New Hampshire,1980,68.3,65.2
New Jersey,1980,64.1,59.5
New Mexico,1980,61.1,56.4
New York,1980,59.9,55.4
North Carolina,1980,66.5,62.2
North Dakota,1980,65.9,62.6
Ohio,1980,63.4,58
Oklahoma,1980,62.3,59.5
Oregon,1980,65.7,60.2
Pennsylvania,1980,60,55.2
Rhode Island,1980,65.3,60.7
South Carolina,1980,62.8,58.6
South Dakota,1980,67.4,64.2
Tennessee,1980,60.9,56.5
Texas,1980,66.2,62.8
Utah,1980,65.5,61.3
Vermont,1980,66.3,62.1
Virginia,1980,66.3,62.8
Washington,1980,64.5,59.4
West Virginia,1980,53.8,48.6
Wisconsin,1980,68,63
Wyoming,1980,70.5,67.8
Alabama,1981,58.3,52.6
Alaska,1981,72.8,66.2
Arizona,1981,62,58.2
Arkansas,1981,60.5,55.3
California,1981,65.5,60.6
Colorado,1981,70.7,66.8
Connecticut,1981,66.8,62.8
Delaware,1981,64.9,59.9
Florida,1981,57.2,53.3
Georgia,1981,64.3,60.1
Hawaii,1981,66.9,63.4
Idaho,1981,64.3,59.4
Illinois,1981,65.6,60
Indiana,1981,64.9,58.6
Iowa,1981,66,61.4
Kansas,1981,68,65.1
Kentucky,1981,62.1,56.7
Louisiana,1981,60.8,55.7
Maine,1981,61.4,57
Maryland,1981,67.7,62.9
Massachusetts,1981,66.5,62.2
Michigan,1981,63.3,55.4
Minnesota,1981,70,66
Mississippi,1981,58.8,53.7
Missouri,1981,62.9,58.2
Montana,1981,65.8,61.3
Nebraska,1981,66.7,64
Nevada,1981,72.6,67.2
New Hampshire,1981,68.7,65.1
New Jersey,1981,63.8,59
New Mexico,1981,61.2,56.7
New York,1981,59.8,55.3
North Carolina,1981,66.6,62.2
North Dakota,1981,65.7,62.5
Ohio,1981,63.6,57.5
Oklahoma,1981,63,60.6
Oregon,1981,66.5,59.9
Pennsylvania,1981,60.2,55.1
Rhode Island,1981,65.9,60.7
South Carolina,1981,63.6,58.5
