State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,276.1152756,NA,277.5196845,NA,280.1694614,NA,281.6747811,NA,282.727131,NA,283.6150365
Alabama,261.9390222,NA,262.2111,NA,266.0001099,NA,268.5241203,NA,269.0965158,NA,269.1942806
Alaska,279.0250699,NA,278.9587094,NA,282.5571541,NA,283.0476628,NA,283.2727979,NA,281.5595728
Arizona,271.1773505,NA,274.30509,NA,275.5484264,NA,277.332282,NA,279.0335017,NA,279.722268
Arkansas,265.7715893,NA,271.6363484,NA,273.8998622,NA,275.9995,NA,279.088205,NA,277.9148025
California,267.0495006,NA,268.5581286,NA,270.381784,NA,270.4485881,NA,272.7698031,NA,275.9013507
Colorado,283.3998585,NA,280.8240073,NA,286.1927562,NA,287.3729075,NA,291.7426729,NA,289.6818001
Connecticut,283.7298112,NA,281.068953,NA,282.4727901,NA,288.6085135,NA,286.9999447,NA,285.2439723
Delaware,277.1583689,NA,280.9535428,NA,282.9920827,NA,283.829473,NA,282.7699664,NA,282.3382986
Florida,271.3714902,NA,274.0483769,NA,277.3834973,NA,279.3352641,NA,277.8370352,NA,280.8558396
Georgia,269.6770092,NA,272.1915644,NA,274.7786646,NA,277.5611997,NA,278.4836192,NA,279.1791109
Hawaii,265.728581,NA,265.6293191,NA,268.7720134,NA,273.7586067,NA,277.8362111,NA,281.4129223
Idaho,279.9392668,NA,280.9668966,NA,283.5075958,NA,287.3052151,NA,286.6750633,NA,286.4138816
Illinois,277.160081,NA,277.6722389,NA,280.497096,NA,282.431417,NA,283.2281347,NA,284.8976472
Indiana,281.2209398,NA,281.7149455,NA,285.0072109,NA,286.8099779,NA,285.0029161,NA,287.7676538
Iowa,283.9533447,NA,283.8109288,NA,285.2269031,NA,284.1701786,NA,284.9208361,NA,285.0701378
Kansas,284.1910881,NA,284.0300535,NA,290.0325998,NA,288.596403,NA,289.6192827,NA,289.5182561
Kentucky,274.2784722,NA,273.9830272,NA,278.7047499,NA,279.2842161,NA,281.6088097,NA,280.6454425
Louisiana,266.3283593,NA,267.7550308,NA,272.3862996,NA,272.3799067,NA,272.8433339,NA,272.7609665
Maine,281.9037733,NA,281.0585409,NA,286.4722531,NA,286.3614259,NA,288.7322976,NA,288.7311597
Maryland,277.7161125,NA,277.9307946,NA,285.7342652,NA,288.3415653,NA,287.9978023,NA,286.6413811
Massachusetts,286.5206945,NA,291.5135411,NA,297.9233445,NA,298.8543466,NA,298.5124311,NA,300.568235
Michigan,276.4418616,NA,277.346682,NA,276.8305171,NA,278.2681682,NA,280.176518,NA,280.1335971
Minnesota,290.680056,NA,290.0749958,NA,291.8511165,NA,294.4433201,NA,294.9464228,NA,294.5929726
Mississippi,260.9119336,NA,262.4562427,NA,264.8909187,NA,265.0019582,NA,269.2356456,NA,271.1609673
Missouri,278.7662503,NA,276.4499393,NA,280.6195383,NA,285.8080019,NA,281.9476462,NA,282.9884579
Montana,285.9280226,NA,286.4320012,NA,287.075529,NA,291.5429429,NA,292.9078043,NA,289.228453
Nebraska,282.193756,NA,283.962991,NA,283.6505986,NA,284.2590935,NA,283.1970448,NA,285.0613485
Nevada,268.0431377,NA,269.9055855,NA,270.8040244,NA,274.1485417,NA,278.1131537,NA,278.2866809
New Hampshire,286.1984687,NA,285.253357,NA,287.557061,NA,292.3218172,NA,292.1087397,NA,295.6651233
New Jersey,281.4071199,NA,283.9026042,NA,288.5834514,NA,292.6572271,NA,294.1387714,NA,296.0533511
New Mexico,263.2729067,NA,263.275163,NA,267.5380787,NA,269.7042538,NA,274.4547015,NA,272.7618089
New York,279.749257,NA,279.7162537,NA,280.1411772,NA,282.5769154,NA,280.4530261,NA,281.8077878
North Carolina,281.2403506,NA,281.8251366,NA,283.8806688,NA,284.3326353,NA,286.2670282,NA,285.6453884
North Dakota,287.1446405,NA,286.9609534,NA,291.5616119,NA,292.8424885,NA,291.9984045,NA,290.5151113
Ohio,281.6072954,NA,283.2517747,NA,284.8516395,NA,285.5830138,NA,288.6025968,NA,289.5280968
Oklahoma,271.9051513,NA,271.3599024,NA,274.5349894,NA,275.7119568,NA,279.1796082,NA,275.506732
Oregon,280.8924709,NA,282.2373254,NA,283.8262772,NA,285.0368144,NA,282.5182068,NA,283.5245891
Pennsylvania,278.5377581,NA,280.7138351,NA,286.1668633,NA,288.3041689,NA,286.1027417,NA,289.6236516
Rhode Island,271.9986944,NA,272.3450181,NA,275.3869905,NA,277.9237194,NA,282.8756596,NA,284.0922122
South Carolina,277.3004496,NA,281.2343211,NA,281.5036015,NA,280.3808554,NA,281.0001337,NA,279.8246086
South Dakota,284.8817364,NA,287.303618,NA,288.4639253,NA,290.6191277,NA,290.6151968,NA,287.2703906
Tennessee,268.1757286,NA,270.5245768,NA,273.9787866,NA,274.7618211,NA,274.0387103,NA,277.7201273
Texas,277.052649,NA,281.102845,NA,285.8707084,NA,286.6850767,NA,290.3467094,NA,288.1989676
Utah,280.6453697,NA,279.1561234,NA,281.0874737,NA,284.0682519,NA,283.3083321,NA,284.3314862
Vermont,285.6455722,NA,287.3564876,NA,291.0107738,NA,292.8660964,NA,293.8825771,NA,295.4695624
Virginia,281.6766434,NA,284.3716282,NA,287.625905,NA,286.069755,NA,289.2554112,NA,288.1429595
Washington,281.1513644,NA,285.0522297,NA,284.8628043,NA,288.7223756,NA,288.1077619,NA,289.9569887
West Virginia,270.7703534,NA,269.0994928,NA,270.0840936,NA,270.4157659,NA,273.2631731,NA,274.4301347
Wisconsin,283.9158657,NA,284.5415566,NA,285.6179425,NA,288.1407262,NA,288.6659327,NA,288.7457808
Wyoming,283.5033499,NA,282.1006096,NA,286.9877715,NA,286.104034,NA,287.767926,NA,288.1191373
