State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,261.3326151,NA,260.4045097,NA,261.0139507,NA,262.2936177,NA,263.5925263,NA,266.0191361
Alabama,253.1725937,NA,251.9783912,NA,251.9368814,NA,254.8952466,NA,258.4210904,NA,257.4278382
Alaska,256.4096253,NA,258.7212747,NA,258.7984559,NA,259.4494265,NA,261.285252,NA,261.2560926
Arizona,255.3201152,NA,254.7879382,NA,254.8287924,NA,257.5952755,NA,260.1480052,NA,260.4482872
Arkansas,257.998089,NA,257.6917319,NA,257.9609958,NA,258.0485802,NA,259.1409378,NA,261.9644908
California,251.0075004,NA,250.4310564,NA,251.2877915,NA,252.6313808,NA,254.9352183,NA,261.5024557
Colorado,267.5926409,NA,264.7581061,NA,266.4078816,NA,265.5131199,NA,270.6362043,NA,271.0090869
Connecticut,267.2180754,NA,264.0127592,NA,267.0556914,NA,271.8101332,NA,274.6813995,NA,274.4595425
Delaware,264.5320515,NA,266.0093654,NA,264.5448307,NA,264.9989661,NA,265.8394755,NA,265.9849815
Florida,257.3013198,NA,255.77997,NA,259.7907207,NA,264.3620409,NA,262.1213748,NA,265.8282971
Georgia,257.714825,NA,256.8723815,NA,258.7049928,NA,260.2445245,NA,262.3586434,NA,264.6157135
Hawaii,251.2848019,NA,248.505423,NA,251.3308107,NA,254.7389799,NA,257.1880104,NA,259.9605695
Idaho,264.4397757,NA,264.3017438,NA,264.8863424,NA,264.837185,NA,268.0146716,NA,270.2241686
Illinois,266.4089689,NA,263.5170297,NA,262.8266171,NA,264.5140023,NA,265.6437294,NA,266.898721
Indiana,264.8325323,NA,261.0136865,NA,264.0959609,NA,265.6912406,NA,264.7298445,NA,267.2729747
Iowa,267.5048317,NA,267.0031717,NA,267.4507196,NA,264.888126,NA,264.5545275,NA,269.0034496
Kansas,266.0116896,NA,266.8312332,NA,267.4137909,NA,266.7995193,NA,267.3363958,NA,266.8875236
Kentucky,266.1914352,NA,263.9384184,NA,261.965951,NA,266.8540198,NA,268.8339636,NA,269.6164717
Louisiana,253.4482882,NA,252.6915933,NA,253.2382943,NA,253.329004,NA,254.6883478,NA,257.3512427
Maine,268.3232652,NA,269.9834438,NA,269.9201538,NA,267.7064996,NA,269.872413,NA,269.193764
Maryland,261.5957319,NA,260.7823834,NA,265.2401215,NA,267.2980565,NA,271.2228966,NA,273.8019031
Massachusetts,272.9066451,NA,273.7160629,NA,273.2840488,NA,273.5892897,NA,275.3685176,NA,277.0095591
Michigan,264.3782925,NA,261.1384723,NA,260.3177061,NA,261.89815,NA,265.1940412,NA,265.9429631
Minnesota,267.7113584,NA,268.3566729,NA,268.1974428,NA,269.7398201,NA,270.1489602,NA,271.0196546
Mississippi,255.010828,NA,250.5306689,NA,250.0635701,NA,251.3056546,NA,253.8334404,NA,253.1478182
Missouri,267.3636733,NA,264.6593688,NA,263.442316,NA,266.8764602,NA,266.7620513,NA,267.2150118
Montana,269.833416,NA,269.2241297,NA,270.93785,NA,270.393926,NA,272.8741408,NA,271.7657825
Nebraska,266.3136904,NA,267.4556943,NA,267.0308506,NA,267.0678566,NA,267.7038652,NA,269.2219146
Nevada,252.3099157,NA,252.8690625,NA,252.3484739,NA,253.8409544,NA,258.1932642,NA,261.6959822
New Hampshire,270.734453,NA,269.6512703,NA,269.7345886,NA,270.7481588,NA,272.0786265,NA,274.3077317
