,,,,,,,,,,,,,,,,,,,,,,,,Population 25-34 years old using data from SE Grad Students sheet,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
State,,,,,,,,,,,,,,,,,,,,,,,,United States,"43,169,451","42,869,916","42,380,341","41,797,082","41,239,970","40,730,188","40,245,871","39,558,339","38,743,134","37,935,812","39,804,497","39,471,522","39,349,646","39,243,795","39,266,556","39,258,647","39,395,179","39,713,463","40,207,473","40,723,342","41,212,923","41,797,950"
Alabama,310,360,383,364,405,432,356,398,414,402,401,406,341,342,296,338,281,364,460,405,368,389,,Alabama ,"648,161","646,669","640,583","637,081","633,389","629,352","630,233","625,515","621,468","614,609","599,858","588,949","583,671","583,109","583,760","585,831","591,061","593,652","598,776","605,551","611,209","614,667"
Alaska,7,3,1,.,4,4,5,13,14,7,.,.,.,.,.,.,3,3,3,5,50,55,,Alaska ,"113,516","109,454","107,435","102,465","96,541","90,352","84,704","79,364","75,618","72,283","88,908","87,154","86,652","86,372","87,247","88,158","89,788","92,158","95,378","98,338","103,645","106,872"
Arizona,355,381,395,380,400,420,406,446,571,533,541,512,558,530,469,474,495,526,593,539,516,497,,Arizona,"634,529","633,521","636,289","638,087","651,100","657,436","657,074","654,684","641,023","628,940","742,778","748,567","761,307","771,335","788,430","811,925","838,414","851,237","858,658","859,294","859,358","867,462"
Arkansas,33,44,52,71,84,80,85,92,109,109,78,88,91,121,133,133,139,120,95,106,159,138,,Arkansas ,"358,744","354,041","347,391","344,514","341,480","339,125","338,213","335,763","331,366","327,575","351,275","348,283","347,949","350,210","354,627","360,441","366,132","368,360","370,940","374,133","377,799","381,599"
California,"5,382","5,309","5,556","5,824","6,270","6,495","6,649","7,004","7,131","7,228","6,905","6,947","7,286","7,380","7,288","7,512","7,554","7,958","8,731","9,272","9,659","9,418",,California,"5,683,885","5,706,931","5,714,217","5,650,931","5,556,484","5,453,795","5,347,874","5,279,694","5,203,609","5,114,990","5,230,209","5,234,401","5,225,289","5,211,149","5,201,301","5,170,422","5,169,993","5,180,534","5,227,071","5,279,559","5,328,942","5,405,582"
Colorado,500,559,587,690,757,833,840,893,881,846,"1,159","1,206","1,183","1,290","1,138","1,190","1,099",936,"1,027","1,064","1,321","1,344",,Colorado,"611,560","595,277","586,118","580,405","574,812","567,863","558,163","545,166","531,951","523,975","664,892","674,645","678,811","672,836","673,625","667,340","673,414","684,807","700,644","715,247","731,258","746,654"
Connecticut,964,"1,005",969,975,"1,081","1,127","1,063",979,916,913,787,808,"1,308","1,272","1,270","1,259","1,217","1,208","1,283","1,423","1,520","1,567",,Connecticut,"583,393","574,180","558,143","542,514","528,370","515,143","503,807","488,806","467,651","446,479","450,424","437,292","431,490","425,567","417,964","409,222","403,277","402,640","409,191","415,315","421,579","428,825"
Delaware,58,66,72,76,85,69,81,105,129,134,138,131,134,125,141,113,120,118,117,129,126,132,,Delaware ,"118,910","120,649","120,442","120,081","119,972","121,136","121,415","119,512","116,487","113,221","108,541","106,005","104,991","105,498","106,972","107,588","107,873","108,223","109,380","110,691","111,866","114,146"
District of Columbia,111,167,163,145,173,148,139,143,169,172,122,145,134,124,115,64,208,218,203,194,248,218,,District of Columbia,"121,189","120,626","119,036","117,025","114,069","110,801","108,632","104,953","100,486","95,007","101,411","102,420","102,631","102,534","103,255","102,771","105,154","107,876","112,093","118,225","125,652","133,464"
