Table 8-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business-performed domestic R&D as a percentage of private-industry output, by state: 1998Ð2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business-performed domestic R&D ($millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private-industry output ($millions),,,,,,,,,,,,,,,,Business-performed domestic R&D/ private-industry output (%),,,,,,,,,,,,,
Georgia,"1,617",,"1,904",   ,"2,159",i,"1,912",,"2,107",,"2,104",r,"2,160",   ,"2,282",,"2,786",   ,"2,788",,"2,501",,"3,065",,"3,644",,"3,839",,,"223,563","244,852","259,144","267,990","274,349","282,622","298,813","316,001","330,692","346,754","349,592","337,182","343,518","358,180",0,,0.72,0.78,0.83,0.71,0.77,0.74,0.72,0.72,0.84,0.8,0.72,0.91,1.06,1.07
Hawaii ,55,e,68,e,93,e,93, ,103,,133,   ,131,,168,,155,   ,218,,176,,180,,257,,252,,,"29,674","30,725","32,712","33,397","34,842","37,464","40,744","44,499","47,688","50,048","51,015","49,198","51,056","52,975",0,,0.19,0.22,0.28,0.28,0.3,0.36,0.32,0.38,0.33,0.44,0.34,0.37,0.5,0.48
Idaho ,"1,103",i,"1,239",   ,"1,363", ,884,,992,,745,   ,681,,642,,625,   ,726,,786,,746,,"1,120",i,"1,171",,,"25,225","28,052","31,157","31,084","32,099","33,553","37,760","41,971","43,450","46,929","47,446","46,439","47,869","49,304",0,,4.37,4.42,4.37,2.84,3.09,2.22,1.8,1.53,1.44,1.55,1.66,1.61,2.34,2.38
Illinois,"7,318",,"8,102",   ,"8,393",i,"8,232",,"7,616",,"8,319",   ,"8,554",,"9,712",,"10,765",   ,"11,362",,"7,984",,"8,363",,"12,221",,"12,038",,,"388,830","407,600","430,233","440,581","448,759","462,519","489,681","513,769","544,055","567,846","570,159","560,365","574,715","601,979",0,,1.88,1.99,1.95,1.87,1.7,1.8,1.75,1.89,1.98,2,1.4,1.49,2.13,2
Indiana,"2,922",,"2,863",i,"2,888",i,"3,583", ,"3,572",,"3,658",   ,"4,208",,"4,610",,"4,858",   ,"4,939",,"4,375",,"4,449",,"4,985",,"6,158",,,"162,896","169,764","179,123","180,282","188,297","198,222","209,634","216,092","220,584","236,466","234,226","224,880","242,589","256,124",0,,1.79,1.69,1.61,1.99,1.9,1.85,2.01,2.13,2.2,2.09,1.87,1.98,2.05,2.4
Iowa,750,,730,   ,762, ,817,,753,,833,   ,963,,"1,039",,"1,055",   ,"1,202",,"1,041",,"1,525",,"1,950",,"2,314",,,"74,206","77,177","82,719","83,002","87,027","92,366","102,854","106,552","109,971","119,402","118,437","118,457","121,990","129,407",0,,1.01,0.95,0.92,0.98,0.87,0.9,0.94,0.98,0.96,1.01,0.88,1.29,1.6,1.79
Kansas ,"1,384",i,"1,448",i,"1,327",i,"1,299",i,"1,427",i,"1,675",i,"1,804",i,"1,993",,"2,064",i,"1,304",,"1,111",,"1,258",,"1,492",,"1,509",,,"66,969","69,959","74,106","77,240","78,823","82,601","85,220","90,082","95,821","103,562","106,296","103,290","107,121","114,751",0,,2.07,2.07,1.79,1.68,1.81,2.03,2.12,2.21,2.15,1.26,1.05,1.22,1.39,1.32
Kentucky ,606,,777,   ,762,,636, ,656,,601,   ,565,   ,660,,839,   ,890,,879,,886,,889,,"1,278",,,"93,475","98,228","97,649","100,203","104,272","107,339","112,709","118,191","124,402","127,462","129,011","126,605","134,256","140,036",0,,0.65,0.79,0.78,0.63,0.63,0.56,0.5,0.56,0.67,0.7,0.68,0.7,0.66,0.91
Louisiana ,377,e,516,e,364,e,316,e,248,e,289,r,311,   ,300,,367,   ,373,e,303,e,291,,428,,459,,,"105,343","108,597","114,715","120,435","120,535","135,898","150,274","174,791","182,648","185,993","191,490","179,257","201,186","211,357",0,,0.36,0.48,0.32,0.26,0.21,0.21,0.21,0.17,0.2,0.2,0.16,0.16,0.21,0.22
Maine ,137,,208,   ,255, ,249,,250,i,200,   ,213,,350,,253,   ,265,,253,,494,,251,,295,,,"27,716","29,547","31,523","32,916","34,455","35,682","38,288","39,183","41,042","42,249","42,381","42,791","43,975","45,163",0,,0.49,0.7,0.81,0.76,0.73,0.56,0.56,0.89,0.62,0.63,0.6,1.15,0.57,0.65
