Table 8-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents awarded per 1,000 individuals in science and engineering occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patents awarded,,,,,,,,,,,Individuals in S&E occupations,,,,,,,,,,,Patents/1000 individuals in S&E occupations,,,,,,,,,
Minnesota,"2,953","2,754","2,431","2,957","2,554","2,535","2,625","3,597","3,860","3,902",,"117,120","119,380","120,930","125,930","129,840","134,440","134,060","125,100","130,340","131,690",,25.2,23.1,20.1,23.5,19.7,18.9,19.6,28.8,29.6,29.6
Mississippi ,162,136,114,119,142,102,125,145,147,140,,"22,190","23,190","23,480","24,910","25,520","27,270","25,940","23,770","23,440","23,640",,7.3,5.9,4.9,4.8,5.6,3.7,4.8,6.1,6.3,5.9
Missouri,823,768,628,721,702,615,708,975,878,"1,015",,"84,150","87,200","92,260","96,420","102,170","105,390","104,310","102,300","106,930","109,650",,9.8,8.8,6.8,7.5,6.9,5.8,6.8,9.5,8.2,9.3
Montana ,121,119,101,121,110,91,73,105,96,119,,"11,450","11,390","11,940","13,010","13,240",NA,"14,210","14,620","14,960","15,360",,10.6,10.4,8.5,9.3,8.3,NA,5.1,7.2,6.4,7.7
Nebraska ,185,191,182,186,203,191,193,214,208,292,,"30,710","31,720","31,530","32,500","31,420","31,820","31,790","30,930","33,800","34,720",,6.0,6.0,5.8,5.7,6.5,6.0,6.1,6.9,6.2,8.4
Nevada ,389,410,383,386,367,375,338,540,554,752,,"22,330","23,980","24,400","26,930","26,920","27,300","27,560","26,840","28,370","27,000",,17.4,17.1,15.7,14.3,13.6,13.7,12.3,20.1,19.5,27.9
New Hampshire ,677,626,498,602,542,477,542,725,724,734,,"23,430","24,350","26,840","27,680","28,450","29,150","30,550","29,200","29,260","28,950",,28.9,25.7,18.6,21.7,19.1,16.4,17.7,24.8,24.7,25.4
New Jersey,"3,522","2,957","2,557","3,171","2,693","2,722","2,839","3,874","3,852","4,224",,"161,420","165,150","174,270","176,460","186,120","198,060","195,690","185,360","182,210","181,480",,21.8,17.9,14.7,18.0,14.5,13.7,14.5,20.9,21.1,23.3
New Mexico ,390,370,265,344,286,280,303,434,389,417,,"33,600","33,500","32,530","30,800","33,440","34,560","36,950","36,130","35,520","35,310",,11.6,11.0,8.1,11.2,8.6,8.1,8.2,12.0,11.0,11.8
New York,"6,234","5,846","4,703","5,628","5,006","4,885","5,237","7,082","6,956","7,640",,"272,440","272,930","289,010","306,810","322,520","326,510","315,480",NA,"310,510","321,480",,22.9,21.4,16.3,18.3,15.5,15.0,16.6,NA,22.4,23.8
North Carolina,"1,871","1,794","1,610","1,974","1,745","1,841","2,012","2,636","2,607","2,977",,"132,440","135,380","134,290","138,790","142,970","153,680","158,920","155,030","161,880","167,900",,14.1,13.3,12.0,14.2,12.2,12.0,12.7,17.0,16.1,17.7
North Dakota ,55,53,74,66,82,63,82,107,84,96,,"8,430","8,420","9,070","9,360","9,660","9,450","9,930","11,050","12,070","13,120",,6.5,6.3,8.2,7.1,8.5,6.7,8.3,9.7,7.0,7.3
Ohio,"3,183","2,889","2,319","2,630","2,255","2,227","2,341","3,230","3,177","3,387",,"177,100","180,360","180,900","185,190","196,390","206,320","207,930","195,840","208,140",NA,,18.0,16.0,12.8,14.2,11.5,10.8,11.3,16.5,15.3,NA
Oklahoma ,516,447,403,543,470,417,403,516,484,471,,"44,360",NA,"46,370","50,770","51,430","48,900","45,730","44,190","47,090","50,420",,11.6,NA,8.7,10.7,9.1,8.5,8.8,11.7,10.3,9.3
Oregon,"1,665","1,725","1,618","2,060","1,877","1,781","1,784","2,040","1,977","2,059",,"61,230","62,570","62,030","64,520","67,890","70,070","69,630",NA,NA,"75,780",,27.2,27.6,26.1,31.9,27.6,25.4,25.6,NA,NA,27.2
Pennsylvania,"3,182","2,883","2,298","2,842","2,500","2,414","2,656","3,351","3,219","3,483",,"185,560","195,730","204,270","214,910","218,890","227,170",NA,NA,NA,NA,,17.1,14.7,11.2,13.2,11.4,10.6,NA,NA,NA,NA
Rhode Island ,266,309,263,269,263,218,231,276,306,329,,"18,740","19,660","18,080","18,060","18,400","18,090","18,120","18,210","19,450","20,180",,14.2,15.7,14.5,14.9,14.3,12.1,12.7,15.2,15.7,16.3
South Carolina ,571,524,460,577,411,395,461,517,656,850,,"48,740","51,030","50,460","53,230","54,120","57,770","57,370","56,230","61,020","63,170",,11.7,10.3,9.1,10.8,7.6,6.8,8.0,9.2,10.8,13.5
South Dakota ,80,82,66,74,60,54,46,70,96,113,,"9,150","9,420","9,460","10,120","11,550","11,870","11,570","11,150","11,790","12,000",,8.7,8.7,7.0,7.3,5.2,4.5,4.0,6.3,8.1,9.4
Tennessee,797,681,584,669,618,586,647,925,969,930,,"63,680","65,120","66,390","67,040","70,820","72,760","68,970","71,850","77,630","79,830",,12.5,10.5,8.8,10.0,8.7,8.1,9.4,12.9,12.5,11.6
Texas,"6,029","5,930","5,260","6,308","5,733","5,712","5,934","7,545","7,584","8,367",,"365,270","383,180","389,550","408,710","441,410","463,850","470,010","451,390","469,080","493,980",,16.5,15.5,13.5,15.4,13.0,12.3,12.6,16.7,16.2,16.9
Utah,638,683,554,684,638,642,766,"1,017","1,066","1,167",,"45,570","43,030","45,110","49,690","51,340","52,570","51,270","50,830","51,350","54,720",,14.0,15.9,12.3,13.8,12.4,12.2,14.9,20.0,20.8,21.3
Vermont ,429,400,367,437,472,437,452,642,504,487,,"11,420","11,770","12,770","12,780","12,760","12,360","12,780","12,670","13,100","12,870",,37.6,34.0,28.7,34.2,37.0,35.4,35.4,50.7,38.5,37.8
Virginia,"1,110","1,077",946,"1,094","1,004","1,030","1,073","1,587","1,600","1,691",,"209,280","220,180","236,650","251,720","254,710","259,280","264,090","255,800","267,620","274,280",,5.3,4.9,4.0,4.3,3.9,4.0,4.1,6.2,6.0,6.2
Washington,"2,285","2,221","2,291","3,286","3,228","3,517","4,309","5,258","4,767","5,390",,"150,230","154,610","160,960","171,780","183,900",NA,"196,850","186,210","196,760",NA,,15.2,14.4,14.2,19.1,17.6,NA,21.9,28.2,24.2,NA
West Virginia ,139,100,91,103,106,74,92,118,94,135,,"16,220","16,100","16,040","17,150","16,560","17,000","16,350","17,070","18,300","19,900",,8.6,6.2,5.7,6.0,6.4,4.4,5.6,6.9,5.1,6.8
