Table 8-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average annual federal Small Business Innovation Research funding per $1 million of gross domestic product, by state: 1988-90  -  2010-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average SBIR funding ($thousands),,,,,,,,,,Average state GDP ($millions),,,,,,,,,,SBIR funding ($)/$1 million GDP,,,,,,,,
State,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012,,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012,,1988-90,1992-94,1996-98,2000-02,2002-2004,2004-06,2006-2008,2008-2010,2010-2012
Nebraska ,461,"1,140",899,"2,259","2,998","4,003","2,471","3,979","1,575",,"31,443","40,357","50,415","59,457","65,767","72,875","81,288","87,471","95,566",,15,28,18,38,46,55,30,45,16
Nevada ,"1,123","1,429","2,060","4,315","7,772","6,847","3,364","3,809","2,452",,"27,938","40,421","59,298","79,237","90,871","112,965","129,638","126,643","129,281",,40,35,35,54,86,61,26,30,19
New Hampshire ,"4,444","7,424","14,007","15,483","22,208","22,097","24,343","25,516","8,703",,"23,494","27,628","36,729","45,191","48,944","53,710","57,481","59,524","63,059",,189,269,381,343,454,411,423,429,138
New Jersey,"12,263","19,681","29,438","35,400","47,712","48,903","42,988","54,872","22,392",,"204,714","240,912","294,281","363,991","393,407","431,912","469,391","479,021","494,728",,60,82,100,97,121,113,92,115,45
New Mexico ,"8,815","12,716","17,584","19,955","21,965","24,172","24,776","26,548","8,918",,"24,995","37,066","46,565","52,011","58,588","67,795","74,300","76,704","79,280",,353,343,378,384,375,357,333,346,112
New York,"19,451","28,927","43,116","48,783","75,741","84,178","83,045","104,635","33,447",,"474,334","537,510","657,564","800,245","852,183","960,567","1,062,116","1,098,859","1,170,594",,41,54,66,61,89,88,78,95,29
North Carolina,"3,936","6,846","12,937","16,220","22,739","32,246","36,235","44,897","14,732",,"132,609","169,544","222,624","291,898","313,544","353,416","394,114","415,716","439,664",,30,40,58,56,73,91,92,108,34
North Dakota ,302,349,600,"1,900","1,960","1,861",918,"1,944",691,,"10,662","13,416","16,688","19,277","22,033","24,689","28,794","33,110","40,455",,28,26,36,99,89,75,32,59,17
Ohio,"9,439","15,800","37,446","50,697","67,568","79,947","73,611","73,366","30,032",,"216,846","264,062","331,296","387,195","411,939","441,713","461,850","460,927","488,446",,44,60,113,131,164,181,159,159,61
Oklahoma ,"1,328","1,185","2,446","3,718","6,630","7,918","7,104","6,855","2,065",,"55,160","65,337","79,378","95,719","105,269","121,668","141,926","147,650","154,887",,24,18,31,39,63,65,50,46,13
Oregon,"4,304","7,861","15,716","14,792","19,556","28,485","27,406","29,052","11,352",,"52,771","69,398","98,278","115,081","127,142","146,873","167,326","176,016","189,735",,82,113,160,129,154,194,164,165,60
Pennsylvania,"15,735","17,954","35,327","42,299","65,170","79,624","78,761","70,222","25,430",,"233,008","282,718","343,904","408,853","442,445","483,428","527,391","547,920","580,324",,68,64,103,103,147,165,149,128,44
Rhode Island ,694,"1,923","2,171","4,297","7,783","7,803","7,056","5,486","1,004",,"20,820","23,528","28,206","35,807","40,575","44,521","46,991","47,749","49,650",,33,82,77,120,192,175,150,115,20
South Carolina ,162,78,"1,356","5,327","7,397","6,527","4,630","7,501","3,146",,"61,278","76,689","96,831","119,951","129,895","141,925","155,340","159,773","169,075",,3,1,14,44,57,46,30,47,19
South Dakota ,102,33,854,"1,184","1,291",503,526,584,110,,"11,911","16,107","20,061","25,620","29,034","31,474","34,818","37,534","40,809",,9,2,43,46,44,16,15,16,3
Tennessee,"6,786","6,081","9,255","9,971","9,411","10,435","13,239","12,436","4,072",,"91,007","120,374","152,790","184,762","202,354","224,713","242,165","249,393","264,755",,75,51,61,54,47,46,55,50,15
Texas,"12,145","17,832","36,423","45,318","71,023","87,479","79,874","72,033","25,681",,"352,083","445,389","597,594","758,910","836,983","975,549","1,137,028","1,192,066","1,315,029",,34,40,61,60,85,90,70,60,20
Utah,"6,404","8,343","9,264","11,446","14,299","14,424","15,540","14,075","2,820",,"29,081","38,941","56,148","72,156","78,275","91,100","107,495","115,003","124,388",,220,214,165,159,183,158,145,122,23
Vermont ,878,"1,182","2,888","2,956","4,808","5,061","5,286","6,509","2,685",,"11,018","13,085","15,398","18,817","20,671","22,744","24,034","24,883","26,550",,80,90,188,157,233,223,220,262,101
Virginia,"20,765","29,821","61,600","73,712","98,902","100,614","102,923","112,216","38,430",,"136,907","167,912","211,203","277,587","309,279","353,498","387,343","408,221","434,083",,152,178,292,266,320,285,266,275,89
Washington,"9,873","12,912","24,581","30,253","46,963","49,655","47,165","42,979","13,361",,"108,585","142,591","181,962","231,714","247,384","279,152","319,661","336,341","358,496",,91,91,135,131,190,178,148,128,37
West Virginia ,132,17,661,"2,292","6,002","5,009","2,186","2,715","1,060",,"26,764","32,294","38,291","42,969","46,373","51,918","56,765","60,178","66,074",,5,1,17,53,129,96,39,45,16
Wisconsin,"1,618","4,009","8,151","11,944","17,592","21,382","25,174","28,753","12,125",,"95,024","120,811","151,601","183,712","199,081","218,761","233,769","239,582","253,437",,17,33,54,65,88,98,108,120,48
Wyoming ,33,11,"1,087","2,262","2,418","2,695","2,647","1,620",504,,"11,711","13,680","15,508","18,352","21,223","26,773","34,443","36,581","37,690",,3,1,70,123,114,101,77,44,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,117,NA,52,219,216,453,8,120,120,,NA,NA,NA,NA,"78,948",NA,"92,624",NA,NA,,NA,NA,NA,NA,3,NA,0,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
