Table 8-48,,,,,,,,,,,,,,,,,,,,,,,,,,
"Science and engineering doctorates conferred per 1,000 employed S&E doctorate holders, by state: 1993-2010",,,,,,,,,,,,,,,,,,,,,,,,,,
,S&E doctorates conferred,,,,,,,,,Employed S&E doctorate holders,,,,,,,,,"S&E doctorates conferred/1,000 employed S&E doctorate holders",,,,,,,
State,1993,1995,1997,2001,2003,2006,2008,2010,,1993,1995,1997,2001,2003,2006,2008,2010,,1993,1995,1997,2001,2003,2006,2008,2010
United States,"24,653","25,874","26,392","25,352","25,329","30,291","33,145","32,509",,"461,200","482,200","516,600","572,800","591,100","618,400","647,500","688,300",,53.5,53.7,51.1,44.3,42.9,49.0,51.2,47.2
Alabama,210,199,283,268,293,309,356,357,,"5,000","5,400","6,600","5,300","5,700","5,900","6,000","6,600",,42.0,36.9,42.9,50.6,51.4,52.4,59.3,54.1
Alaska,8,16,15,22,31,18,21,38,,"1,100","1,200","1,100","1,200","1,100","1,100","1,200","1,400",,7.3,13.3,13.6,18.3,28.2,16.4,17.5,27.1
Arizona,387,426,457,392,417,514,526,567,,"5,000","5,900","6,300","7,100","7,500","8,400","8,800","9,000",,77.4,72.2,72.5,55.2,55.6,61.2,59.8,63.0
Arkansas,58,62,68,61,74,106,120,126,,"1,800","2,100","2,300","2,600","2,800","2,800","2,400","2,900",,32.2,29.5,29.6,23.5,26.4,37.9,50.0,43.4
California,"3,446","3,707","3,352","3,664","3,768","4,365","4,800","4,589",,"60,500","63,700","70,500","80,900","86,600","87,400","95,700","102,300",,57.0,58.2,47.5,45.3,43.5,49.9,50.2,44.9
Colorado,552,558,603,511,555,546,589,611,,"8,900","9,600","10,700","11,800","12,200","13,100","13,100","14,800",,62.0,58.1,56.4,43.3,45.5,41.7,45.0,41.3
Connecticut,384,417,396,370,402,453,479,470,,"7,500","7,900","8,800","9,500","9,800","10,300","10,600","11,300",,51.2,52.8,45.0,38.9,41.0,44.0,45.2,41.6
Delaware,118,89,117,108,84,135,128,145,,"3,500","3,200","3,700","3,500","3,000","3,100","3,300","3,000",,33.7,27.8,31.6,30.9,28.0,43.5,38.8,48.3
District of Columbia,322,279,318,306,345,363,352,263,,"13,500","13,400","11,800","14,200","13,800","13,300","13,100","14,900",,23.9,20.8,26.9,21.5,25.0,27.3,26.9,17.7
Florida,683,682,768,838,943,"1,211","1,387","1,389",,"11,800","12,700","13,300","15,700","16,000","17,600","18,600","20,600",,57.9,53.7,57.7,53.4,58.9,68.8,74.6,67.4
Georgia,417,485,519,607,632,819,929,867,,"8,100","9,500","9,900","12,000","12,200","13,000","13,500","15,200",,51.5,51.1,52.4,50.6,51.8,63.0,68.8,57.0
Hawaii,124,129,139,141,105,110,152,122,,"2,400","2,300","2,500","2,600","3,000","2,800","3,200","3,000",,51.7,56.1,55.6,54.2,35.0,39.3,47.5,40.7
Idaho,45,60,58,50,69,72,78,63,,"1,900","1,700","2,000","2,200","2,500","2,800","2,800","2,800",,23.7,35.3,29.0,22.7,27.6,25.7,27.9,22.5
Illinois,"1,454","1,521","1,499","1,528","1,373","1,603","1,690","1,518",,"19,200","20,300","21,300","22,100","22,400","24,100","24,200","25,300",,75.7,74.9,70.4,69.1,61.3,66.5,69.8,60.0
Indiana,627,625,638,621,622,700,755,818,,"7,600","7,900","7,600","9,600","9,600","9,900","10,300","10,900",,82.5,79.1,83.9,64.7,64.8,70.7,73.3,75.0
Iowa,394,406,357,322,274,373,422,426,,"3,800","4,200","4,100","4,400","4,700","4,900","5,200","5,600",,103.7,96.7,87.1,73.2,58.3,76.1,81.2,76.1
Kansas,196,227,246,236,244,247,240,259,,"3,300","3,500","3,800","4,000","4,100","4,300","4,300","4,000",,59.4,64.9,64.7,59.0,59.5,57.4,55.8,64.8
Kentucky,144,175,194,174,191,254,281,263,,"3,600","3,800","4,100","4,600","4,700","5,000","4,800","5,100",,40.0,46.1,47.3,37.8,40.6,50.8,58.5,51.6
Louisiana,224,282,307,317,263,289,333,377,,"5,200","5,000","5,400","5,300","5,400","5,500","5,200","5,300",,43.1,56.4,56.9,59.8,48.7,52.5,64.0,71.1
Maine,29,28,42,30,33,27,43,36,,"1,800","2,000","2,100","2,000","2,100","2,400","2,300","2,400",,16.1,14.0,20.0,15.0,15.7,11.3,18.7,15.0
Maryland,562,533,620,604,578,791,840,817,,"18,400","19,300","21,000","22,700","25,300","26,200","28,100","29,800",,30.5,27.6,29.5,26.6,22.8,30.2,29.9,27.4
Massachusetts,"1,482","1,439","1,490","1,436","1,345","1,689","1,891","1,788",,"21,400","22,500","23,300","29,100","30,200","32,400","35,000","36,900",,69.3,64.0,63.9,49.3,44.5,52.1,54.0,48.5
Michigan,978,949,951,868,943,"1,060","1,099","1,153",,"13,000","14,300","15,100","17,400","17,100","17,900","16,700","18,000",,75.2,66.4,63.0,49.9,55.1,59.2,65.8,64.1
Minnesota,370,455,504,531,474,705,739,713,,"8,000","8,600","9,800","11,400","11,100","11,800","12,600","13,700",,46.3,52.9,51.4,46.6,42.7,59.7,58.7,52.0
Mississippi,118,157,139,115,130,142,156,200,,"2,700","2,800","3,000","3,200","3,100","3,300","3,300","3,300",,43.7,56.1,46.3,35.9,41.9,43.0,47.3,60.6
Missouri,362,427,430,412,476,512,521,495,,"8,000","8,400","9,500","9,300","9,100","9,300","10,000","10,700",,45.3,50.8,45.3,44.3,52.3,55.1,52.1,46.3
Montana,46,46,57,39,52,66,80,70,,"1,500","1,600","1,700","1,400","1,700","2,000","2,100","2,400",,30.7,28.8,33.5,27.9,30.6,33.0,38.1,29.2
Nebraska,121,119,148,131,164,136,159,191,,"2,400","2,500","3,000","2,900","2,800","3,000","2,800","3,100",,50.4,47.6,49.3,45.2,58.6,45.3,56.8,61.6
Nevada,24,54,58,50,75,93,98,126,,"1,400","1,500","1,600","2,000","2,100","2,600","2,800","3,000",,17.1,36.0,36.3,25.0,35.7,35.8,35.0,42.0
New Hampshire,113,102,117,111,122,129,149,133,,"2,000","2,000","2,200","2,500","2,600","2,500","2,900","3,000",,56.5,51.0,53.2,44.4,46.9,51.6,51.4,44.3
New Jersey,624,681,691,652,607,708,757,775,,"19,300","19,400","20,400","22,700","21,000","20,800","21,300","23,000",,32.3,35.1,33.9,28.7,28.9,34.0,35.5,33.7
New Mexico,152,166,161,134,136,181,143,168,,"6,300","6,300","7,500","7,700","8,100","8,300","7,800","8,000",,24.1,26.3,21.5,17.4,16.8,21.8,18.3,21.0
New York,"2,501","2,493","2,445","2,157","2,099","2,495","2,713","2,576",,"39,100","39,000","40,100","44,000","44,900","45,900","49,000","50,900",,64.0,63.9,61.0,49.0,46.7,54.4,55.4,50.6
North Carolina,612,655,678,665,681,805,925,987,,"12,200","12,700","13,700","16,800","17,400","18,900","20,100","20,600",,50.2,51.6,49.5,39.6,39.1,42.6,46.0,47.9
North Dakota,50,51,53,43,64,45,74,69,,"1,200","1,400","1,400","1,100","1,100","1,400","1,300","1,500",,41.7,36.4,37.9,39.1,58.2,32.1,56.9,46.0
Ohio,"1,028","1,126","1,173","1,023",937,"1,138","1,248","1,175",,"16,700","17,500","18,700","20,100","20,900","20,500","20,800","21,700",,61.6,64.3,62.7,50.9,44.8,55.5,60.0,54.1
Oklahoma,192,195,210,198,172,195,208,271,,"4,400","4,200","4,600","4,400","4,600","4,400","4,500","4,900",,43.6,46.4,45.7,45.0,37.4,44.3,46.2,55.3
Oregon,275,294,299,298,274,320,335,295,,"5,600","5,400","6,200","7,000","7,800","8,300","8,700","9,100",,49.1,54.4,48.2,42.6,35.1,38.6,38.5,32.4
