STATE OF HAWAII,,,,,,,,,,,,,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,,,,,,,,,,,,,
Annual Averages followed by Monthly Series,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Civilian Labor Force ,,,,,,,,,,,,,,,
,,,,,Percent of,,,,,,,,,,,,
,Annual,Total,Employed,Unemployed,Labor Force,,,,,,,,,,,,
,1976,"410,250","372,250","38,000",9.3,,,,,,,,,,,,
,1977,"418,500","386,150","32,400",7.7,,,,,,,,,,,,
,1978,"422,550","394,300","28,250",6.7,,,,,,,,,,,,
,1979,"430,800","406,450","24,350",5.7,,,,,,,,,,,,
,1980,"441,000","419,750","21,250",4.8,,,,,,,,,,,,
,1981,"451,750","428,500","23,200",5.1,,,,,,,,,,,,
,1982,"459,750","432,450","27,250",5.9,,,,,,,,,,,,
,1983,"471,900","444,000","27,900",5.9,,,,,,,,,,,,
,1984,"477,100","451,400","25,700",5.4,,,,,,,,,,,,
,1985,"483,850","459,400","24,400",5.0,,,,,,,,,,,,
,1986,"495,850","473,500","22,350",4.5,,,,,,,,,,,,
,1987,"511,250","492,700","18,550",3.6,,,,,,,,,,,,
,1988,"519,450","503,750","15,700",3.0,,,,,,,,,,,,
,1989,"527,750","515,250","12,550",2.4,,,,,,,,,,,,
,1990,"551,050","537,600","13,400",2.4,,,,,,,,,,,,
,1991,"563,050","547,350","15,700",2.8,,,,,,,,,,,,
,1992,"576,000","551,550","24,450",4.2,,,,,,,,,,,,
,1993,"581,750","556,350","25,400",4.4,,,,,,,,,,,,
,1994,"585,800","555,750","30,050",5.1,,,,,,,,,,,,
,1995,"589,500","557,050","32,450",5.5,,,,,,,,,,,,
,1996,"596,750","561,700","35,050",5.9,,,,,,,,,,,,
,1997,"601,650","566,750","34,900",5.8,,,,,,,,,,,,
,1998,"604,300","570,150","34,150",5.7,,,,,,,,,,,,
,1999,"606,650","576,300","30,350",5.0,,,,,,,,,,,,
,2000,"609,000","584,850","24,150",4.0,,,,,,,,,,,,
,2001,"615,250","589,200","26,050",4.2,,,,,,,,,,,,
,2002,"608,950","584,350","24,600",4.0,,,,,,,,,,,,
,2003,"616,300","592,450","23,850",3.9,,,,,,,,,,,,
,2004,"618,150","598,200","19,950",3.2,,,,,,,,,,,,
,2005,"627,100","609,850","17,250",2.8,,,,,,,,,,,,
,2006,"633,500","617,800","15,700",2.5,,,,,,,,,,,,
,2007,"637,250","620,100","17,100",2.7,,,,,,,,,,,,
,2008,"643,700","617,500","26,200",4.1,,,,,,,,,,,,
,2009(c),"636,800","593,300","43,500",6.8,,,,,,,,,,,,
,2010(c),"647,250","603,650","43,600",6.7,,,,,,,,,,,,
,2011(b),"656,450","614,050","42,450",6.5,,,,,,,,,,,,
,2012(b),"649,050","612,050","37,000",5.7,,,,,,,,,,,,
,2013(b),"648,850","617,850","30,950",4.8,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Monthly,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Jan-1976,"406,500","366,150","40,400",9.9,,,,,,,,,,,,
,Feb-1976,"404,850","364,750","40,100",9.9,,,,,,,,,,,,
,Mar-1976,"408,900","368,850","40,050",9.8,,,,,,,,,,,,
,Apr-1976,"410,000","370,950","39,000",9.5,,,,,,,,,,,,
,May-1976,"407,650","371,300","36,350",8.9,,,,,,,,,,,,
,June-1976,"413,950","372,100","41,850",10.1,,,,,,,,,,,,
,July-1976,"417,650","380,000","37,700",9.0,,,,,,,,,,,,
,Aug-1976,"414,800","376,500","38,300",9.2,,,,,,,,,,,,
,Sep-1976,"404,700","367,150","37,550",9.3,,,,,,,,,,,,
,Oct-1976,"408,600","371,950","36,700",9.0,,,,,,,,,,,,
,Nov-1976,"413,900","377,800","36,100",8.7,,,,,,,,,,,,
,Dec-1976,"411,400","379,700","31,750",7.7,,,,,,,,,,,,
,Jan-1977,"415,650","380,300","35,350",8.5,,,,,,,,,,,,
,Feb-1977,"413,250","379,400","33,850",8.2,,,,,,,,,,,,
,Mar-1977,"415,800","383,300","32,550",7.8,,,,,,,,,,,,
,Apr-1977,"415,500","385,350","30,150",7.3,,,,,,,,,,,,
,May-1977,"414,750","385,600","29,150",7.0,,,,,,,,,,,,
,June-1977,"424,400","388,000","36,400",8.6,,,,,,,,,,,,
,July-1977,"424,550","393,000","31,550",7.4,,,,,,,,,,,,
,Aug-1977,"419,200","388,400","30,800",7.3,,,,,,,,,,,,
,Sep-1977,"412,900","380,700","32,250",7.8,,,,,,,,,,,,
,Oct-1977,"419,250","385,350","33,900",8.1,,,,,,,,,,,,
,Nov-1977,"425,350","391,200","34,150",8.0,,,,,,,,,,,,
,Dec-1977,"421,600","392,950","28,650",6.8,,,,,,,,,,,,
,Jan-1978,"420,600","391,150","29,450",7.0,,,,,,,,,,,,
,Feb-1978,"417,050","389,100","28,000",6.7,,,,,,,,,,,,
,Mar-1978,"418,600","390,550","28,100",6.7,,,,,,,,,,,,
,Apr-1978,"419,250","392,650","26,600",6.3,,,,,,,,,,,,
,May-1978,"418,300","391,300","27,000",6.5,,,,,,,,,,,,
,June-1978,"427,250","394,800","32,450",7.6,,,,,,,,,,,,
,July-1978,"430,150","399,800","30,350",7.1,,,,,,,,,,,,
,Aug-1978,"425,150","396,750","28,400",6.7,,,,,,,,,,,,
,Sep-1978,"418,850","389,450","29,450",7.0,,,,,,,,,,,,
,Oct-1978,"422,800","394,450","28,350",6.7,,,,,,,,,,,,
,Nov-1978,"427,700","400,950","26,750",6.3,,,,,,,,,,,,
,Dec-1978,"425,000","400,850","24,100",5.7,,,,,,,,,,,,
,Jan-1979,"426,250","400,750","25,500",6.0,,,,,,,,,,,,
,Feb-1979,"424,750","400,800","23,900",5.6,,,,,,,,,,,,
,Mar-1979,"426,850","403,650","23,200",5.4,,,,,,,,,,,,
,Apr-1979,"427,250","402,650","24,600",5.8,,,,,,,,,,,,
,May-1979,"427,450","402,950","24,500",5.7,,,,,,,,,,,,
,June-1979,"434,750","405,100","29,650",6.8,,,,,,,,,,,,
,July-1979,"438,050","412,800","25,250",5.8,,,,,,,,,,,,
,Aug-1979,"433,900","409,300","24,600",5.7,,,,,,,,,,,,
,Sep-1979,"428,100","404,850","23,250",5.4,,,,,,,,,,,,
,Oct-1979,"430,900","406,800","24,100",5.6,,,,,,,,,,,,
,Nov-1979,"436,700","411,850","24,850",5.7,,,,,,,,,,,,
,Dec-1979,"434,800","415,900","18,900",4.3,,,,,,,,,,,,
,Jan-1980,"438,600","418,300","20,300",4.6,,,,,,,,,,,,
,Feb-1980,"435,950","417,100","18,850",4.3,,,,,,,,,,,,
,Mar-1980,"436,650","417,950","18,700",4.3,,,,,,,,,,,,
,Apr-1980,"438,200","418,450","19,750",4.5,,,,,,,,,,,,
,May-1980,"438,200","417,750","20,450",4.7,,,,,,,,,,,,
,June-1980,"443,400","417,950","25,450",5.7,,,,,,,,,,,,
,July-1980,"447,200","424,650","22,550",5.0,,,,,,,,,,,,
,Aug-1980,"442,900","420,800","22,100",5.0,,,,,,,,,,,,
,Sep-1980,"438,200","415,050","23,150",5.3,,,,,,,,,,,,
,Oct-1980,"442,050","419,150","22,850",5.2,,,,,,,,,,,,
,Nov-1980,"446,900","424,900","22,000",4.9,,,,,,,,,,,,
,Dec-1980,"443,850","425,000","18,850",4.2,,,,,,,,,,,,
,Jan-1981,"447,850","425,300","22,550",5.0,,,,,,,,,,,,
