Table 8-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal R&D obligations per employed worker, by state: 1990–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Federal R&D obligations ($thousands),,,,,,,,,,,,,,,,,,,,,,,Employed workers,,,,,,,,,,,,,,,,,,,,,,,Federal R&D obligations/ employed worker ($),,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"2,074,560","2,125,645","1,794,428","2,566,507","1,983,386","2,394,246","1,921,246","1,893,723","1,886,497","1,907,139","2,396,146","2,772,116","3,244,975","3,989,278","3,731,084","3,677,377","3,227,533","3,359,930","3,279,378","4,114,322","4,963,404","4,528,148",,"5,510,009","5,437,439","5,455,450","5,504,269","5,529,551","5,554,303","5,662,126","5,775,178","5,787,593","5,809,824","5,830,902","5,874,153","5,869,224","5,795,701","5,859,561","5,958,238","6,021,084","6,054,127","6,104,883","5,898,301","5,854,537","5,892,519",,377,391,329,466,359,431,339,328,326,328,411,472,553,688,637,617,536,555,537,698,848,768
Rhode Island ,"391,133","433,843","386,339","495,591","433,825","514,632","583,158","403,844","385,759","391,717","418,037","437,455","501,504","565,592","642,064","888,779","615,902","627,776","643,721","678,416","669,846","612,766",,"493,674","480,591","483,329","484,965","480,669","477,409","489,929","504,147","509,551","518,848","520,758","520,677","525,721","533,265","526,046","532,961","543,973","544,437","527,632","504,616","505,131","499,481",,792,903,799,"1,022",903,"1,078","1,190",801,757,755,803,840,954,"1,061","1,221","1,668","1,132","1,153","1,220","1,344","1,326","1,227"
South Carolina ,"230,851","250,369","172,130","173,173","198,537","173,217","186,659","166,607","188,704","215,941","249,938","314,287","371,006","454,018","384,307","492,735","370,562","421,688","453,003","650,396","662,206","515,713",,"1,638,580","1,653,770","1,673,620","1,696,068","1,729,363","1,754,633","1,785,646","1,819,508","1,849,075","1,876,895","1,917,365","1,834,871","1,826,240","1,854,419","1,888,050","1,922,367","1,970,912","2,010,252","1,998,368","1,908,839","1,917,747","1,941,654",,141,151,103,102,115,99,105,92,102,115,130,171,203,245,204,256,188,210,227,341,345,266
South Dakota ,"15,730","22,516","23,886","26,896","26,481","26,501","35,041","41,955","46,003","38,951","38,803","54,941","58,679","54,788","70,036","69,982","75,926","61,925","76,379","79,317","74,962","61,931",,"337,503","341,025","345,996","352,666","364,452","373,515","379,222","383,216","389,748","394,898","397,678","400,352","402,397","408,089","411,708","413,819","421,799","426,763","429,395","420,278","420,171","422,696",,47,66,69,76,73,71,92,109,118,99,98,137,146,134,170,169,180,145,178,189,178,147
Tennessee,"824,964","732,230","666,025","674,420","671,291","582,499","558,572","566,242","621,184","684,712","824,300","1,039,488","1,157,221","1,130,563","1,381,987","1,425,989","1,455,622","1,907,931","1,689,925","2,021,066","2,104,843","2,213,857",,"2,269,015","2,265,985","2,316,661","2,391,568","2,511,085","2,574,000","2,610,975","2,640,005","2,685,151","2,722,124","2,756,498","2,728,523","2,714,992","2,731,371","2,746,241","2,778,489","2,852,509","2,901,754","2,854,034","2,713,058","2,777,213","2,828,617",,364,323,287,282,267,226,214,214,231,252,299,381,426,414,503,513,510,658,592,745,758,783
Texas,"3,496,785","2,321,396","2,872,956","2,546,214","3,654,279","4,068,928","3,493,457","3,640,162","4,112,458","3,853,339","3,021,013","3,189,399","3,553,852","5,414,373","5,506,721","5,187,008","5,263,822","6,692,848","5,029,588","5,757,066","6,896,125","5,904,027",,"8,041,859","8,139,722","8,307,176","8,543,207","8,778,660","8,985,635","9,175,983","9,395,279","9,600,982","9,766,299","9,896,002","9,991,920","10,115,299","10,228,640","10,385,318","10,551,547","10,757,510","10,914,098","11,076,376","11,070,143","11,273,239","11,493,519",,435,285,346,298,416,453,381,387,428,395,305,319,351,529,530,492,489,613,454,520,612,514
Utah,"437,693","429,097","313,996","298,829","324,888","368,829","351,719","319,851","393,350","305,019","305,980","421,569","457,925","803,382","1,183,694","1,058,179","737,850","991,251","699,928","975,971","1,708,887","1,757,902",,"784,050","810,806","845,398","892,956","945,389","979,367","1,004,347","1,034,429","1,061,282","1,080,441","1,097,915","1,108,547","1,113,645","1,139,129","1,179,142","1,230,451","1,285,389","1,329,174","1,330,369","1,275,514","1,252,466","1,254,151",,558,529,371,335,344,377,350,309,371,282,279,380,411,705,"1,004",860,574,746,526,765,"1,364","1,402"
Vermont ,"42,471","56,096","51,314","62,143","48,465","52,950","47,089","49,885","57,656","61,707","72,030","112,704","136,374","201,149","417,091","262,601","105,544","108,366","120,985","151,375","142,251","125,857",,"294,074","288,280","292,288","298,277","301,836","305,279","309,653","315,806","321,608","325,581","326,742","330,099","331,763","331,292","334,188","336,583","343,149","341,282","341,692","335,132","337,049","338,632",,144,195,176,208,161,173,152,158,179,190,220,341,411,607,"1,248",780,308,318,354,452,422,372
Virginia,"2,733,490","2,908,999","3,231,339","3,402,556","3,726,871","3,392,184","4,576,317","4,849,753","4,671,236","5,750,372","4,961,535","4,995,665","6,175,919","6,709,197","7,298,269","8,746,472","8,882,441","9,088,208","9,282,197","9,080,175","9,111,678","8,637,382",,"3,076,925","3,103,294","3,146,997","3,195,680","3,265,139","3,317,434","3,252,499","3,323,266","3,384,653","3,441,589","3,502,524","3,537,719","3,588,079","3,647,095","3,715,272","3,783,813","3,862,508","3,894,111","3,974,624","3,842,447","3,840,619","3,928,267",,888,937,"1,027","1,065","1,141","1,023","1,407","1,459","1,380","1,671","1,417","1,412","1,721","1,840","1,964","2,312","2,300","2,334","2,335","2,363","2,372","2,199"
Washington,"1,566,979","1,241,102","900,492","878,074","963,816","1,131,625","1,152,903","1,226,154","1,246,867","1,306,757","1,345,649","1,725,258","2,023,273","2,442,177","2,311,260","2,641,154","4,039,292","4,751,106","4,339,544","4,042,324","3,915,467","4,980,150",,"2,406,444","2,383,588","2,445,866","2,500,782","2,566,663","2,636,011","2,711,963","2,822,223","2,886,871","2,917,577","2,898,677","2,863,705","2,877,022","2,913,230","2,999,526","3,075,972","3,155,384","3,232,652","3,284,836","3,194,251","3,166,880","3,161,818",,651,521,368,351,376,429,425,434,432,448,464,602,703,838,771,859,"1,280","1,470","1,321","1,265","1,236","1,575"
West Virginia ,"116,585","177,928","166,380","206,208","212,864","287,939","254,384","193,061","243,344","227,023","235,677","376,105","254,239","383,400","315,693","807,540","301,416","219,100","224,575","260,855","312,779","261,253",,"691,184","688,512","689,628","696,784","712,664","723,904","735,710","746,442","754,629","762,395","764,649","758,904","749,164","742,424","746,854","763,696","777,210","774,412","769,443","745,150","737,115","740,175",,169,258,241,296,299,398,346,259,322,298,308,496,339,516,423,"1,057",388,283,292,350,424,353
Wisconsin,"271,713","294,511","307,651","350,775","358,252","338,475","331,373","332,214","332,956","377,801","420,839","487,948","595,516","658,448","645,875","651,821","635,645","671,413","660,915","882,636","795,573","752,236",,"2,486,129","2,499,353","2,556,294","2,628,814","2,713,392","2,773,640","2,815,599","2,855,830","2,869,982","2,879,024","2,894,884","2,897,937","2,860,915","2,862,587","2,868,376","2,890,117","2,932,482","2,948,725","2,941,323","2,843,857","2,820,453","2,832,826",,109,118,120,133,132,122,118,116,116,131,145,168,208,230,225,226,217,228,225,310,282,266
Wyoming ,"57,363","29,763","41,369","48,234","36,753","35,403","37,477","28,368","33,549","35,219","35,059","36,986","39,585","42,979","47,596","37,538","36,169","36,583","47,358","64,151","36,720","37,709",,"223,531","223,192","224,562","229,177","236,885","240,846","241,560","243,944","247,748","251,828","256,685","259,508","258,462","259,489","262,358","267,927","276,882","282,417","286,991","281,106","280,903","284,893",,257,133,184,210,155,147,155,116,135,140,137,143,153,166,181,140,131,130,165,228,131,132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,NA,NA,NA,NA,"50,502","46,695","51,614","58,943","65,733","72,709","81,016","90,790","135,294","112,225","100,904","101,433","98,790","85,850","84,929","96,101","94,795","98,891",,"971,815","981,845","991,960","1,010,431","1,032,283","1,076,473","1,111,538","1,132,658","1,136,060","1,142,466","1,162,153","1,133,988","1,169,760","1,200,322","1,226,251","1,250,335","1,260,703","1,232,266","1,187,398","1,101,862","1,061,519","1,032,765",,NA,NA,NA,NA,49,43,46,52,58,64,70,80,116,93,82,81,78,70,72,87,89,96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
