Table 8-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal R&D obligations per employed worker, by state: 1990–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Federal R&D obligations ($thousands),,,,,,,,,,,,,,,,,,,,,,,Employed workers,,,,,,,,,,,,,,,,,,,,,,,Federal R&D obligations/ employed worker ($),,,,,,,,,,,,,,,,,,,,,
District of Columbia,"1,593,071","1,943,712","2,185,196","2,488,783","2,483,607","2,755,369","2,574,139","2,232,284","2,229,794","2,451,606","2,443,108","2,775,973","3,145,586","2,985,543","3,329,397","4,161,778","4,091,852","4,277,707","17,537,244","4,201,784","3,890,121","3,244,864",,"311,838","297,828","290,103","287,731","285,207","273,764","265,734","262,789","270,242","288,016","291,916","286,649","284,615","285,361","288,397","298,611","303,791","307,920","311,905","302,687","310,842","312,859",,"5,109","6,526","7,532","8,650","8,708","10,065","9,687","8,495","8,251","8,512","8,369","9,684","11,052","10,462","11,544","13,937","13,469","13,892","56,226","13,882","12,515","10,372"
Florida,"2,343,430","2,181,144","2,832,290","2,775,255","2,906,709","2,391,836","2,957,866","3,326,418","2,754,904","2,284,405","2,286,464","2,774,006","2,542,044","2,854,088","3,265,014","2,590,033","2,319,079","4,078,193","2,290,401","3,229,774","3,142,237","2,572,256",,"6,060,994","6,055,255","6,133,417","6,298,142","6,501,689","6,650,064","6,822,517","7,040,660","7,232,345","7,401,659","7,569,406","7,624,718","7,662,511","7,785,547","7,998,202","8,305,281","8,584,095","8,839,027","8,637,200","8,152,332","8,141,447","8,322,237",,387,360,462,441,447,360,434,472,381,309,302,364,332,367,408,312,270,461,265,396,386,309
Georgia,"364,102","466,521","2,512,567","3,035,313","5,546,365","4,366,021","4,137,785","3,919,868","3,443,943","2,023,240","2,654,039","3,438,270","2,228,988","2,133,046","1,906,523","2,181,847","1,251,445","1,686,209","1,386,021","1,705,699","1,519,954","1,467,224",,"3,129,389","3,132,596","3,182,777","3,278,794","3,412,606","3,522,905","3,638,219","3,751,699","3,861,646","3,951,684","4,095,362","4,112,868","4,135,381","4,173,787","4,249,007","4,375,178","4,500,150","4,587,739","4,540,706","4,289,819","4,241,718","4,295,113",,116,149,789,926,"1,625","1,239","1,137","1,045",892,512,648,836,539,511,449,499,278,368,305,398,358,342
Hawaii ,"99,980","112,594","150,654","113,005","140,305","139,291","147,574","150,722","164,525","198,808","234,291","435,685","428,262","413,945","488,209","600,260","340,094","379,219","347,753","378,655","389,447","426,895",,"537,620","547,351","551,563","556,331","555,749","557,042","561,683","566,766","570,152","576,314","584,858","589,216","584,354","592,469","598,175","609,835","617,807","620,107","617,496","593,514","603,894","614,824",,186,206,273,203,252,250,263,266,289,345,401,739,733,699,816,984,550,612,563,638,645,694
Idaho ,"326,071","279,091","299,457","303,689","227,773","210,964","244,579","205,660","212,747","200,672","217,349","209,344","235,469","217,820","288,538","290,256","297,094","287,474","355,408","383,946","478,995","461,143",,"467,102","476,531","493,767","516,307","552,354","567,558","581,191","598,004","614,748","620,962","632,451","644,816","646,142","652,161","666,080","695,428","718,077","727,728","721,370","695,476","694,976","702,920",,698,586,606,588,412,372,421,344,346,323,344,325,364,334,433,417,414,395,493,552,689,656
Illinois,"957,190","959,374","921,924","963,774","1,088,601","1,107,430","1,094,284","1,140,163","1,160,119","1,316,085","1,496,751","1,825,057","1,728,600","1,934,661","1,880,072","2,127,824","1,975,552","2,145,050","2,168,530","2,705,181","2,631,274","2,993,498",,"5,560,548","5,493,554","5,546,722","5,625,103","5,766,671","5,857,677","5,907,278","5,988,296","6,047,050","6,143,130","6,176,837","6,113,536","5,969,393","5,916,830","5,968,561","6,033,421","6,225,095","6,322,029","6,248,336","5,937,296","5,925,554","5,942,809",,172,175,166,171,189,189,185,190,192,214,242,299,290,327,315,353,317,339,347,456,444,504
Indiana,"363,620","378,703","367,003","513,647","403,611","426,330","439,766","410,398","377,735","413,864","512,847","568,761","537,582","573,693","556,743","566,818","559,860","596,645","672,029","1,052,155","988,688","909,639",,"2,688,858","2,657,957","2,703,403","2,800,739","2,911,781","2,977,440","2,982,750","3,014,499","3,033,444","3,046,922","3,052,719","3,020,985","3,002,515","2,997,847","2,997,800","3,032,108","3,080,047","3,081,532","3,057,140","2,869,556","2,843,268","2,874,722",,135,142,136,183,139,143,147,136,125,136,168,188,179,191,186,187,182,194,220,367,348,316
Iowa,"186,744","209,833","194,674","215,777","223,823","212,096","213,370","228,180","235,818","264,060","275,560","361,455","463,444","499,484","538,270","487,663","497,173","662,401","634,853","649,053","909,096","702,407",,"1,393,302","1,408,730","1,441,414","1,480,417","1,510,253","1,527,972","1,551,200","1,555,837","1,556,479","1,560,848","1,557,081","1,568,638","1,567,836","1,537,341","1,534,991","1,557,545","1,595,136","1,603,626","1,609,381","1,573,085","1,566,307","1,562,156",,134,149,135,146,148,139,138,147,152,169,177,230,296,325,351,313,312,413,394,413,580,450
Kansas ,"116,394","83,647","91,235","87,858","84,823","120,388","212,035","255,490","154,775","191,603","224,013","306,656","290,516","268,669","287,446","357,797","212,152","317,801","300,406","400,445","347,529","372,210",,"1,215,102","1,225,007","1,244,438","1,257,847","1,279,098","1,296,202","1,311,843","1,329,797","1,348,793","1,359,908","1,351,988","1,347,715","1,350,960","1,364,787","1,381,343","1,390,292","1,403,938","1,411,384","1,415,915","1,400,319","1,398,046","1,401,055",,96,68,73,70,66,93,162,192,115,141,166,228,215,197,208,257,151,225,212,286,249,266
Kentucky ,"96,494","122,406","71,706","86,668","90,125","73,079","78,597","91,291","216,657","146,845","253,526","370,384","321,535","246,664","251,763","296,308","239,141","222,172","252,464","318,399","287,437","246,577",,"1,640,875","1,639,343","1,658,511","1,689,100","1,729,483","1,757,111","1,777,259","1,809,785","1,832,775","1,854,270","1,866,348","1,852,056","1,838,495","1,848,059","1,854,703","1,875,512","1,904,467","1,923,728","1,907,036","1,848,505","1,854,279","1,875,447",,59,75,43,51,52,42,44,50,118,79,136,200,175,133,136,158,126,115,132,172,155,131
