HAWAII COUNTY,,,,,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,,,,,
Annual Averages followed by Monthly Series,,,,,,,,,
,,,,,,,,,
,,Civilian Labor Force ,,,,,,,
,,,,,Percent of,,,,
,Annual,Total,Employed,Unemployed,Labor Force,,,,
,1990,"58,350","56,300","2,050",3.5,,,,
,1991,"62,600","59,750","2,850",4.5,,,,
,1992,"64,250","59,450","4,850",7.5,,,,
,1993,"64,850","59,900","4,950",7.6,,,,
,1994,"65,500","59,400","6,050",9.2,,,,
,1995,"65,400","59,100","6,300",9.6,,,,
,1996,"67,400","61,200","6,200",9.2,,,,
,1997,"69,300","62,900","6,450",9.3,,,,
,1998,"69,500","63,400","6,100",8.7,,,,
,1999,"70,750","65,250","5,550",7.8,,,,
,2000,"74,200","70,750","3,500",4.7,,,,
,2001,"76,300","72,500","3,800",5.0,,,,
,2002,"76,450","72,950","3,500",4.6,,,,
,2003,"78,400","74,750","3,650",4.6,,,,
,2004,"79,250","76,200","3,050",3.9,,,,
,2005,"80,750","78,100","2,700",3.3,,,,
,2006,"83,200","80,700","2,450",3.0,,,,
,2007,"84,600","81,700","2,900",3.4,,,,
,2008,"85,350","80,500","4,850",5.7,,,,
,2009(c),"84,450","76,200","8,250",9.7,,,,
,2010(b),"83,650","75,300","8,300",9.9,,,,
,2011(b),"86,300","78,000","8,250",9.6,,,,
,2012(b),"82,900","76,150","6,800",8.2,,,,
,2013(b),"82,150","76,600","5,550",6.8,,,,
,2014,,,,,,,,
,,,,,,,,,
,Monthly,,,,,,,,
,,,,,,,,,
,Jan-1990,"57,150","55,200","1,900",3.4,,,,
,Feb-1990,"56,750","54,850","1,950",3.4,,,,
,Mar-1990,"56,850","54,750","2,150",3.7,,,,
,Apr-1990,"58,000","55,550","2,450",4.2,,,,
,May-1990,"58,250","55,750","2,500",4.3,,,,
,June-1990,"59,000","56,350","2,650",4.5,,,,
,July-1990,"60,250","57,950","2,350",3.9,,,,
,Aug-1990,"59,600","57,650","1,950",3.3,,,,
,Sep-1990,"58,350","56,250","2,100",3.6,,,,
,Oct-1990,"58,000","56,350","1,650",2.8,,,,
,Nov-1990,"58,900","57,350","1,550",2.7,,,,
,Dec-1990,"59,100","57,700","1,400",2.3,,,,
,Jan-1991,"60,850","58,700","2,150",3.5,,,,
,Feb-1991,"60,550","58,500","2,050",3.4,,,,
,Mar-1991,"61,000","58,600","2,400",4.0,,,,
,Apr-1991,"61,800","59,100","2,700",4.4,,,,
,May-1991,"62,150","59,550","2,600",4.2,,,,
,June-1991,"63,950","60,200","3,750",5.8,,,,
,July-1991,"65,200","61,900","3,300",5.1,,,,
,Aug-1991,"63,950","60,800","3,150",4.9,,,,
,Sep-1991,"63,550","60,250","3,350",5.3,,,,
,Oct-1991,"62,650","59,900","2,750",4.4,,,,
,Nov-1991,"62,850","59,950","2,900",4.6,,,,
,Dec-1991,"62,700","59,750","2,950",4.7,,,,
,Jan-1992,"63,400","59,700","3,700",5.9,,,,
,Feb-1992,"62,950","59,150","3,800",6.1,,,,
,Mar-1992,"63,550","59,200","4,300",6.8,,,,
,Apr-1992,"64,000","59,250","4,750",7.5,,,,
,May-1992,"64,450","59,350","5,100",7.9,,,,
,June-1992,"66,000","59,400","6,600",10.0,,,,
,July-1992,"66,750","60,400","6,400",9.6,,,,
,Aug-1992,"65,650","59,800","5,850",8.9,,,,
,Sep-1992,"64,250","59,000","5,250",8.1,,,,
,Oct-1992,"63,050","59,000","4,050",6.4,,,,
,Nov-1992,"63,800","59,550","4,200",6.6,,,,
,Dec-1992,"63,300","59,300","4,000",6.3,,,,
,Jan-1993,"65,000","60,150","4,850",7.4,,,,
,Feb-1993,"64,500","59,850","4,650",7.2,,,,
,Mar-1993,"64,650","59,700","4,950",7.6,,,,
,Apr-1993,"64,350","59,350","5,050",7.8,,,,
,May-1993,"64,650","59,300","5,350",8.3,,,,
,June-1993,"65,600","59,350","6,200",9.5,,,,
,July-1993,"66,750","61,250","5,500",8.2,,,,
,Aug-1993,"65,650","60,700","4,900",7.5,,,,
,Sep-1993,"63,900","59,150","4,750",7.4,,,,
,Oct-1993,"64,250","59,950","4,300",6.7,,,,
,Nov-1993,"65,000","60,400","4,600",7.1,,,,
,Dec-1993,"64,100","59,950","4,150",6.5,,,,
,Jan-1994,"65,500","60,300","5,200",8.0,,,,
,Feb-1994,"64,600","59,450","5,100",7.9,,,,
,Mar-1994,"64,400","58,950","5,450",8.5,,,,
,Apr-1994,"64,800","59,350","5,450",8.4,,,,
,May-1994,"64,950","59,400","5,600",8.6,,,,
,June-1994,"66,350","59,300","7,050",10.6,,,,
,July-1994,"68,200","60,950","7,250",10.6,,,,
,Aug-1994,"66,700","59,900","6,800",10.2,,,,
,Sep-1994,"65,900","59,000","6,900",10.5,,,,
,Oct-1994,"64,750","58,550","6,200",9.6,,,,
,Nov-1994,"65,050","58,900","6,150",9.4,,,,
,Dec-1994,"64,500","59,100","5,450",8.4,,,,
,Jan-1995,"65,150","59,250","5,900",9.0,,,,
,Feb-1995,"64,200","58,850","5,350",8.3,,,,
,Mar-1995,"64,550","58,900","5,650",8.8,,,,
,Apr-1995,"65,100","59,150","6,000",9.2,,,,
,May-1995,"64,950","58,650","6,300",9.7,,,,
,June-1995,"66,150","58,450","7,700",11.7,,,,
,July-1995,"67,750","60,000","7,800",11.5,,,,
,Aug-1995,"66,700","59,250","7,500",11.2,,,,
,Sep-1995,"65,000","58,450","6,600",10.1,,,,
,Oct-1995,"65,150","59,300","5,850",9.0,,,,
,Nov-1995,"65,100","59,500","5,600",8.6,,,,
,Dec-1995,"64,900","59,750","5,150",7.9,,,,
,Jan-1996,"65,800","59,800","6,000",9.2,,,,
,Feb-1996,"65,400","59,950","5,400",8.3,,,,
,Mar-1996,"66,350","60,350","6,000",9.0,,,,
,Apr-1996,"66,950","60,700","6,250",9.3,,,,
,May-1996,"66,750","60,550","6,200",9.3,,,,
,June-1996,"67,900","60,750","7,150",10.5,,,,
,July-1996,"69,500","62,050","7,450",10.7,,,,
,Aug-1996,"68,750","61,950","6,800",9.9,,,,
,Sep-1996,"67,100","61,100","6,000",8.9,,,,
,Oct-1996,"67,500","61,850","5,600",8.3,,,,
,Nov-1996,"67,950","62,250","5,750",8.5,,,,
,Dec-1996,"68,750","63,200","5,550",8.1,,,,
,Jan-1997,"69,600","63,950","5,700",8.2,,,,
,Feb-1997,"68,750","63,000","5,700",8.3,,,,
,Mar-1997,"69,450","63,250","6,150",8.9,,,,
,Apr-1997,"68,200","62,250","5,950",8.7,,,,
,May-1997,"68,350","61,650","6,650",9.7,,,,
,June-1997,"69,400","61,150","8,250",11.9,,,,
,July-1997,"71,750","63,900","7,900",11.0,,,,
,Aug-1997,"70,800","63,500","7,300",10.3,,,,
,Sep-1997,"69,100","62,350","6,750",9.8,,,,
,Oct-1997,"68,600","62,750","5,850",8.5,,,,
,Nov-1997,"68,800","63,200","5,600",8.1,,,,
,Dec-1997,"68,900","63,600","5,300",7.7,,,,
,Jan-1998,"69,150","63,800","5,350",7.7,,,,
,Feb-1998,"68,550","63,150","5,400",7.9,,,,
,Mar-1998,"69,050","63,100","5,950",8.6,,,,
,Apr-1998,"68,600","63,200","5,400",7.9,,,,
,May-1998,"69,500","63,150","6,400",9.2,,,,
,June-1998,"70,400","62,550","7,900",11.2,,,,
,July-1998,"71,600","64,300","7,300",10.2,,,,
,Aug-1998,"70,650","63,800","6,850",9.7,,,,
,Sep-1998,"69,150","62,800","6,350",9.1,,,,
