HONOLULU MSA,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force ,,,
,,,,,Percent of
,Annual,Total,Employed,Unemployed,Labor Force
,1990,"409,250","401,250","8,000",2.0
,1991,"412,000","403,600","8,450",2.0
,1992,"418,000","406,400","11,600",2.8
,1993,"423,200","409,900","13,300",3.1
,1994,"425,450","408,750","16,700",3.9
,1995,"428,000","409,550","18,450",4.3
,1996,"432,000","411,000","21,000",4.9
,1997,"433,600","412,800","20,750",4.8
,1998,"434,700","413,600","21,100",4.9
,1999,"433,350","414,300","19,050",4.4
,2000,"433,100","416,450","16,700",3.9
,2001,"435,300","417,500","17,800",4.1
,2002,"429,800","412,900","16,950",3.9
,2003,"433,750","417,500","16,250",3.7
,2004,"433,050","419,500","13,550",3.1
,2005,"439,400","427,650","11,750",2.7
,2006,"441,500","430,850","10,650",2.4
,2007,"441,750","430,550","11,200",2.5
,2008,"446,800","430,600","16,250",3.6
,2009(c),"443,550","418,000","25,550",5.8
,2010(b),"454,000","428,100","25,900",5.7
,2011(b),"458,750","433,400","25,350",5.5
,2012(b),"455,950","432,850","23,050",5.1
,2013(b),"456,800","437,250","19,550",4.3
,2014,,,,
,,,,,
,Monthly,,,,
,,,,,
,Jan-1990,"406,500","398,450","8,000",2.0
,Feb-1990,"406,350","399,200","7,150",1.8
,Mar-1990,"409,550","402,100","7,450",1.8
,Apr-1990,"410,100","402,450","7,650",1.9
,May-1990,"411,100","403,200","7,850",1.9
,June-1990,"413,400","403,400","10,000",2.4
,July-1990,"414,650","406,050","8,600",2.1
,Aug-1990,"412,000","403,900","8,100",2.0
,Sep-1990,"401,150","391,900","9,200",2.3
,Oct-1990,"405,500","397,850","7,650",1.9
,Nov-1990,"410,200","401,850","8,350",2.0
,Dec-1990,"410,800","404,650","6,150",1.5
,Jan-1991,"409,450","402,000","7,450",1.8
,Feb-1991,"410,750","403,250","7,500",1.8
,Mar-1991,"413,750","404,700","9,050",2.2
,Apr-1991,"414,650","406,750","7,850",1.9
,May-1991,"411,300","403,600","7,650",1.9
,June-1991,"416,450","406,450","10,000",2.4
,July-1991,"416,150","407,400","8,750",2.1
,Aug-1991,"410,200","402,050","8,150",2.0
,Sep-1991,"407,450","397,900","9,600",2.4
,Oct-1991,"408,450","400,250","8,200",2.0
,Nov-1991,"412,450","403,850","8,600",2.1
,Dec-1991,"413,200","404,850","8,350",2.0
,Jan-1992,"413,050","403,550","9,550",2.3
,Feb-1992,"413,900","403,550","10,350",2.5
,Mar-1992,"416,300","405,400","10,900",2.6
,Apr-1992,"416,000","406,000","10,000",2.4
,May-1992,"416,550","405,100","11,450",2.7
,June-1992,"420,100","406,300","13,850",3.3
,July-1992,"422,500","409,650","12,850",3.0
,Aug-1992,"419,200","406,400","12,850",3.1
,Sep-1992,"414,150","401,350","12,800",3.1
,Oct-1992,"417,350","406,000","11,350",2.7
,Nov-1992,"422,650","410,450","12,200",2.9
,Dec-1992,"424,300","412,950","11,350",2.7
,Jan-1993,"421,450","408,800","12,650",3.0
,Feb-1993,"421,550","408,850","12,700",3.0
,Mar-1993,"423,000","409,850","13,150",3.1
,Apr-1993,"422,550","410,300","12,250",2.9
,May-1993,"424,150","411,800","12,350",2.9
,June-1993,"426,900","412,000","14,950",3.5
,July-1993,"426,500","412,550","13,950",3.3
,Aug-1993,"423,350","409,850","13,500",3.2
,Sep-1993,"417,600","403,850","13,800",3.3
,Oct-1993,"420,600","407,350","13,250",3.2
,Nov-1993,"424,400","410,550","13,850",3.3
,Dec-1993,"426,300","413,000","13,300",3.1
,Jan-1994,"425,750","409,900","15,850",3.7
,Feb-1994,"425,550","409,700","15,850",3.7
,Mar-1994,"425,450","408,850","16,600",3.9
,Apr-1994,"426,900","410,400","16,500",3.9
,May-1994,"426,300","410,100","16,200",3.8
,June-1994,"426,600","408,200","18,400",4.3
,July-1994,"426,450","407,800","18,650",4.4
,Aug-1994,"424,450","406,300","18,150",4.3
,Sep-1994,"419,750","401,850","17,900",4.3
,Oct-1994,"423,450","406,950","16,500",3.9
,Nov-1994,"427,300","411,700","15,650",3.7
,Dec-1994,"427,350","413,500","13,800",3.2
,Jan-1995,"425,450","409,650","15,800",3.7
,Feb-1995,"426,350","411,150","15,200",3.6
,Mar-1995,"429,000","412,700","16,300",3.8
,Apr-1995,"431,150","413,150","18,000",4.2
,May-1995,"429,750","411,300","18,400",4.3
,June-1995,"430,350","409,650","20,650",4.8
,July-1995,"432,050","411,300","20,700",4.8
,Aug-1995,"427,550","407,150","20,400",4.8
,Sep-1995,"422,650","401,850","20,750",4.9
,Oct-1995,"425,600","406,250","19,350",4.5
,Nov-1995,"428,000","409,650","18,350",4.3
,Dec-1995,"428,000","410,650","17,350",4.1
,Jan-1996,"427,150","406,850","20,250",4.7
,Feb-1996,"429,750","409,900","19,850",4.6
,Mar-1996,"431,800","411,400","20,400",4.7
,Apr-1996,"433,000","412,250","20,750",4.8
,May-1996,"433,050","412,250","20,800",4.8
,June-1996,"435,100","412,250","22,850",5.3
,July-1996,"436,500","413,750","22,750",5.2
,Aug-1996,"430,800","409,600","21,200",4.9
,Sep-1996,"428,050","406,100","22,000",5.1
,Oct-1996,"430,000","409,800","20,200",4.7
,Nov-1996,"434,800","412,800","22,050",5.1
,Dec-1996,"434,000","414,850","19,100",4.4
,Jan-1997,"431,250","411,350","19,900",4.6
,Feb-1997,"431,000","411,200","19,800",4.6
,Mar-1997,"434,000","413,150","20,900",4.8
,Apr-1997,"433,800","414,100","19,750",4.5
,May-1997,"434,150","414,450","19,700",4.5
,June-1997,"437,100","414,000","23,050",5.3
,July-1997,"436,650","414,300","22,350",5.1
,Aug-1997,"433,350","411,500","21,850",5.0
,Sep-1997,"430,450","407,350","23,100",5.4
,Oct-1997,"431,150","410,850","20,300",4.7
,Nov-1997,"434,850","415,150","19,700",4.5
,Dec-1997,"435,350","416,500","18,850",4.3
,Jan-1998,"432,900","413,400","19,550",4.5
,Feb-1998,"432,550","413,900","18,650",4.3
,Mar-1998,"435,050","414,650","20,350",4.7
,Apr-1998,"434,700","416,200","18,500",4.3
,May-1998,"434,750","414,700","20,050",4.6
,June-1998,"436,150","412,500","23,650",5.4
,July-1998,"435,700","412,950","22,750",5.2
,Aug-1998,"432,950","410,800","22,150",5.1
,Sep-1998,"433,500","408,750","24,700",5.7
,Oct-1998,"433,350","411,200","22,200",5.1
,Nov-1998,"436,100","415,100","21,000",4.8
,Dec-1998,"438,900","419,350","19,550",4.4
,Jan-1999,"433,800","413,950","19,850",4.6
,Feb-1999,"432,100","413,150","18,950",4.4
,Mar-1999,"433,350","414,050","19,300",4.5
,Apr-1999,"435,100","416,100","19,000",4.4
,May-1999,"434,550","416,100","18,450",4.2
,June-1999,"436,400","414,550","21,850",5.0
,July-1999,"433,850","413,300","20,550",4.7
,Aug-1999,"430,750","411,550","19,200",4.5
,Sep-1999,"429,400","409,650","19,750",4.6
,Oct-1999,"430,850","412,450","18,400",4.3
,Nov-1999,"433,900","416,300","17,600",4.1
,Dec-1999,"436,250","420,300","15,950",3.7
,Jan-2000,"433,350","415,850","17,500",4.0
,Feb-2000,"434,500","417,850","16,650",3.8
,Mar-2000,"434,150","417,500","16,650",3.8
,Apr-2000,"435,950","420,000","15,950",3.7
,May-2000,"432,200","415,950","16,300",3.8
,June-2000,"435,500","416,400","19,100",4.4
,July-2000,"432,750","415,350","17,350",4.0
