Table 8-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary degree holders among individuals 25–44 years old, by state: 2000–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (%),,,,,,,,,,,
State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States,"29,471,612","29,834,331","30,229,988","30,738,684","31,200,605","31,382,831","31,653,483","31,935,182","32,108,334","32,606,255","32,574,122","33,261,456",,"84,973,340","84,523,274","83,990,295","83,398,001","83,066,831","82,764,185","82,638,980","82,509,693","82,399,959","82,211,153","82,194,586","82,432,298",,34.7,35.3,36.0,36.9,37.6,37.9,38.3,38.7,39.0,39.7,39.6,40.4
Alabama ,"370,196","368,495","394,925","381,050","416,570","389,490","382,124","388,036","398,445","405,826","395,963","410,753",,"1,284,371","1,266,952","1,249,808","1,238,460","1,231,571","1,228,586","1,233,767","1,232,608","1,231,410","1,232,200","1,227,081","1,223,076",,28.8,29.1,31.6,30.8,33.8,31.7,31.0,31.5,32.4,32.9,32.3,33.6
Alaska ,"61,646","59,787","62,028","58,059","61,551","58,631","63,331","65,635","66,582","61,366","72,192","68,881",,"202,899","198,158","194,428","190,773","189,864","188,753","188,470","188,612","189,673","191,023","196,711","198,914",,30.4,30.2,31.9,30.4,32.4,31.1,33.6,34.8,35.1,32.1,36.7,34.6
Arizona,"472,901","460,938","466,595","498,703","519,089","552,805","586,052","583,947","580,904","608,775","572,253","595,767",,"1,514,406","1,526,458","1,543,384","1,554,533","1,580,090","1,620,018","1,664,223","1,682,760","1,690,369","1,685,082","1,680,843","1,688,279",,31.2,30.2,30.2,32.1,32.9,34.1,35.2,34.7,34.4,36.1,34.0,35.3
Arkansas ,"177,657","185,372","211,034","187,589","191,844","202,622","202,594","207,170","205,024","216,126","218,464","225,881",,"749,201","743,315","737,150","734,963","736,873","741,013","747,504","747,162","745,354","743,283","743,151","745,421",,23.7,24.9,28.6,25.5,26.0,27.3,27.1,27.7,27.5,29.1,29.4,30.3
California,"3,670,622","3,618,304","3,830,611","3,918,228","3,916,467","3,892,099","3,942,407","3,958,150","3,950,535","4,024,498","4,037,407","4,095,176",,"10,724,282","10,750,718","10,725,588","10,697,022","10,675,493","10,619,001","10,578,738","10,519,395","10,505,976","10,493,897","10,509,608","10,565,342",,34.2,33.7,35.7,36.6,36.7,36.7,37.3,37.6,37.6,38.4,38.4,38.8
Colorado,"596,036","591,620","595,381","623,279","597,798","636,437","616,562","635,206","645,199","654,274","657,582","686,256",,"1,404,449","1,412,620","1,406,914","1,387,655","1,381,778","1,372,686","1,380,451","1,391,221","1,404,254","1,415,641","1,430,572","1,448,033",,42.4,41.9,42.3,44.9,43.3,46.4,44.7,45.7,45.9,46.2,46.0,47.4
Connecticut,"443,608","445,850","436,877","447,818","446,196","432,451","425,024","431,258","435,632","426,214","422,805","426,066",,"1,031,174","1,017,477","1,006,189","993,386","976,914","959,888","944,217","930,413","923,555","911,836","904,343","898,232",,43.0,43.8,43.4,45.1,45.7,45.1,45.0,46.4,47.2,46.7,46.8,47.4
Delaware ,"84,170","81,009","86,614","90,649","90,323","87,994","92,375","86,106","85,127","92,531","86,802","89,768",,"236,255","233,890","232,409","231,993","232,563","232,763","232,516","231,339","230,357","228,638","227,668","227,578",,35.6,34.6,37.3,39.1,38.8,37.8,39.7,37.2,37.0,40.5,38.1,39.4
Florida,"1,513,345","1,564,716","1,557,481","1,616,842","1,663,973","1,694,517","1,766,287","1,781,351","1,745,624","1,761,941","1,741,398","1,807,574",,"4,574,160","4,591,807","4,617,681","4,636,916","4,693,728","4,759,595","4,804,621","4,794,919","4,764,109","4,728,842","4,724,036","4,758,046",,33.1,34.1,33.7,34.9,35.5,35.6,36.8,37.2,36.6,37.3,36.9,38.0
