Table 8-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venture capital disbursed per $1,000 of gross domestic product, by state: 1998–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Venture capital disbursed ($millions),,,,,,,,,,,,,,,,State GDP ($millions),,,,,,,,,,,,,,,,"Venture capital ($)/$1,000 GDP",,,,,,,,,,,,,,,
State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
United States,"21,037","54,041","104,678","40,664","22,010","19,776","20,937","23,115","26,078","30,871","28,284","18,229","21,801","29,445","26,873",,"8,727,022","9,286,859","9,884,170","10,218,024","10,572,388","11,067,827","11,774,408","12,539,116","13,289,242","13,936,196","14,193,121","13,869,679","14,388,814","14,959,781","15,566,076",,2.41,5.82,10.59,3.98,2.08,1.79,1.78,1.84,1.96,2.22,1.99,1.31,1.52,1.97,1.73,
Alabama,82,66,266,80,57,30,38,20,19,31,24,43,1,4,23,,"106,499","112,079","116,009","120,121","125,168","130,862","141,974","150,968","159,059","165,665","170,203","166,315","172,842","178,533","183,547",,0.77,0.59,2.30,0.67,0.46,0.23,0.27,0.13,0.12,0.19,0.14,0.26,0.00,0.02,0.13,
Alaska,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,"23,306","23,852","25,911","27,734","28,894","30,886","34,367","37,774","41,782","44,540","49,809","45,149","47,910","51,237","51,859",,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Arizona,210,323,34,197,197,73,103,13,271,203,208,107,83,229,222,,"139,276","150,876","161,792","170,008","177,068","189,060","201,006","222,569","246,099","259,157","261,128","245,216","247,329","255,989","266,891",,1.51,2.14,0.21,1.16,1.11,0.39,0.51,0.06,1.10,0.78,0.80,0.44,0.34,0.89,0.83,
Arkansas,7,26,626,10,10,1,4,123,39,0,0,0,5,0,5,,"61,888","66,246","68,335","71,082","74,167","78,043","83,806","88,501","93,792","97,470","100,369","99,530","103,170","106,557","109,557",,0.11,0.39,9.15,0.15,0.13,0.01,0.04,1.39,0.42,0.00,0.00,0.00,0.05,0.00,0.05,
California,"7,955","23,199","43,034","16,694","9,528","8,564","9,346","11,011","12,578","14,735","14,264","9,207","10,978","15,127","14,194",,"1,114,035","1,211,851","1,319,472","1,339,978","1,387,213","1,461,072","1,569,816","1,688,949","1,798,197","1,870,916","1,900,463","1,818,627","1,845,249","1,908,985","2,003,479",,7.14,19.14,32.61,12.46,6.87,5.86,5.95,6.52,6.99,7.88,7.51,5.06,5.95,7.92,7.08,
Colorado,726,"1,744","4,165","1,264",537,628,444,644,643,610,813,474,468,611,585,,"142,086","155,377","172,037","180,980","186,529","192,040","201,564","217,329","230,236","242,633","252,487","245,362","254,551","264,733","274,048",,5.11,11.23,24.21,6.98,2.88,3.27,2.20,2.96,2.79,2.51,3.22,1.93,1.84,2.31,2.13,
Connecticut,373,925,"1,509",536,183,212,275,202,247,296,127,157,200,155,158,,"143,725","149,387","163,455","168,161","168,865","173,915","187,545","196,307","209,487","221,133","219,449","217,103","221,767","225,409","229,317",,2.60,6.19,9.23,3.19,1.08,1.22,1.47,1.03,1.18,1.34,0.58,0.72,0.90,0.69,0.69,
Delaware,0,17,135,165,19,0,2,7,0,7,63,17,31,26,9,,"35,750","37,712","40,614","43,637","43,672","47,346","50,575","54,422","56,262","59,592","57,974","60,201","62,832","64,377","65,984",,0.00,0.45,3.32,3.77,0.44,0.01,0.04,0.13,0.00,0.11,1.08,0.28,0.49,0.40,0.14,
District of Columbia,47,286,478,162,20,56,73,28,115,91,31,48,96,46,64,,"51,673","56,017","58,267","63,492","67,924","71,867","77,737","82,488","86,736","91,896","96,792","98,355","103,745","107,201","109,793",,0.91,5.11,8.21,2.55,0.30,0.78,0.94,0.34,1.33,0.98,0.32,0.49,0.93,0.43,0.58,
Florida,552,"1,706","2,687",895,410,309,264,329,317,768,240,291,186,338,199,,"420,569","450,555","481,239","506,509","536,061","574,382","621,417","681,225","731,467","760,936","748,117","721,175","727,972","746,439","777,164",,1.31,3.79,5.58,1.77,0.77,0.54,0.42,0.48,0.43,1.01,0.32,0.40,0.26,0.45,0.26,
Georgia,431,"1,154","2,325",932,565,295,585,254,357,475,426,304,333,383,262,,"254,346","277,488","293,966","304,954","313,952","324,847","342,863","363,177","380,530","399,579","404,335","393,964","402,006","417,438","433,569",,1.69,4.16,7.91,3.06,1.80,0.91,1.71,0.70,0.94,1.19,1.05,0.77,0.83,0.92,0.60,
Hawaii,4,13,203,38,4,13,26,12,17,5,7,7,11,1,1,,"38,019","39,332","41,450","42,529","44,752","48,095","52,290","56,901","60,993","64,070","65,978","64,787","67,274","70,006","72,424",,0.11,0.33,4.90,0.89,0.10,0.27,0.49,0.21,0.28,0.08,0.11,0.11,0.16,0.01,0.01,
Idaho,30,17,20,3,11,52,3,8,0,16,12,14,8,5,15,,"29,618","32,762","36,147","36,376","37,729","39,479","44,069","48,683","50,509","54,273","55,143","54,285","55,639","57,096","58,243",,1.02,0.50,0.54,0.07,0.28,1.32,0.06,0.16,0.00,0.30,0.22,0.26,0.14,0.09,0.26,
Illinois,429,"1,422","2,358",958,309,377,272,277,408,505,444,228,575,770,570,,"428,314","449,409","474,520","487,024","497,802","518,569","545,591","568,114","600,668","626,611","631,962","625,423","642,769","670,247","695,238",,1.00,3.16,4.97,1.97,0.62,0.73,0.50,0.49,0.68,0.81,0.70,0.36,0.90,1.15,0.82,
Indiana,39,47,269,54,40,25,66,104,69,83,124,157,69,178,84,,"180,015","187,783","198,238","199,996","208,674","220,228","231,762","239,321","248,630","261,755","260,971","252,488","270,739","284,344","298,625",,0.22,0.25,1.36,0.27,0.19,0.11,0.28,0.43,0.28,0.32,0.47,0.62,0.25,0.63,0.28,
Iowa,9,14,31,6,2,0,10,32,0,6,40,84,52,28,5,,"83,813","87,336","93,312","94,102","98,584","104,593","115,581","119,998","124,057","134,053","133,910","134,659","138,378","146,057","152,436",,0.10,0.16,0.33,0.06,0.02,0.00,0.09,0.27,0.00,0.05,0.30,0.62,0.37,0.19,0.03,
Kansas,10,30,265,40,7,25,38,2,11,82,46,8,42,57,47,,"77,441","81,006","85,722","89,362","91,671","96,585","99,733","104,869","111,658","120,599","124,330","121,967","126,640","134,767","138,953",,0.13,0.37,3.09,0.45,0.08,0.26,0.38,0.02,0.10,0.68,0.37,0.07,0.33,0.42,0.34,
Kentucky,38,82,202,24,14,5,54,32,35,53,30,14,12,13,24,,"108,002","113,568","113,233","116,373","121,436","125,393","131,701","138,772","146,409","150,487","153,570","152,040","161,064","168,019","173,466",,0.35,0.72,1.78,0.20,0.11,0.04,0.41,0.23,0.24,0.35,0.19,0.09,0.07,0.08,0.14,
Louisiana,68,294,113,80,19,1,3,4,11,16,8,11,18,22,11,,"120,625","124,595","131,289","137,812","139,202","155,999","171,461","196,917","204,437","207,312","213,970","204,370","227,373","237,389","243,264",,0.56,2.36,0.86,0.58,0.14,0.01,0.02,0.02,0.06,0.08,0.04,0.05,0.08,0.09,0.05,
Maine,62,57,140,4,15,1,26,5,8,5,20,8,2,39,13,,"32,104","34,161","36,438","38,160","39,989","41,510","44,352","45,520","47,594","49,065","49,500","50,048","51,343","52,489","53,656",,1.92,1.68,3.85,0.10,0.39,0.02,0.59,0.10,0.17,0.10,0.41,0.16,0.04,0.74,0.24,
Maryland,328,655,"1,820","1,001",637,348,512,488,657,613,477,294,357,314,284,,"161,779","172,253","182,923","195,603","206,624","216,607","231,963","247,241","259,792","271,985","281,112","284,724","295,981","305,175","317,678",,2.03,3.80,9.95,5.12,3.08,1.61,2.21,1.98,2.53,2.26,1.70,1.03,1.21,1.03,0.89,
Massachusetts,"2,009","4,948","10,312","4,779","2,530","2,744","2,775","2,583","2,874","3,714","2,974","2,074","2,373","3,071","3,127",,"235,793","251,003","273,006","282,539","288,352","297,692","310,341","323,314","337,483","352,378","361,716","360,675","376,908","388,575","403,823",,8.52,19.71,37.77,16.91,8.77,9.22,8.94,7.99,8.52,10.54,8.22,5.75,6.30,7.90,7.74,
Michigan,124,250,337,156,108,80,148,81,103,105,246,134,152,85,237,,"304,472","323,569","337,459","337,440","351,832","362,652","365,609","375,753","376,208","386,591","368,963","349,195","367,107","385,123","400,504",,0.41,0.77,1.00,0.46,0.31,0.22,0.40,0.22,0.27,0.27,0.67,0.38,0.41,0.22,0.59,
Minnesota,361,641,"1,039",479,403,233,351,242,324,488,491,266,140,274,253,,"164,256","174,052","188,818","193,998","201,559","212,506","227,091","237,813","245,026","253,374","262,105","257,596","268,578","279,987","294,729",,2.20,3.68,5.50,2.47,2.00,1.10,1.55,1.02,1.32,1.93,1.87,1.03,0.52,0.98,0.86,
Mississippi,4,236,20,30,5,1,3,10,9,6,0,0,0,1,10,,"60,725","63,714","65,625","67,572","69,527","73,842","77,539","81,360","85,854","92,107","95,461","92,614","95,763","97,533","101,490",,0.06,3.70,0.30,0.44,0.07,0.01,0.04,0.12,0.11,0.06,0.00,0.00,0.00,0.01,0.10,
Missouri,611,168,590,249,76,78,62,56,62,92,87,18,61,135,21,,"164,716","172,612","180,967","185,332","192,189","199,921","208,375","216,336","223,721","232,959","241,406","237,774","243,876","249,546","258,832",,3.71,0.97,3.26,1.34,0.40,0.39,0.30,0.26,0.28,0.39,0.36,0.08,0.25,0.54,0.08,
Montana,0,16,17,25,0,0,0,27,0,4,16,15,2,3,6,,"20,099","20,761","21,633","23,083","23,781","25,682","27,831","30,054","32,232","35,085","35,802","35,027","36,521","38,933","40,422",,0.00,0.79,0.77,1.08,0.00,0.00,0.01,0.91,0.00,0.11,0.44,0.41,0.05,0.08,0.15,
