University of Hawaii at Manoa,,,,,,,,,,
"Full-time graduate students in science, engineering, and health, by type and primary source of support: 2012–03                                ",,,,,,,,,,
Type and primary source of support                                                                  ,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
,,,,,,,,,,
All types and sources of support,"1,847","1,947","1,746","1,752","1,640","1,567","1,578","1,588","1,634","1,495"
,,,,,,,,,,
      Fellowship and traineeship,0,224,174,177,230,146,125,172,154,129
          Federal support,0,17,20,21,8,15,16,37,23,23
          Institutional support,0,207,152,156,216,130,108,132,131,105
          Other nonfederal support,0,0,2,0,6,1,1,3,0,1
          Self support,0,0,0,0,0,0,0,0,0,0
      Research assistantship,644,723,720,693,622,646,666,600,601,505
          Federal support,470,491,514,498,417,455,511,482,481,401
          Institutional support,140,162,124,96,105,134,116,65,65,55
          Other nonfederal support,34,70,82,99,100,57,39,53,55,49
          Self support,0,0,0,0,0,0,0,0,0,0
      Teaching assistantship,417,375,320,331,330,308,325,303,322,267
          Federal support,4,3,2,7,0,7,7,2,1,1
          Institutional support,412,369,315,322,330,300,312,299,321,266
          Other nonfederal support,1,3,3,2,0,1,6,2,0,0
          Self support,0,0,0,0,0,0,0,0,0,0
      Other types of support,786,625,532,551,458,467,462,513,557,594
          Federal support,0,0,1,2,0,0,0,0,0,0
          Institutional support,0,1,0,0,0,0,0,0,0,0
          Other nonfederal support,0,0,0,0,0,0,0,0,0,0
          Self support,786,624,531,549,458,467,462,513,557,594
,,,,,,,,,,
"SOURCE:National Science Foundation, National Center for Science and Engineering Statistics, Survey of Graduate Students and Postdoctorates in Science and Engineering",,,,,,,,,,
