County,Population 25 years and over,Less Than High School Degree,At Least High school graduate (includes equivalency),Bachelor's degree,Graduate or professional degree
Hawaii,"132,988",0.082,0.662,0.181,0.075
Honolulu,"666,172",0.094,0.571,0.22,0.114
Kauai,"48,492",0.093,0.66,0.173,0.075
Maui,"112,177",0.071,0.656,0.181,0.094
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
